# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
45.4.84.0/22,45.4.84.0,45.4.87.255,22,255.255.252.0,1024
45.4.136.0/22,45.4.136.0,45.4.139.255,22,255.255.252.0,1024
45.4.204.0/22,45.4.204.0,45.4.207.255,22,255.255.252.0,1024
45.5.28.0/22,45.5.28.0,45.5.31.255,22,255.255.252.0,1024
45.5.64.0/22,45.5.64.0,45.5.67.255,22,255.255.252.0,1024
45.5.76.0/22,45.5.76.0,45.5.79.255,22,255.255.252.0,1024
45.7.236.0/22,45.7.236.0,45.7.239.255,22,255.255.252.0,1024
45.68.33.0/24,45.68.33.0,45.68.33.255,24,255.255.255.0,256
45.68.34.0/23,45.68.34.0,45.68.35.255,23,255.255.254.0,512
45.68.62.0/23,45.68.62.0,45.68.63.255,23,255.255.254.0,512
45.71.16.0/22,45.71.16.0,45.71.19.255,22,255.255.252.0,1024
45.71.52.0/22,45.71.52.0,45.71.55.255,22,255.255.252.0,1024
45.166.92.0/22,45.166.92.0,45.166.95.255,22,255.255.252.0,1024
45.168.172.0/23,45.168.172.0,45.168.173.255,23,255.255.254.0,512
45.169.244.0/22,45.169.244.0,45.169.247.255,22,255.255.252.0,1024
45.170.12.0/22,45.170.12.0,45.170.15.255,22,255.255.252.0,1024
45.170.32.0/22,45.170.32.0,45.170.35.255,22,255.255.252.0,1024
45.171.200.0/22,45.171.200.0,45.171.203.255,22,255.255.252.0,1024
45.175.64.0/22,45.175.64.0,45.175.67.255,22,255.255.252.0,1024
45.181.84.0/22,45.181.84.0,45.181.87.255,22,255.255.252.0,1024
45.182.20.0/22,45.182.20.0,45.182.23.255,22,255.255.252.0,1024
45.184.92.0/22,45.184.92.0,45.184.95.255,22,255.255.252.0,1024
45.185.52.0/22,45.185.52.0,45.185.55.255,22,255.255.252.0,1024
45.186.152.0/22,45.186.152.0,45.186.155.255,22,255.255.252.0,1024
45.190.13.0/24,45.190.13.0,45.190.13.255,24,255.255.255.0,256
45.190.64.0/22,45.190.64.0,45.190.67.255,22,255.255.252.0,1024
45.190.184.0/22,45.190.184.0,45.190.187.255,22,255.255.252.0,1024
45.224.228.0/22,45.224.228.0,45.224.231.255,22,255.255.252.0,1024
45.224.252.0/22,45.224.252.0,45.224.255.255,22,255.255.252.0,1024
45.226.59.0/24,45.226.59.0,45.226.59.255,24,255.255.255.0,256
45.234.232.0/22,45.234.232.0,45.234.235.255,22,255.255.252.0,1024
45.237.84.0/22,45.237.84.0,45.237.87.255,22,255.255.252.0,1024
45.237.168.0/22,45.237.168.0,45.237.171.255,22,255.255.252.0,1024
45.238.140.0/22,45.238.140.0,45.238.143.255,22,255.255.252.0,1024
45.238.156.0/22,45.238.156.0,45.238.159.255,22,255.255.252.0,1024
131.72.208.0/22,131.72.208.0,131.72.211.255,22,255.255.252.0,1024
131.108.16.0/22,131.108.16.0,131.108.19.255,22,255.255.252.0,1024
131.108.232.0/22,131.108.232.0,131.108.235.255,22,255.255.252.0,1024
131.161.52.0/22,131.161.52.0,131.161.55.255,22,255.255.252.0,1024
131.161.80.0/22,131.161.80.0,131.161.83.255,22,255.255.252.0,1024
131.196.52.0/22,131.196.52.0,131.196.55.255,22,255.255.252.0,1024
131.221.8.0/22,131.221.8.0,131.221.11.255,22,255.255.252.0,1024
132.255.132.0/22,132.255.132.0,132.255.135.255,22,255.255.252.0,1024
138.0.228.0/22,138.0.228.0,138.0.231.255,22,255.255.252.0,1024
138.0.240.0/22,138.0.240.0,138.0.243.255,22,255.255.252.0,1024
138.36.92.0/22,138.36.92.0,138.36.95.255,22,255.255.252.0,1024
138.36.136.0/22,138.36.136.0,138.36.139.255,22,255.255.252.0,1024
138.59.4.0/22,138.59.4.0,138.59.7.255,22,255.255.252.0,1024
138.59.176.0/22,138.59.176.0,138.59.179.255,22,255.255.252.0,1024
138.59.204.0/22,138.59.204.0,138.59.207.255,22,255.255.252.0,1024
138.94.120.0/22,138.94.120.0,138.94.123.255,22,255.255.252.0,1024
138.94.216.0/22,138.94.216.0,138.94.219.255,22,255.255.252.0,1024
138.99.36.0/22,138.99.36.0,138.99.39.255,22,255.255.252.0,1024
138.117.96.0/22,138.117.96.0,138.117.99.255,22,255.255.252.0,1024
138.122.192.0/22,138.122.192.0,138.122.195.255,22,255.255.252.0,1024
138.186.136.0/22,138.186.136.0,138.186.139.255,22,255.255.252.0,1024
138.204.180.0/22,138.204.180.0,138.204.183.255,22,255.255.252.0,1024
138.219.72.0/22,138.219.72.0,138.219.75.255,22,255.255.252.0,1024
138.219.120.0/22,138.219.120.0,138.219.123.255,22,255.255.252.0,1024
138.219.172.0/22,138.219.172.0,138.219.175.255,22,255.255.252.0,1024
143.0.236.0/22,143.0.236.0,143.0.239.255,22,255.255.252.0,1024
143.137.164.0/22,143.137.164.0,143.137.167.255,22,255.255.252.0,1024
143.137.168.0/22,143.137.168.0,143.137.171.255,22,255.255.252.0,1024
143.202.196.0/22,143.202.196.0,143.202.199.255,22,255.255.252.0,1024
143.208.16.0/22,143.208.16.0,143.208.19.255,22,255.255.252.0,1024
143.255.32.0/22,143.255.32.0,143.255.35.255,22,255.255.252.0,1024
152.231.0.0/20,152.231.0.0,152.231.15.255,20,255.255.240.0,4096
161.0.0.0/19,161.0.0.0,161.0.31.255,19,255.255.224.0,8192
161.0.68.0/22,161.0.68.0,161.0.71.255,22,255.255.252.0,1024
161.0.192.0/19,161.0.192.0,161.0.223.255,19,255.255.224.0,8192
164.163.72.0/22,164.163.72.0,164.163.75.255,22,255.255.252.0,1024
