# CIDR,network(start) address,end address,prefix,subnet mask
5.39.128.0/19,5.39.128.0,5.39.159.255,19,255.255.224.0
5.43.160.0/19,5.43.160.0,5.43.191.255,19,255.255.224.0
31.45.128.0/17,31.45.128.0,31.45.255.255,17,255.255.128.0
31.147.0.0/16,31.147.0.0,31.147.255.255,16,255.255.0.0
31.216.192.0/19,31.216.192.0,31.216.223.255,19,255.255.224.0
31.217.0.0/17,31.217.0.0,31.217.127.255,17,255.255.128.0
36.255.92.0/22,36.255.92.0,36.255.95.255,22,255.255.252.0
37.48.232.0/21,37.48.232.0,37.48.239.255,21,255.255.248.0
37.60.128.0/21,37.60.128.0,37.60.135.255,21,255.255.248.0
37.205.96.0/20,37.205.96.0,37.205.111.255,20,255.255.240.0
37.244.128.0/17,37.244.128.0,37.244.255.255,17,255.255.128.0
45.85.120.0/22,45.85.120.0,45.85.123.255,22,255.255.252.0
45.87.24.0/22,45.87.24.0,45.87.27.255,22,255.255.252.0
45.87.220.0/22,45.87.220.0,45.87.223.255,22,255.255.252.0
45.95.168.0/22,45.95.168.0,45.95.171.255,22,255.255.252.0
45.136.142.0/23,45.136.142.0,45.136.143.255,23,255.255.254.0
45.136.188.0/22,45.136.188.0,45.136.191.255,22,255.255.252.0
45.137.248.0/22,45.137.248.0,45.137.251.255,22,255.255.252.0
45.142.8.0/22,45.142.8.0,45.142.11.255,22,255.255.252.0
45.143.216.0/22,45.143.216.0,45.143.219.255,22,255.255.252.0
46.31.136.0/21,46.31.136.0,46.31.143.255,21,255.255.248.0
46.151.128.0/21,46.151.128.0,46.151.135.255,21,255.255.248.0
46.174.136.0/22,46.174.136.0,46.174.139.255,22,255.255.252.0
46.188.128.0/17,46.188.128.0,46.188.255.255,17,255.255.128.0
46.229.246.0/23,46.229.246.0,46.229.247.255,23,255.255.254.0
46.229.250.0/24,46.229.250.0,46.229.250.255,24,255.255.255.0
46.229.252.0/23,46.229.252.0,46.229.253.255,23,255.255.254.0
46.234.64.0/19,46.234.64.0,46.234.95.255,19,255.255.224.0
77.237.96.0/19,77.237.96.0,77.237.127.255,19,255.255.224.0
78.0.0.0/14,78.0.0.0,78.3.255.255,14,255.252.0.0
78.134.128.0/17,78.134.128.0,78.134.255.255,17,255.255.128.0
80.80.48.0/20,80.80.48.0,80.80.63.255,20,255.255.240.0
80.253.160.0/20,80.253.160.0,80.253.175.255,20,255.255.240.0
82.132.0.0/17,82.132.0.0,82.132.127.255,17,255.255.128.0
82.193.192.0/19,82.193.192.0,82.193.223.255,19,255.255.224.0
83.131.0.0/16,83.131.0.0,83.131.255.255,16,255.255.0.0
83.139.64.0/18,83.139.64.0,83.139.127.255,18,255.255.192.0
84.246.96.0/21,84.246.96.0,84.246.103.255,21,255.255.248.0
84.252.105.0/24,84.252.105.0,84.252.105.255,24,255.255.255.0
85.10.48.0/20,85.10.48.0,85.10.63.255,20,255.255.240.0
85.94.64.0/19,85.94.64.0,85.94.95.255,19,255.255.224.0
85.114.32.0/19,85.114.32.0,85.114.63.255,19,255.255.224.0
85.209.12.0/22,85.209.12.0,85.209.15.255,22,255.255.252.0
85.222.164.0/22,85.222.164.0,85.222.167.255,22,255.255.252.0
86.32.0.0/15,86.32.0.0,86.33.255.255,15,255.254.0.0
87.252.128.0/19,87.252.128.0,87.252.159.255,19,255.255.224.0
88.207.0.0/17,88.207.0.0,88.207.127.255,17,255.255.128.0
89.17.0.0/19,89.17.0.0,89.17.31.255,19,255.255.224.0
89.18.32.0/19,89.18.32.0,89.18.63.255,19,255.255.224.0
89.164.0.0/16,89.164.0.0,89.164.255.255,16,255.255.0.0
89.172.0.0/16,89.172.0.0,89.172.255.255,16,255.255.0.0
89.201.128.0/17,89.201.128.0,89.201.255.255,17,255.255.128.0
89.249.96.0/20,89.249.96.0,89.249.111.255,20,255.255.240.0
91.132.227.0/24,91.132.227.0,91.132.227.255,24,255.255.255.0
91.142.139.0/24,91.142.139.0,91.142.139.255,24,255.255.255.0
91.194.242.0/23,91.194.242.0,91.194.243.255,23,255.255.254.0
91.198.216.0/24,91.198.216.0,91.198.216.255,24,255.255.255.0
91.199.32.0/24,91.199.32.0,91.199.32.255,24,255.255.255.0
91.199.42.0/24,91.199.42.0,91.199.42.255,24,255.255.255.0
91.199.44.0/24,91.199.44.0,91.199.44.255,24,255.255.255.0
91.199.47.0/24,91.199.47.0,91.199.47.255,24,255.255.255.0
91.199.77.0/24,91.199.77.0,91.199.77.255,24,255.255.255.0
91.199.79.0/24,91.199.79.0,91.199.79.255,24,255.255.255.0
91.207.22.0/23,91.207.22.0,91.207.23.255,23,255.255.254.0
91.208.100.0/24,91.208.100.0,91.208.100.255,24,255.255.255.0
91.209.4.0/24,91.209.4.0,91.209.4.255,24,255.255.255.0
91.209.32.0/24,91.209.32.0,91.209.32.255,24,255.255.255.0
91.209.136.0/24,91.209.136.0,91.209.136.255,24,255.255.255.0
91.209.167.0/24,91.209.167.0,91.209.167.255,24,255.255.255.0
91.209.216.0/24,91.209.216.0,91.209.216.255,24,255.255.255.0
91.212.31.0/24,91.212.31.0,91.212.31.255,24,255.255.255.0
91.212.44.0/24,91.212.44.0,91.212.44.255,24,255.255.255.0
91.212.247.0/24,91.212.247.0,91.212.247.255,24,255.255.255.0
91.213.84.0/24,91.213.84.0,91.213.84.255,24,255.255.255.0
91.214.104.0/22,91.214.104.0,91.214.107.255,22,255.255.252.0
91.223.24.0/24,91.223.24.0,91.223.24.255,24,255.255.255.0
91.223.29.0/24,91.223.29.0,91.223.29.255,24,255.255.255.0
91.223.65.0/24,91.223.65.0,91.223.65.255,24,255.255.255.0
91.223.237.0/24,91.223.237.0,91.223.237.255,24,255.255.255.0
91.223.249.0/24,91.223.249.0,91.223.249.255,24,255.255.255.0
91.226.8.0/23,91.226.8.0,91.226.9.255,23,255.255.254.0
91.226.170.0/24,91.226.170.0,91.226.170.255,24,255.255.255.0
91.226.244.0/24,91.226.244.0,91.226.244.255,24,255.255.255.0
91.233.36.0/23,91.233.36.0,91.233.37.255,23,255.255.254.0
91.234.46.0/24,91.234.46.0,91.234.46.255,24,255.255.255.0
91.236.37.0/24,91.236.37.0,91.236.37.255,24,255.255.255.0
91.239.120.0/24,91.239.120.0,91.239.120.255,24,255.255.255.0
91.241.53.0/24,91.241.53.0,91.241.53.255,24,255.255.255.0
92.242.224.0/19,92.242.224.0,92.242.255.255,19,255.255.224.0
93.136.0.0/13,93.136.0.0,93.143.255.255,13,255.248.0.0
93.159.64.0/19,93.159.64.0,93.159.95.255,19,255.255.224.0
94.250.128.0/18,94.250.128.0,94.250.191.255,18,255.255.192.0
94.253.128.0/17,94.253.128.0,94.253.255.255,17,255.255.128.0
95.128.232.0/21,95.128.232.0,95.128.239.255,21,255.255.248.0
