# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
148.102.128.0/17,148.102.128.0,148.102.255.255,17,255.255.128.0,32768
161.0.128.0/19,161.0.128.0,161.0.159.255,19,255.255.224.0,8192
168.197.100.0/22,168.197.100.0,168.197.103.255,22,255.255.252.0,1024
170.80.248.0/22,170.80.248.0,170.80.251.255,22,255.255.252.0,1024
170.83.192.0/22,170.83.192.0,170.83.195.255,22,255.255.252.0,1024
170.239.12.0/22,170.239.12.0,170.239.15.255,22,255.255.252.0,1024
179.51.206.0/24,179.51.206.0,179.51.206.255,24,255.255.255.0,256
186.1.192.0/20,186.1.192.0,186.1.207.255,20,255.255.240.0,4096
186.190.0.0/17,186.190.0.0,186.190.127.255,17,255.255.128.0,32768
190.102.64.0/19,190.102.64.0,190.102.95.255,19,255.255.224.0,8192
190.105.172.0/22,190.105.172.0,190.105.175.255,22,255.255.252.0,1024
190.115.128.0/18,190.115.128.0,190.115.191.255,18,255.255.192.0,16384
190.120.192.0/19,190.120.192.0,190.120.223.255,19,255.255.224.0,8192
190.196.192.0/20,190.196.192.0,190.196.207.255,20,255.255.240.0,4096
200.0.18.0/24,200.0.18.0,200.0.18.255,24,255.255.255.0,256
200.2.128.0/19,200.2.128.0,200.2.159.255,19,255.255.224.0,8192
200.4.160.0/19,200.4.160.0,200.4.191.255,19,255.255.224.0,8192
200.113.192.0/18,200.113.192.0,200.113.255.255,18,255.255.192.0,16384
200.115.182.0/23,200.115.182.0,200.115.183.255,23,255.255.254.0,512
201.131.77.0/24,201.131.77.0,201.131.77.255,24,255.255.255.0,256
201.150.104.0/22,201.150.104.0,201.150.107.255,22,255.255.252.0,1024
