# CIDR,network(start) address,end address,prefix,subnet mask
2.58.168.0/22,2.58.168.0,2.58.171.255,22,255.255.252.0
2.59.196.0/22,2.59.196.0,2.59.199.255,22,255.255.252.0
5.28.0.0/21,5.28.0.0,5.28.7.255,21,255.255.248.0
5.38.128.0/17,5.38.128.0,5.38.255.255,17,255.255.128.0
5.56.32.0/21,5.56.32.0,5.56.39.255,21,255.255.248.0
5.61.240.0/21,5.61.240.0,5.61.247.255,21,255.255.248.0
5.63.192.0/18,5.63.192.0,5.63.255.255,18,255.255.192.0
5.148.192.0/18,5.148.192.0,5.148.255.255,18,255.255.192.0
5.149.240.0/21,5.149.240.0,5.149.247.255,21,255.255.248.0
5.159.232.0/21,5.159.232.0,5.159.239.255,21,255.255.248.0
5.180.120.0/22,5.180.120.0,5.180.123.255,22,255.255.252.0
5.182.112.0/22,5.182.112.0,5.182.115.255,22,255.255.252.0
5.187.128.0/17,5.187.128.0,5.187.255.255,17,255.255.128.0
5.204.0.0/16,5.204.0.0,5.204.255.255,16,255.255.0.0
5.206.128.0/18,5.206.128.0,5.206.191.255,18,255.255.192.0
31.24.16.0/21,31.24.16.0,31.24.23.255,21,255.255.248.0
31.24.184.0/21,31.24.184.0,31.24.191.255,21,255.255.248.0
31.46.0.0/16,31.46.0.0,31.46.255.255,16,255.255.0.0
31.171.224.0/20,31.171.224.0,31.171.239.255,20,255.255.240.0
31.210.8.0/21,31.210.8.0,31.210.15.255,21,255.255.248.0
31.223.232.0/21,31.223.232.0,31.223.239.255,21,255.255.248.0
37.9.208.0/21,37.9.208.0,37.9.215.255,21,255.255.248.0
37.17.160.0/20,37.17.160.0,37.17.175.255,20,255.255.240.0
37.46.64.0/21,37.46.64.0,37.46.71.255,21,255.255.248.0
37.76.0.0/17,37.76.0.0,37.76.127.255,17,255.255.128.0
37.143.72.0/21,37.143.72.0,37.143.79.255,21,255.255.248.0
37.188.80.0/21,37.188.80.0,37.188.87.255,21,255.255.248.0
37.191.0.0/18,37.191.0.0,37.191.63.255,18,255.255.192.0
