# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
2.57.24.0/22,2.57.24.0,2.57.27.255,22,255.255.252.0,1024
2.58.180.0/22,2.58.180.0,2.58.183.255,22,255.255.252.0,1024
2.59.104.0/22,2.59.104.0,2.59.107.255,22,255.255.252.0,1024
5.42.204.0/24,5.42.204.0,5.42.204.255,24,255.255.255.0,256
5.61.112.0/21,5.61.112.0,5.61.119.255,21,255.255.248.0,2048
5.83.240.0/20,5.83.240.0,5.83.255.255,20,255.255.240.0,4096
5.134.88.0/21,5.134.88.0,5.134.95.255,21,255.255.248.0,2048
5.149.168.0/21,5.149.168.0,5.149.175.255,21,255.255.248.0,2048
5.150.144.0/21,5.150.144.0,5.150.151.255,21,255.255.248.0,2048
5.159.40.0/21,5.159.40.0,5.159.47.255,21,255.255.248.0,2048
5.179.32.0/19,5.179.32.0,5.179.63.255,19,255.255.224.0,8192
5.179.64.0/21,5.179.64.0,5.179.71.255,21,255.255.248.0,2048
5.181.8.0/22,5.181.8.0,5.181.11.255,22,255.255.252.0,1024
5.181.161.0/24,5.181.161.0,5.181.161.255,24,255.255.255.0,256
5.183.196.0/22,5.183.196.0,5.183.199.255,22,255.255.252.0,1024
5.253.124.0/22,5.253.124.0,5.253.127.255,22,255.255.252.0,1024
31.7.48.0/21,31.7.48.0,31.7.55.255,21,255.255.248.0,2048
31.13.24.0/21,31.13.24.0,31.13.31.255,21,255.255.248.0,2048
31.13.64.0/18,31.13.64.0,31.13.127.255,18,255.255.192.0,16384
31.25.80.0/21,31.25.80.0,31.25.87.255,21,255.255.248.0,2048
31.170.0.0/21,31.170.0.0,31.170.7.255,21,255.255.248.0,2048
31.193.216.0/21,31.193.216.0,31.193.223.255,21,255.255.248.0,2048
31.200.128.0/18,31.200.128.0,31.200.191.255,18,255.255.192.0,16384
31.216.232.0/21,31.216.232.0,31.216.239.255,21,255.255.248.0,2048
31.217.240.0/21,31.217.240.0,31.217.247.255,21,255.255.248.0,2048
37.0.0.0/21,37.0.0.0,37.0.7.255,21,255.255.248.0,2048
37.18.144.0/21,37.18.144.0,37.18.151.255,21,255.255.248.0,2048
37.19.96.0/21,37.19.96.0,37.19.103.255,21,255.255.248.0,2048
37.26.72.0/23,37.26.72.0,37.26.73.255,23,255.255.254.0,512
