# CIDR,network(start) address,end address,prefix,subnet mask
2.52.0.0/14,2.52.0.0,2.55.255.255,14,255.252.0.0
2.57.228.0/22,2.57.228.0,2.57.231.255,22,255.255.252.0
5.22.128.0/21,5.22.128.0,5.22.135.255,21,255.255.248.0
5.28.128.0/18,5.28.128.0,5.28.191.255,18,255.255.192.0
5.29.0.0/16,5.29.0.0,5.29.255.255,16,255.255.0.0
5.100.248.0/21,5.100.248.0,5.100.255.255,21,255.255.248.0
5.102.192.0/18,5.102.192.0,5.102.255.255,18,255.255.192.0
5.104.240.0/21,5.104.240.0,5.104.247.255,21,255.255.248.0
5.144.48.0/20,5.144.48.0,5.144.63.255,20,255.255.240.0
5.180.180.0/22,5.180.180.0,5.180.183.255,22,255.255.252.0
5.182.56.0/22,5.182.56.0,5.182.59.255,22,255.255.252.0
5.182.180.0/22,5.182.180.0,5.182.183.255,22,255.255.252.0
31.12.76.0/22,31.12.76.0,31.12.79.255,22,255.255.252.0
31.40.220.0/22,31.40.220.0,31.40.223.255,22,255.255.252.0
31.40.228.0/22,31.40.228.0,31.40.231.255,22,255.255.252.0
31.44.128.0/20,31.44.128.0,31.44.143.255,20,255.255.240.0
31.133.100.0/22,31.133.100.0,31.133.103.255,22,255.255.252.0
31.154.0.0/16,31.154.0.0,31.154.255.255,16,255.255.0.0
31.168.0.0/16,31.168.0.0,31.168.255.255,16,255.255.0.0
31.193.185.0/24,31.193.185.0,31.193.185.255,24,255.255.255.0
31.210.176.0/20,31.210.176.0,31.210.191.255,20,255.255.240.0
31.220.151.0/24,31.220.151.0,31.220.151.255,24,255.255.255.0
37.19.112.0/20,37.19.112.0,37.19.127.255,20,255.255.240.0
37.25.32.0/21,37.25.32.0,37.25.39.255,21,255.255.248.0
37.26.144.0/21,37.26.144.0,37.26.151.255,21,255.255.248.0
37.44.200.0/22,37.44.200.0,37.44.203.255,22,255.255.252.0
37.46.32.0/20,37.46.32.0,37.46.47.255,20,255.255.240.0
37.60.40.0/21,37.60.40.0,37.60.47.255,21,255.255.248.0
