# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
5.62.80.0/20,5.62.80.0,5.62.95.255,20,255.255.240.0,4096
5.253.76.0/22,5.253.76.0,5.253.79.255,22,255.255.252.0,1024
31.130.208.0/21,31.130.208.0,31.130.215.255,21,255.255.248.0,2048
37.10.116.0/24,37.10.116.0,37.10.116.255,24,255.255.255.0,256
37.18.136.0/21,37.18.136.0,37.18.143.255,21,255.255.248.0,2048
37.25.88.0/21,37.25.88.0,37.25.95.255,21,255.255.248.0,2048
43.225.112.0/22,43.225.112.0,43.225.115.255,22,255.255.252.0,1024
45.85.4.0/22,45.85.4.0,45.85.7.255,22,255.255.252.0,1024
45.85.196.0/22,45.85.196.0,45.85.199.255,22,255.255.252.0,1024
46.31.200.0/21,46.31.200.0,46.31.207.255,21,255.255.248.0,2048
46.226.184.0/21,46.226.184.0,46.226.191.255,21,255.255.248.0,2048
66.84.64.0/20,66.84.64.0,66.84.79.255,20,255.255.240.0,4096
66.132.133.0/24,66.132.133.0,66.132.133.255,24,255.255.255.0,256
77.87.176.0/21,77.87.176.0,77.87.183.255,21,255.255.248.0,2048
78.24.208.0/21,78.24.208.0,78.24.215.255,21,255.255.248.0,2048
79.170.32.0/21,79.170.32.0,79.170.39.255,21,255.255.248.0,2048
80.65.240.0/20,80.65.240.0,80.65.255.255,20,255.255.240.0,4096
81.27.96.0/20,81.27.96.0,81.27.111.255,20,255.255.240.0,4096
81.88.160.0/20,81.88.160.0,81.88.175.255,20,255.255.240.0,4096
83.218.0.0/19,83.218.0.0,83.218.31.255,19,255.255.224.0,8192
84.246.200.0/21,84.246.200.0,84.246.207.255,21,255.255.248.0,2048
85.184.200.0/21,85.184.200.0,85.184.207.255,21,255.255.248.0,2048
85.184.208.0/20,85.184.208.0,85.184.223.255,20,255.255.240.0,4096
87.254.64.0/19,87.254.64.0,87.254.95.255,19,255.255.224.0,8192
89.107.0.0/21,89.107.0.0,89.107.7.255,21,255.255.248.0,2048
91.199.83.0/24,91.199.83.0,91.199.83.255,24,255.255.255.0,256
91.206.144.0/23,91.206.144.0,91.206.145.255,23,255.255.254.0,512
91.211.96.0/22,91.211.96.0,91.211.99.255,22,255.255.252.0,1024
91.223.161.0/24,91.223.161.0,91.223.161.255,24,255.255.255.0,256
92.39.192.0/20,92.39.192.0,92.39.207.255,20,255.255.240.0,4096
94.125.56.0/21,94.125.56.0,94.125.63.255,21,255.255.248.0,2048
103.214.248.0/23,103.214.248.0,103.214.249.255,23,255.255.254.0,512
109.70.40.0/21,109.70.40.0,109.70.47.255,21,255.255.248.0,2048
109.202.112.0/21,109.202.112.0,109.202.119.255,21,255.255.248.0,2048
146.247.48.0/20,146.247.48.0,146.247.63.255,20,255.255.240.0,4096
178.16.0.0/20,178.16.0.0,178.16.15.255,20,255.255.240.0,4096
178.211.144.0/24,178.211.144.0,178.211.144.255,24,255.255.255.0,256
178.217.93.0/24,178.217.93.0,178.217.93.255,24,255.255.255.0,256
185.1.178.0/24,185.1.178.0,185.1.178.255,24,255.255.255.0,256
185.16.0.0/22,185.16.0.0,185.16.3.255,22,255.255.252.0,1024
185.28.72.0/22,185.28.72.0,185.28.75.255,22,255.255.252.0,1024
185.48.76.0/22,185.48.76.0,185.48.79.255,22,255.255.252.0,1024
185.60.88.0/22,185.60.88.0,185.60.91.255,22,255.255.252.0,1024
185.63.184.0/22,185.63.184.0,185.63.187.255,22,255.255.252.0,1024
185.64.144.0/22,185.64.144.0,185.64.147.255,22,255.255.252.0,1024
185.74.56.0/22,185.74.56.0,185.74.59.255,22,255.255.252.0,1024
185.90.216.0/22,185.90.216.0,185.90.219.255,22,255.255.252.0,1024
185.104.96.0/22,185.104.96.0,185.104.99.255,22,255.255.252.0,1024
185.180.168.0/22,185.180.168.0,185.180.171.255,22,255.255.252.0,1024
185.184.229.0/24,185.184.229.0,185.184.229.255,24,255.255.255.0,256
193.28.159.0/24,193.28.159.0,193.28.159.255,24,255.255.255.0,256
193.31.208.0/20,193.31.208.0,193.31.223.255,20,255.255.240.0,4096
193.33.228.0/23,193.33.228.0,193.33.229.255,23,255.255.254.0,512
193.143.248.0/24,193.143.248.0,193.143.248.255,24,255.255.255.0,256
193.219.111.0/24,193.219.111.0,193.219.111.255,24,255.255.255.0,256
195.10.96.0/19,195.10.96.0,195.10.127.255,19,255.255.224.0,8192
213.137.0.0/19,213.137.0.0,213.137.31.255,19,255.255.224.0,8192
217.23.160.0/20,217.23.160.0,217.23.175.255,20,255.255.240.0,4096
217.28.0.0/20,217.28.0.0,217.28.15.255,20,255.255.240.0,4096
