# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
5.1.104.0/21,5.1.104.0,5.1.111.255,21,255.255.248.0,2048
5.8.240.0/21,5.8.240.0,5.8.247.255,21,255.255.248.0,2048
5.10.224.0/21,5.10.224.0,5.10.231.255,21,255.255.248.0,2048
5.62.128.0/20,5.62.128.0,5.62.143.255,20,255.255.240.0,4096
5.62.144.0/21,5.62.144.0,5.62.151.255,21,255.255.248.0,2048
5.149.96.0/20,5.149.96.0,5.149.111.255,20,255.255.240.0,4096
5.181.196.0/22,5.181.196.0,5.181.199.255,22,255.255.252.0,1024
5.183.151.0/24,5.183.151.0,5.183.151.255,24,255.255.255.0,256
5.252.132.0/22,5.252.132.0,5.252.135.255,22,255.255.252.0,1024
31.7.80.0/21,31.7.80.0,31.7.87.255,21,255.255.248.0,2048
31.14.228.0/22,31.14.228.0,31.14.231.255,22,255.255.252.0,1024
31.24.252.0/24,31.24.252.0,31.24.252.255,24,255.255.255.0,256
31.25.136.0/21,31.25.136.0,31.25.143.255,21,255.255.248.0,2048
31.223.185.0/24,31.223.185.0,31.223.185.255,24,255.255.255.0,256
31.223.186.0/24,31.223.186.0,31.223.186.255,24,255.255.255.0,256
37.17.128.0/19,37.17.128.0,37.17.159.255,19,255.255.224.0,8192
37.77.48.0/21,37.77.48.0,37.77.55.255,21,255.255.248.0,2048
37.77.64.0/20,37.77.64.0,37.77.79.255,20,255.255.240.0,4096
37.98.224.0/21,37.98.224.0,37.98.231.255,21,255.255.248.0,2048
37.156.104.0/22,37.156.104.0,37.156.107.255,22,255.255.252.0,1024
37.205.112.0/21,37.205.112.0,37.205.119.255,21,255.255.248.0,2048
45.81.144.0/22,45.81.144.0,45.81.147.255,22,255.255.252.0,1024
45.82.60.0/22,45.82.60.0,45.82.63.255,22,255.255.252.0,1024
45.89.20.0/24,45.89.20.0,45.89.20.255,24,255.255.255.0,256
45.113.239.0/24,45.113.239.0,45.113.239.255,24,255.255.255.0,256
45.128.120.0/22,45.128.120.0,45.128.123.255,22,255.255.252.0,1024
45.143.28.0/22,45.143.28.0,45.143.31.255,22,255.255.252.0,1024
45.148.92.0/22,45.148.92.0,45.148.95.255,22,255.255.252.0,1024
45.151.76.0/22,45.151.76.0,45.151.79.255,22,255.255.252.0,1024
45.153.116.0/22,45.153.116.0,45.153.119.255,22,255.255.252.0,1024
45.157.52.0/22,45.157.52.0,45.157.55.255,22,255.255.252.0,1024
45.157.148.0/22,45.157.148.0,45.157.151.255,22,255.255.252.0,1024
