# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
5.23.64.0/19,5.23.64.0,5.23.95.255,19,255.255.224.0,8192
31.15.112.0/21,31.15.112.0,31.15.119.255,21,255.255.248.0,2048
31.43.172.0/23,31.43.172.0,31.43.173.255,23,255.255.254.0,512
31.209.136.0/21,31.209.136.0,31.209.143.255,21,255.255.248.0,2048
31.209.144.0/20,31.209.144.0,31.209.159.255,20,255.255.240.0,4096
31.209.192.0/18,31.209.192.0,31.209.255.255,18,255.255.192.0,16384
37.152.64.0/21,37.152.64.0,37.152.71.255,21,255.255.248.0,2048
37.156.68.0/24,37.156.68.0,37.156.68.255,24,255.255.255.0,256
37.205.32.0/21,37.205.32.0,37.205.39.255,21,255.255.248.0,2048
37.228.128.0/23,37.228.128.0,37.228.129.255,23,255.255.254.0,512
46.22.96.0/20,46.22.96.0,46.22.111.255,20,255.255.240.0,4096
46.28.152.0/21,46.28.152.0,46.28.159.255,21,255.255.248.0,2048
46.182.184.0/21,46.182.184.0,46.182.191.255,21,255.255.248.0,2048
46.239.192.0/18,46.239.192.0,46.239.255.255,18,255.255.192.0,16384
62.145.128.0/19,62.145.128.0,62.145.159.255,19,255.255.224.0,8192
77.73.33.0/24,77.73.33.0,77.73.33.255,24,255.255.255.0,256
78.40.248.0/21,78.40.248.0,78.40.255.255,21,255.255.248.0,2048
79.171.96.0/21,79.171.96.0,79.171.103.255,21,255.255.248.0,2048
80.248.16.0/20,80.248.16.0,80.248.31.255,20,255.255.240.0,4096
81.15.0.0/17,81.15.0.0,81.15.127.255,17,255.255.128.0,32768
82.112.64.0/19,82.112.64.0,82.112.95.255,19,255.255.224.0,8192
82.148.64.0/19,82.148.64.0,82.148.95.255,19,255.255.224.0,8192
82.221.0.0/16,82.221.0.0,82.221.255.255,16,255.255.0.0,65536
83.173.0.0/18,83.173.0.0,83.173.63.255,18,255.255.192.0,16384
85.116.64.0/19,85.116.64.0,85.116.95.255,19,255.255.224.0,8192
85.197.192.0/18,85.197.192.0,85.197.255.255,18,255.255.192.0,16384
85.220.0.0/17,85.220.0.0,85.220.127.255,17,255.255.128.0,32768
87.121.23.0/24,87.121.23.0,87.121.23.255,24,255.255.255.0,256
87.237.32.0/21,87.237.32.0,87.237.39.255,21,255.255.248.0,2048
88.135.70.0/24,88.135.70.0,88.135.70.255,24,255.255.255.0,256
88.149.0.0/17,88.149.0.0,88.149.127.255,17,255.255.128.0,32768
88.151.48.0/21,88.151.48.0,88.151.55.255,21,255.255.248.0,2048
89.17.128.0/19,89.17.128.0,89.17.159.255,19,255.255.224.0,8192
89.104.128.0/19,89.104.128.0,89.104.159.255,19,255.255.224.0,8192
89.147.108.0/22,89.147.108.0,89.147.111.255,22,255.255.252.0,1024
89.160.128.0/17,89.160.128.0,89.160.255.255,17,255.255.128.0,32768
91.199.134.0/24,91.199.134.0,91.199.134.255,24,255.255.255.0,256
91.208.22.0/24,91.208.22.0,91.208.22.255,24,255.255.255.0,256
91.216.255.0/24,91.216.255.0,91.216.255.255,24,255.255.255.0,256
91.220.110.0/24,91.220.110.0,91.220.110.255,24,255.255.255.0,256
91.220.138.0/24,91.220.138.0,91.220.138.255,24,255.255.255.0,256
91.235.6.0/24,91.235.6.0,91.235.6.255,24,255.255.255.0,256
92.43.192.0/21,92.43.192.0,92.43.199.255,21,255.255.248.0,2048
93.95.25.0/24,93.95.25.0,93.95.25.255,24,255.255.255.0,256
93.95.72.0/21,93.95.72.0,93.95.79.255,21,255.255.248.0,2048
93.95.224.0/21,93.95.224.0,93.95.231.255,21,255.255.248.0,2048
94.142.152.0/21,94.142.152.0,94.142.159.255,21,255.255.248.0,2048
94.198.48.0/23,94.198.48.0,94.198.49.255,23,255.255.254.0,512
128.140.232.0/21,128.140.232.0,128.140.239.255,21,255.255.248.0,2048
130.208.0.0/16,130.208.0.0,130.208.255.255,16,255.255.0.0,65536
147.28.16.0/20,147.28.16.0,147.28.31.255,20,255.255.240.0,4096
149.126.80.0/21,149.126.80.0,149.126.87.255,21,255.255.248.0,2048
157.97.0.0/19,157.97.0.0,157.97.31.255,19,255.255.224.0,8192
157.157.0.0/16,157.157.0.0,157.157.255.255,16,255.255.0.0,65536
160.20.214.0/23,160.20.214.0,160.20.215.255,23,255.255.254.0,512
160.210.0.0/16,160.210.0.0,160.210.255.255,16,255.255.0.0,65536
176.10.32.0/21,176.10.32.0,176.10.39.255,21,255.255.248.0,2048
176.57.224.0/20,176.57.224.0,176.57.239.255,20,255.255.240.0,4096
178.19.48.0/20,178.19.48.0,178.19.63.255,20,255.255.240.0,4096
178.248.16.0/21,178.248.16.0,178.248.23.255,21,255.255.248.0,2048
185.1.200.0/24,185.1.200.0,185.1.200.255,24,255.255.255.0,256
185.10.68.0/24,185.10.68.0,185.10.68.255,24,255.255.255.0,256
185.21.16.0/22,185.21.16.0,185.21.19.255,22,255.255.252.0,1024
185.24.0.0/22,185.24.0.0,185.24.3.255,22,255.255.252.0,1024
185.25.252.0/22,185.25.252.0,185.25.255.255,22,255.255.252.0,1024
185.27.36.0/22,185.27.36.0,185.27.39.255,22,255.255.252.0,1024
185.29.196.0/22,185.29.196.0,185.29.199.255,22,255.255.252.0,1024
185.30.184.0/22,185.30.184.0,185.30.187.255,22,255.255.252.0,1024
185.40.120.0/22,185.40.120.0,185.40.123.255,22,255.255.252.0,1024
185.43.30.0/24,185.43.30.0,185.43.30.255,24,255.255.255.0,256
185.44.204.0/24,185.44.204.0,185.44.204.255,24,255.255.255.0,256
185.44.240.0/22,185.44.240.0,185.44.243.255,22,255.255.252.0,1024
185.45.76.0/22,185.45.76.0,185.45.79.255,22,255.255.252.0,1024
185.56.12.0/22,185.56.12.0,185.56.15.255,22,255.255.252.0,1024
185.62.60.0/22,185.62.60.0,185.62.63.255,22,255.255.252.0,1024
185.67.84.0/22,185.67.84.0,185.67.87.255,22,255.255.252.0,1024
185.67.180.0/22,185.67.180.0,185.67.183.255,22,255.255.252.0,1024
185.86.220.0/22,185.86.220.0,185.86.223.255,22,255.255.252.0,1024
185.93.156.0/22,185.93.156.0,185.93.159.255,22,255.255.252.0,1024
185.100.84.0/22,185.100.84.0,185.100.87.255,22,255.255.252.0,1024
185.101.124.0/22,185.101.124.0,185.101.127.255,22,255.255.252.0,1024
185.107.60.0/22,185.107.60.0,185.107.63.255,22,255.255.252.0,1024
185.109.100.0/22,185.109.100.0,185.109.103.255,22,255.255.252.0,1024
185.111.36.0/22,185.111.36.0,185.111.39.255,22,255.255.252.0,1024
185.112.144.0/22,185.112.144.0,185.112.147.255,22,255.255.252.0,1024
185.112.204.0/22,185.112.204.0,185.112.207.255,22,255.255.252.0,1024
185.118.32.0/22,185.118.32.0,185.118.35.255,22,255.255.252.0,1024
185.119.124.0/22,185.119.124.0,185.119.127.255,22,255.255.252.0,1024
185.123.196.0/22,185.123.196.0,185.123.199.255,22,255.255.252.0,1024
185.125.240.0/22,185.125.240.0,185.125.243.255,22,255.255.252.0,1024
185.126.60.0/22,185.126.60.0,185.126.63.255,22,255.255.252.0,1024
185.130.12.0/22,185.130.12.0,185.130.15.255,22,255.255.252.0,1024
185.138.172.0/22,185.138.172.0,185.138.175.255,22,255.255.252.0,1024
185.146.232.0/22,185.146.232.0,185.146.235.255,22,255.255.252.0,1024
185.147.136.0/22,185.147.136.0,185.147.139.255,22,255.255.252.0,1024
185.152.116.0/22,185.152.116.0,185.152.119.255,22,255.255.252.0,1024
185.154.116.0/22,185.154.116.0,185.154.119.255,22,255.255.252.0,1024
185.156.20.0/22,185.156.20.0,185.156.23.255,22,255.255.252.0,1024
185.165.168.0/22,185.165.168.0,185.165.171.255,22,255.255.252.0,1024
185.169.188.0/22,185.169.188.0,185.169.191.255,22,255.255.252.0,1024
185.174.176.0/22,185.174.176.0,185.174.179.255,22,255.255.252.0,1024
185.177.132.0/22,185.177.132.0,185.177.135.255,22,255.255.252.0,1024
185.179.76.0/22,185.179.76.0,185.179.79.255,22,255.255.252.0,1024
185.179.108.0/22,185.179.108.0,185.179.111.255,22,255.255.252.0,1024
185.191.232.0/22,185.191.232.0,185.191.235.255,22,255.255.252.0,1024
185.198.144.0/22,185.198.144.0,185.198.147.255,22,255.255.252.0,1024
185.219.148.0/22,185.219.148.0,185.219.151.255,22,255.255.252.0,1024
185.221.176.0/22,185.221.176.0,185.221.179.255,22,255.255.252.0,1024
185.221.232.0/22,185.221.232.0,185.221.235.255,22,255.255.252.0,1024
185.236.130.0/24,185.236.130.0,185.236.130.255,24,255.255.255.0,256
185.240.40.0/22,185.240.40.0,185.240.43.255,22,255.255.252.0,1024
185.242.186.0/24,185.242.186.0,185.242.186.255,24,255.255.255.0,256
185.245.172.0/22,185.245.172.0,185.245.175.255,22,255.255.252.0,1024
185.246.188.0/22,185.246.188.0,185.246.191.255,22,255.255.252.0,1024
185.247.224.0/22,185.247.224.0,185.247.227.255,22,255.255.252.0,1024
185.248.120.0/22,185.248.120.0,185.248.123.255,22,255.255.252.0,1024
192.147.34.0/24,192.147.34.0,192.147.34.255,24,255.255.255.0,256
193.4.0.0/16,193.4.0.0,193.4.255.255,16,255.255.0.0,65536
193.107.84.0/22,193.107.84.0,193.107.87.255,22,255.255.252.0,1024
193.109.16.0/20,193.109.16.0,193.109.31.255,20,255.255.240.0,4096
193.243.188.0/24,193.243.188.0,193.243.188.255,24,255.255.255.0,256
194.31.61.0/24,194.31.61.0,194.31.61.255,24,255.255.255.0,256
194.105.224.0/19,194.105.224.0,194.105.255.255,19,255.255.224.0,8192
194.144.0.0/16,194.144.0.0,194.144.255.255,16,255.255.0.0,65536
195.130.193.0/24,195.130.193.0,195.130.193.255,24,255.255.255.0,256
195.130.211.0/24,195.130.211.0,195.130.211.255,24,255.255.255.0,256
195.246.230.0/23,195.246.230.0,195.246.231.255,23,255.255.254.0,512
212.30.192.0/18,212.30.192.0,212.30.255.255,18,255.255.192.0,16384
212.46.60.0/24,212.46.60.0,212.46.60.255,24,255.255.255.0,256
212.126.224.0/19,212.126.224.0,212.126.255.255,19,255.255.224.0,8192
213.167.128.0/19,213.167.128.0,213.167.159.255,19,255.255.224.0,8192
213.176.128.0/19,213.176.128.0,213.176.159.255,19,255.255.224.0,8192
213.181.96.0/19,213.181.96.0,213.181.127.255,19,255.255.224.0,8192
213.190.96.0/19,213.190.96.0,213.190.127.255,19,255.255.224.0,8192
213.213.128.0/19,213.213.128.0,213.213.159.255,19,255.255.224.0,8192
213.220.64.0/18,213.220.64.0,213.220.127.255,18,255.255.192.0,16384
217.9.128.0/20,217.9.128.0,217.9.143.255,20,255.255.240.0,4096
217.28.176.0/20,217.28.176.0,217.28.191.255,20,255.255.240.0,4096
217.151.160.0/19,217.151.160.0,217.151.191.255,19,255.255.224.0,8192
217.171.208.0/20,217.171.208.0,217.171.223.255,20,255.255.240.0,4096
