# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
2.32.0.0/12,2.32.0.0,2.47.255.255,12,255.240.0.0,1048576
2.56.92.0/22,2.56.92.0,2.56.95.255,22,255.255.252.0,1024
2.56.128.0/22,2.56.128.0,2.56.131.255,22,255.255.252.0,1024
2.57.32.0/22,2.57.32.0,2.57.35.255,22,255.255.252.0,1024
2.57.84.0/22,2.57.84.0,2.57.87.255,22,255.255.252.0,1024
2.58.93.0/24,2.58.93.0,2.58.93.255,24,255.255.255.0,256
2.58.94.0/24,2.58.94.0,2.58.94.255,24,255.255.255.0,256
2.58.128.0/22,2.58.128.0,2.58.131.255,22,255.255.252.0,1024
2.58.136.0/22,2.58.136.0,2.58.139.255,22,255.255.252.0,1024
2.58.184.0/22,2.58.184.0,2.58.187.255,22,255.255.252.0,1024
2.58.208.0/22,2.58.208.0,2.58.211.255,22,255.255.252.0,1024
2.59.4.0/22,2.59.4.0,2.59.7.255,22,255.255.252.0,1024
2.59.16.0/22,2.59.16.0,2.59.19.255,22,255.255.252.0,1024
2.59.140.0/22,2.59.140.0,2.59.143.255,22,255.255.252.0,1024
2.59.228.0/22,2.59.228.0,2.59.231.255,22,255.255.252.0,1024
2.59.248.0/22,2.59.248.0,2.59.251.255,22,255.255.252.0,1024
2.112.0.0/13,2.112.0.0,2.119.255.255,13,255.248.0.0,524288
2.156.0.0/14,2.156.0.0,2.159.255.255,14,255.252.0.0,262144
2.192.0.0/13,2.192.0.0,2.199.255.255,13,255.248.0.0,524288
2.224.0.0/12,2.224.0.0,2.239.255.255,12,255.240.0.0,1048576
5.1.42.0/24,5.1.42.0,5.1.42.255,24,255.255.255.0,256
5.1.44.0/24,5.1.44.0,5.1.44.255,24,255.255.255.0,256
5.2.0.0/20,5.2.0.0,5.2.15.255,20,255.255.240.0,4096
5.8.96.0/19,5.8.96.0,5.8.127.255,19,255.255.224.0,8192
5.11.32.0/21,5.11.32.0,5.11.39.255,21,255.255.248.0,2048
5.11.96.0/19,5.11.96.0,5.11.127.255,19,255.255.224.0,8192
5.23.32.0/21,5.23.32.0,5.23.39.255,21,255.255.248.0,2048
5.28.8.0/21,5.28.8.0,5.28.15.255,21,255.255.248.0,2048
5.34.184.0/21,5.34.184.0,5.34.191.255,21,255.255.248.0,2048
5.42.144.0/21,5.42.144.0,5.42.151.255,21,255.255.248.0,2048
5.43.232.0/21,5.43.232.0,5.43.239.255,21,255.255.248.0,2048
5.43.248.0/21,5.43.248.0,5.43.255.255,21,255.255.248.0,2048
5.56.8.0/21,5.56.8.0,5.56.15.255,21,255.255.248.0,2048
5.57.208.0/24,5.57.208.0,5.57.208.255,24,255.255.255.0,256
5.61.0.0/21,5.61.0.0,5.61.7.255,21,255.255.248.0,2048
5.61.192.0/21,5.61.192.0,5.61.199.255,21,255.255.248.0,2048
5.61.216.0/21,5.61.216.0,5.61.223.255,21,255.255.248.0,2048
5.62.72.0/21,5.62.72.0,5.62.79.255,21,255.255.248.0,2048
5.63.17.0/24,5.63.17.0,5.63.17.255,24,255.255.255.0,256
5.63.136.0/21,5.63.136.0,5.63.143.255,21,255.255.248.0,2048
5.63.168.0/21,5.63.168.0,5.63.175.255,21,255.255.248.0,2048
5.77.64.0/18,5.77.64.0,5.77.127.255,18,255.255.192.0,16384
5.83.104.0/21,5.83.104.0,5.83.111.255,21,255.255.248.0,2048
5.83.120.0/21,5.83.120.0,5.83.127.255,21,255.255.248.0,2048
5.84.0.0/14,5.84.0.0,5.87.255.255,14,255.252.0.0,262144
5.88.0.0/13,5.88.0.0,5.95.255.255,13,255.248.0.0,524288
