# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
5.35.160.0/21,5.35.160.0,5.35.167.255,21,255.255.248.0,2048
5.42.128.0/21,5.42.128.0,5.42.135.255,21,255.255.248.0,2048
31.186.112.0/21,31.186.112.0,31.186.119.255,21,255.255.248.0,2048
37.156.38.0/23,37.156.38.0,37.156.39.255,23,255.255.254.0,512
46.254.248.0/21,46.254.248.0,46.254.255.255,21,255.255.248.0,2048
81.20.176.0/20,81.20.176.0,81.20.191.255,20,255.255.240.0,4096
82.112.128.0/19,82.112.128.0,82.112.159.255,19,255.255.224.0,8192
83.137.248.0/21,83.137.248.0,83.137.255.255,21,255.255.248.0,2048
87.237.128.0/21,87.237.128.0,87.237.135.255,21,255.255.248.0,2048
87.244.64.0/18,87.244.64.0,87.244.127.255,18,255.255.192.0,16384
93.191.200.0/21,93.191.200.0,93.191.207.255,21,255.255.248.0,2048
109.68.192.0/22,109.68.192.0,109.68.195.255,22,255.255.252.0,1024
146.19.127.0/24,146.19.127.0,146.19.127.255,24,255.255.255.0,256
165.250.0.0/16,165.250.0.0,165.250.255.255,16,255.255.0.0,65536
173.255.144.0/21,173.255.144.0,173.255.151.255,21,255.255.248.0,2048
185.3.52.0/22,185.3.52.0,185.3.55.255,22,255.255.252.0,1024
185.16.68.0/22,185.16.68.0,185.16.71.255,22,255.255.252.0,1024
185.48.60.0/22,185.48.60.0,185.48.63.255,22,255.255.252.0,1024
185.57.212.0/22,185.57.212.0,185.57.215.255,22,255.255.252.0,1024
185.87.8.0/22,185.87.8.0,185.87.11.255,22,255.255.252.0,1024
185.113.12.0/22,185.113.12.0,185.113.15.255,22,255.255.252.0,1024
185.122.244.0/22,185.122.244.0,185.122.247.255,22,255.255.252.0,1024
185.158.120.0/22,185.158.120.0,185.158.123.255,22,255.255.252.0,1024
185.179.89.0/24,185.179.89.0,185.179.89.255,24,255.255.255.0,256
185.179.101.0/24,185.179.101.0,185.179.101.255,24,255.255.255.0,256
185.206.12.0/22,185.206.12.0,185.206.15.255,22,255.255.252.0,1024
185.235.244.0/24,185.235.244.0,185.235.244.255,24,255.255.255.0,256
188.116.44.0/24,188.116.44.0,188.116.44.255,24,255.255.255.0,256
193.3.239.0/24,193.3.239.0,193.3.239.255,24,255.255.255.0,256
193.17.36.0/22,193.17.36.0,193.17.39.255,22,255.255.252.0,1024
193.201.42.0/24,193.201.42.0,193.201.42.255,24,255.255.255.0,256
194.34.106.0/23,194.34.106.0,194.34.107.255,23,255.255.254.0,512
199.34.116.0/22,199.34.116.0,199.34.119.255,22,255.255.252.0,1024
199.66.128.0/22,199.66.128.0,199.66.131.255,22,255.255.252.0,1024
209.251.252.0/23,209.251.252.0,209.251.253.255,23,255.255.254.0,512
212.9.0.0/19,212.9.0.0,212.9.31.255,19,255.255.224.0,8192
213.133.192.0/19,213.133.192.0,213.133.223.255,19,255.255.224.0,8192
213.134.23.0/24,213.134.23.0,213.134.23.255,24,255.255.255.0,256
217.198.188.0/24,217.198.188.0,217.198.188.255,24,255.255.255.0,256
