# CIDR,network(start) address,end address,prefix,subnet mask
23.156.32.0/24,23.156.32.0,23.156.32.255,24,255.255.255.0
63.143.64.0/18,63.143.64.0,63.143.127.255,18,255.255.192.0
64.112.16.0/22,64.112.16.0,64.112.19.255,22,255.255.252.0
65.183.0.0/20,65.183.0.0,65.183.15.255,20,255.255.240.0
66.54.112.0/20,66.54.112.0,66.54.127.255,20,255.255.240.0
66.212.52.0/22,66.212.52.0,66.212.55.255,22,255.255.252.0
66.249.144.0/20,66.249.144.0,66.249.159.255,20,255.255.240.0
69.160.96.0/19,69.160.96.0,69.160.127.255,19,255.255.224.0
72.27.0.0/17,72.27.0.0,72.27.127.255,17,255.255.128.0
72.27.128.0/18,72.27.128.0,72.27.191.255,18,255.255.192.0
72.27.192.0/19,72.27.192.0,72.27.223.255,19,255.255.224.0
74.116.56.0/22,74.116.56.0,74.116.59.255,22,255.255.252.0
96.43.160.0/19,96.43.160.0,96.43.191.255,19,255.255.224.0
104.152.236.0/22,104.152.236.0,104.152.239.255,22,255.255.252.0
104.244.224.0/21,104.244.224.0,104.244.231.255,21,255.255.248.0
162.216.160.0/21,162.216.160.0,162.216.167.255,21,255.255.248.0
162.246.0.0/22,162.246.0.0,162.246.3.255,22,255.255.252.0
173.225.240.0/20,173.225.240.0,173.225.255.255,20,255.255.240.0
184.170.0.0/18,184.170.0.0,184.170.63.255,18,255.255.192.0
192.131.32.0/21,192.131.32.0,192.131.39.255,21,255.255.248.0
196.1.136.0/24,196.1.136.0,196.1.136.255,24,255.255.255.0
196.1.138.0/23,196.1.138.0,196.1.139.255,23,255.255.254.0
196.2.0.0/23,196.2.0.0,196.2.1.255,23,255.255.254.0
196.3.0.0/21,196.3.0.0,196.3.7.255,21,255.255.248.0
196.3.95.0/24,196.3.95.0,196.3.95.255,24,255.255.255.0
196.3.104.0/24,196.3.104.0,196.3.104.255,24,255.255.255.0
196.3.153.0/24,196.3.153.0,196.3.153.255,24,255.255.255.0
196.3.184.0/21,196.3.184.0,196.3.191.255,21,255.255.248.0
196.32.0.0/21,196.32.0.0,196.32.7.255,21,255.255.248.0
198.58.0.0/23,198.58.0.0,198.58.1.255,23,255.255.254.0
199.115.28.0/23,199.115.28.0,199.115.29.255,23,255.255.254.0
200.9.115.0/24,200.9.115.0,200.9.115.255,24,255.255.255.0
200.10.152.0/24,200.10.152.0,200.10.152.255,24,255.255.255.0
206.41.107.0/24,206.41.107.0,206.41.107.255,24,255.255.255.0
207.204.64.0/18,207.204.64.0,207.204.127.255,18,255.255.192.0
207.254.128.0/20,207.254.128.0,207.254.143.255,20,255.255.240.0
208.131.160.0/19,208.131.160.0,208.131.191.255,19,255.255.224.0
208.138.16.0/20,208.138.16.0,208.138.31.255,20,255.255.240.0
208.138.32.0/20,208.138.32.0,208.138.47.255,20,255.255.240.0
208.163.32.0/19,208.163.32.0,208.163.63.255,19,255.255.224.0
209.236.0.0/18,209.236.0.0,209.236.63.255,18,255.255.192.0
216.10.208.0/20,216.10.208.0,216.10.223.255,20,255.255.240.0
