# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
2.59.52.0/22,2.59.52.0,2.59.55.255,22,255.255.252.0,1024
5.45.128.0/20,5.45.128.0,5.45.143.255,20,255.255.240.0,4096
5.198.240.0/21,5.198.240.0,5.198.247.255,21,255.255.248.0,2048
5.199.184.0/22,5.199.184.0,5.199.187.255,22,255.255.252.0,1024
37.17.192.0/20,37.17.192.0,37.17.207.255,20,255.255.240.0,4096
37.44.32.0/21,37.44.32.0,37.44.39.255,21,255.255.248.0,2048
37.75.144.0/21,37.75.144.0,37.75.151.255,21,255.255.248.0,2048
37.123.64.0/19,37.123.64.0,37.123.95.255,19,255.255.224.0,8192
37.152.0.0/21,37.152.0.0,37.152.7.255,21,255.255.248.0,2048
37.202.64.0/18,37.202.64.0,37.202.127.255,18,255.255.192.0,16384
37.220.112.0/20,37.220.112.0,37.220.127.255,20,255.255.240.0,4096
37.252.222.0/24,37.252.222.0,37.252.222.255,24,255.255.255.0,256
45.142.196.0/22,45.142.196.0,45.142.199.255,22,255.255.252.0,1024
46.23.112.0/20,46.23.112.0,46.23.127.255,20,255.255.240.0,4096
46.32.96.0/19,46.32.96.0,46.32.127.255,19,255.255.224.0,8192
46.185.128.0/17,46.185.128.0,46.185.255.255,17,255.255.128.0,32768
46.248.192.0/19,46.248.192.0,46.248.223.255,19,255.255.224.0,8192
62.72.160.0/19,62.72.160.0,62.72.191.255,19,255.255.224.0,8192
77.245.0.0/20,77.245.0.0,77.245.15.255,20,255.255.240.0,4096
79.134.128.0/19,79.134.128.0,79.134.159.255,19,255.255.224.0,8192
79.173.192.0/18,79.173.192.0,79.173.255.255,18,255.255.192.0,16384
80.90.160.0/20,80.90.160.0,80.90.175.255,20,255.255.240.0,4096
81.21.0.0/20,81.21.0.0,81.21.15.255,20,255.255.240.0,4096
81.28.112.0/20,81.28.112.0,81.28.127.255,20,255.255.240.0,4096
82.212.64.0/18,82.212.64.0,82.212.127.255,18,255.255.192.0,16384
84.18.32.0/19,84.18.32.0,84.18.63.255,19,255.255.224.0,8192
84.18.64.0/19,84.18.64.0,84.18.95.255,19,255.255.224.0,8192
84.252.106.0/24,84.252.106.0,84.252.106.255,24,255.255.255.0,256
85.159.216.0/21,85.159.216.0,85.159.223.255,21,255.255.248.0,2048
86.108.0.0/17,86.108.0.0,86.108.127.255,17,255.255.128.0,32768
87.236.232.0/21,87.236.232.0,87.236.239.255,21,255.255.248.0,2048
87.238.128.0/21,87.238.128.0,87.238.135.255,21,255.255.248.0,2048
89.20.49.0/24,89.20.49.0,89.20.49.255,24,255.255.255.0,256
89.28.216.0/21,89.28.216.0,89.28.223.255,21,255.255.248.0,2048
89.38.152.0/23,89.38.152.0,89.38.153.255,23,255.255.254.0,512
91.106.96.0/20,91.106.96.0,91.106.111.255,20,255.255.240.0,4096
91.132.100.0/24,91.132.100.0,91.132.100.255,24,255.255.255.0,256
91.186.224.0/19,91.186.224.0,91.186.255.255,19,255.255.224.0,8192
91.209.248.0/24,91.209.248.0,91.209.248.255,24,255.255.255.0,256
91.212.0.0/24,91.212.0.0,91.212.0.255,24,255.255.255.0,256
91.220.195.0/24,91.220.195.0,91.220.195.255,24,255.255.255.0,256
91.223.202.0/24,91.223.202.0,91.223.202.255,24,255.255.255.0,256
92.241.32.0/19,92.241.32.0,92.241.63.255,19,255.255.224.0,8192
92.253.0.0/17,92.253.0.0,92.253.127.255,17,255.255.128.0,32768
93.93.144.0/21,93.93.144.0,93.93.151.255,21,255.255.248.0,2048
93.95.200.0/21,93.95.200.0,93.95.207.255,21,255.255.248.0,2048
93.115.2.0/23,93.115.2.0,93.115.3.255,23,255.255.254.0,512
93.115.15.0/24,93.115.15.0,93.115.15.255,24,255.255.255.0,256
93.191.176.0/21,93.191.176.0,93.191.183.255,21,255.255.248.0,2048
94.127.208.0/21,94.127.208.0,94.127.215.255,21,255.255.248.0,2048
94.142.32.0/19,94.142.32.0,94.142.63.255,19,255.255.224.0,8192
94.249.0.0/17,94.249.0.0,94.249.127.255,17,255.255.128.0,32768
95.141.208.0/20,95.141.208.0,95.141.223.255,20,255.255.240.0,4096
95.172.192.0/19,95.172.192.0,95.172.223.255,19,255.255.224.0,8192
109.107.224.0/19,109.107.224.0,109.107.255.255,19,255.255.224.0,8192
109.237.192.0/20,109.237.192.0,109.237.207.255,20,255.255.240.0,4096
141.0.0.0/21,141.0.0.0,141.0.7.255,21,255.255.248.0,2048
141.98.64.0/22,141.98.64.0,141.98.67.255,22,255.255.252.0,1024
141.105.56.0/21,141.105.56.0,141.105.63.255,21,255.255.248.0,2048
146.19.239.0/24,146.19.239.0,146.19.239.255,24,255.255.255.0,256
146.19.246.0/24,146.19.246.0,146.19.246.255,24,255.255.255.0,256
149.200.128.0/17,149.200.128.0,149.200.255.255,17,255.255.128.0,32768
176.28.128.0/17,176.28.128.0,176.28.255.255,17,255.255.128.0,32768
176.29.0.0/16,176.29.0.0,176.29.255.255,16,255.255.0.0,65536
176.57.0.0/19,176.57.0.0,176.57.31.255,19,255.255.224.0,8192
176.57.48.0/20,176.57.48.0,176.57.63.255,20,255.255.240.0,4096
176.118.39.0/24,176.118.39.0,176.118.39.255,24,255.255.255.0,256
176.241.64.0/21,176.241.64.0,176.241.71.255,21,255.255.248.0,2048
178.20.184.0/21,178.20.184.0,178.20.191.255,21,255.255.248.0,2048
178.77.128.0/18,178.77.128.0,178.77.191.255,18,255.255.192.0,16384
178.238.176.0/20,178.238.176.0,178.238.191.255,20,255.255.240.0,4096
185.10.216.0/22,185.10.216.0,185.10.219.255,22,255.255.252.0,1024
185.12.244.0/22,185.12.244.0,185.12.247.255,22,255.255.252.0,1024
185.14.132.0/22,185.14.132.0,185.14.135.255,22,255.255.252.0,1024
185.19.112.0/22,185.19.112.0,185.19.115.255,22,255.255.252.0,1024
185.24.128.0/22,185.24.128.0,185.24.131.255,22,255.255.252.0,1024
185.30.248.0/22,185.30.248.0,185.30.251.255,22,255.255.252.0,1024
185.33.28.0/22,185.33.28.0,185.33.31.255,22,255.255.252.0,1024
185.40.19.0/24,185.40.19.0,185.40.19.255,24,255.255.255.0,256
185.43.146.0/24,185.43.146.0,185.43.146.255,24,255.255.255.0,256
185.51.212.0/22,185.51.212.0,185.51.215.255,22,255.255.252.0,1024
185.57.120.0/22,185.57.120.0,185.57.123.255,22,255.255.252.0,1024
185.80.24.0/22,185.80.24.0,185.80.27.255,22,255.255.252.0,1024
185.80.104.0/22,185.80.104.0,185.80.107.255,22,255.255.252.0,1024
185.98.220.0/22,185.98.220.0,185.98.223.255,22,255.255.252.0,1024
185.98.224.0/22,185.98.224.0,185.98.227.255,22,255.255.252.0,1024
185.109.120.0/22,185.109.120.0,185.109.123.255,22,255.255.252.0,1024
185.109.192.0/22,185.109.192.0,185.109.195.255,22,255.255.252.0,1024
185.135.200.0/22,185.135.200.0,185.135.203.255,22,255.255.252.0,1024
185.139.220.0/22,185.139.220.0,185.139.223.255,22,255.255.252.0,1024
