# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
41.57.96.0/20,41.57.96.0,41.57.111.255,20,255.255.240.0,4096
41.72.160.0/19,41.72.160.0,41.72.191.255,19,255.255.224.0,8192
41.75.144.0/20,41.75.144.0,41.75.159.255,20,255.255.240.0,4096
41.76.168.0/21,41.76.168.0,41.76.175.255,21,255.255.248.0,2048
41.76.184.0/21,41.76.184.0,41.76.191.255,21,255.255.248.0,2048
41.78.24.0/22,41.78.24.0,41.78.27.255,22,255.255.252.0,1024
41.79.8.0/22,41.79.8.0,41.79.11.255,22,255.255.252.0,1024
41.79.168.0/22,41.79.168.0,41.79.171.255,22,255.255.252.0,1024
41.79.228.0/22,41.79.228.0,41.79.231.255,22,255.255.252.0,1024
41.79.252.0/22,41.79.252.0,41.79.255.255,22,255.255.252.0,1024
41.80.0.0/15,41.80.0.0,41.81.255.255,15,255.254.0.0,131072
41.89.0.0/16,41.89.0.0,41.89.255.255,16,255.255.0.0,65536
41.90.0.0/16,41.90.0.0,41.90.255.255,16,255.255.0.0,65536
41.138.240.0/20,41.138.240.0,41.138.255.255,20,255.255.240.0,4096
41.139.128.0/17,41.139.128.0,41.139.255.255,17,255.255.128.0,32768
41.191.192.0/21,41.191.192.0,41.191.199.255,21,255.255.248.0,2048
41.203.208.0/20,41.203.208.0,41.203.223.255,20,255.255.240.0,4096
41.204.160.0/19,41.204.160.0,41.204.191.255,19,255.255.224.0,8192
41.206.32.0/19,41.206.32.0,41.206.63.255,19,255.255.224.0,8192
41.207.64.0/18,41.207.64.0,41.207.127.255,18,255.255.192.0,16384
41.209.0.0/18,41.209.0.0,41.209.63.255,18,255.255.192.0,16384
41.212.0.0/17,41.212.0.0,41.212.127.255,17,255.255.128.0,32768
41.215.0.0/17,41.215.0.0,41.215.127.255,17,255.255.128.0,32768
41.215.128.0/20,41.215.128.0,41.215.143.255,20,255.255.240.0,4096
41.217.220.0/22,41.217.220.0,41.217.223.255,22,255.255.252.0,1024
41.220.112.0/20,41.220.112.0,41.220.127.255,20,255.255.240.0,4096
41.222.8.0/21,41.222.8.0,41.222.15.255,21,255.255.248.0,2048
41.223.56.0/22,41.223.56.0,41.223.59.255,22,255.255.252.0,1024
41.223.148.0/22,41.223.148.0,41.223.151.255,22,255.255.252.0,1024
41.242.0.0/21,41.242.0.0,41.242.7.255,21,255.255.248.0,2048
62.8.64.0/19,62.8.64.0,62.8.95.255,19,255.255.224.0,8192
62.12.112.0/21,62.12.112.0,62.12.119.255,21,255.255.248.0,2048
62.24.96.0/19,62.24.96.0,62.24.127.255,19,255.255.224.0,8192
77.220.0.0/19,77.220.0.0,77.220.31.255,19,255.255.224.0,8192
80.72.96.0/20,80.72.96.0,80.72.111.255,20,255.255.240.0,4096
80.88.4.0/23,80.88.4.0,80.88.5.255,23,255.255.254.0,512
87.255.96.0/19,87.255.96.0,87.255.127.255,19,255.255.224.0,8192
91.233.121.0/24,91.233.121.0,91.233.121.255,24,255.255.255.0,256
102.0.0.0/13,102.0.0.0,102.7.255.255,13,255.248.0.0,524288
102.22.108.0/22,102.22.108.0,102.22.111.255,22,255.255.252.0,1024
102.22.208.0/21,102.22.208.0,102.22.215.255,21,255.255.248.0,2048
102.23.136.0/22,102.23.136.0,102.23.139.255,22,255.255.252.0,1024
102.67.152.0/22,102.67.152.0,102.67.155.255,22,255.255.252.0,1024
102.68.20.0/23,102.68.20.0,102.68.21.255,23,255.255.254.0,512
102.68.76.0/22,102.68.76.0,102.68.79.255,22,255.255.252.0,1024
102.68.141.0/24,102.68.141.0,102.68.141.255,24,255.255.255.0,256
102.68.142.0/24,102.68.142.0,102.68.142.255,24,255.255.255.0,256
102.69.224.0/21,102.69.224.0,102.69.231.255,21,255.255.248.0,2048
102.69.232.0/22,102.69.232.0,102.69.235.255,22,255.255.252.0,1024
102.69.239.0/24,102.69.239.0,102.69.239.255,24,255.255.255.0,256
102.130.102.0/24,102.130.102.0,102.130.102.255,24,255.255.255.0,256
102.134.129.0/24,102.134.129.0,102.134.129.255,24,255.255.255.0,256
102.135.168.0/21,102.135.168.0,102.135.175.255,21,255.255.248.0,2048
102.140.192.0/18,102.140.192.0,102.140.255.255,18,255.255.192.0,16384
102.164.52.0/22,102.164.52.0,102.164.55.255,22,255.255.252.0,1024
102.164.56.0/21,102.164.56.0,102.164.63.255,21,255.255.248.0,2048
102.166.0.0/15,102.166.0.0,102.167.255.255,15,255.254.0.0,131072
102.176.180.0/22,102.176.180.0,102.176.183.255,22,255.255.252.0,1024
102.209.155.0/24,102.209.155.0,102.209.155.255,24,255.255.255.0,256
102.209.180.0/22,102.209.180.0,102.209.183.255,22,255.255.252.0,1024
102.210.12.0/22,102.210.12.0,102.210.15.255,22,255.255.252.0,1024
102.210.24.0/21,102.210.24.0,102.210.31.255,21,255.255.248.0,2048
102.210.40.0/22,102.210.40.0,102.210.43.255,22,255.255.252.0,1024
102.210.56.0/22,102.210.56.0,102.210.59.255,22,255.255.252.0,1024
102.210.88.0/22,102.210.88.0,102.210.91.255,22,255.255.252.0,1024
102.210.100.0/23,102.210.100.0,102.210.101.255,23,255.255.254.0,512
102.210.104.0/22,102.210.104.0,102.210.107.255,22,255.255.252.0,1024
102.210.124.0/22,102.210.124.0,102.210.127.255,22,255.255.252.0,1024
102.210.144.0/21,102.210.144.0,102.210.151.255,21,255.255.248.0,2048
102.210.152.0/22,102.210.152.0,102.210.155.255,22,255.255.252.0,1024
