# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
5.57.8.0/21,5.57.8.0,5.57.15.255,21,255.255.248.0,2048
31.29.0.0/19,31.29.0.0,31.29.31.255,19,255.255.224.0,8192
31.186.48.0/21,31.186.48.0,31.186.55.255,21,255.255.248.0,2048
31.192.248.0/21,31.192.248.0,31.192.255.255,21,255.255.248.0,2048
37.218.128.0/18,37.218.128.0,37.218.191.255,18,255.255.192.0,16384
46.226.208.0/21,46.226.208.0,46.226.215.255,21,255.255.248.0,2048
46.251.192.0/19,46.251.192.0,46.251.223.255,19,255.255.224.0,8192
66.132.134.0/24,66.132.134.0,66.132.134.255,24,255.255.255.0,256
77.95.56.0/21,77.95.56.0,77.95.63.255,21,255.255.248.0,2048
77.220.204.0/23,77.220.204.0,77.220.205.255,23,255.255.254.0,512
77.235.0.0/19,77.235.0.0,77.235.31.255,19,255.255.224.0,8192
80.72.176.0/20,80.72.176.0,80.72.191.255,20,255.255.240.0,4096
81.20.16.0/20,81.20.16.0,81.20.31.255,20,255.255.240.0,4096
81.88.192.0/20,81.88.192.0,81.88.207.255,20,255.255.240.0,4096
84.54.12.0/24,84.54.12.0,84.54.12.255,24,255.255.255.0,256
85.113.0.0/19,85.113.0.0,85.113.31.255,19,255.255.224.0,8192
89.237.192.0/18,89.237.192.0,89.237.255.255,18,255.255.192.0,16384
91.192.64.0/22,91.192.64.0,91.192.67.255,22,255.255.252.0,1024
91.199.112.0/24,91.199.112.0,91.199.112.255,24,255.255.255.0,256
91.205.48.0/22,91.205.48.0,91.205.51.255,22,255.255.252.0,1024
91.207.28.0/23,91.207.28.0,91.207.29.255,23,255.255.254.0,512
91.213.233.0/24,91.213.233.0,91.213.233.255,24,255.255.255.0,256
91.229.224.0/24,91.229.224.0,91.229.224.255,24,255.255.255.0,256
91.240.245.0/24,91.240.245.0,91.240.245.255,24,255.255.255.0,256
91.247.56.0/21,91.247.56.0,91.247.63.255,21,255.255.248.0,2048
92.62.64.0/20,92.62.64.0,92.62.79.255,20,255.255.240.0,4096
92.245.96.0/19,92.245.96.0,92.245.127.255,19,255.255.224.0,8192
93.157.224.0/21,93.157.224.0,93.157.231.255,21,255.255.248.0,2048
94.143.192.0/21,94.143.192.0,94.143.199.255,21,255.255.248.0,2048
95.87.64.0/19,95.87.64.0,95.87.95.255,19,255.255.224.0,8192
95.130.231.0/24,95.130.231.0,95.130.231.255,24,255.255.255.0,256
95.215.244.0/22,95.215.244.0,95.215.247.255,22,255.255.252.0,1024
109.71.224.0/21,109.71.224.0,109.71.231.255,21,255.255.248.0,2048
109.201.160.0/19,109.201.160.0,109.201.191.255,19,255.255.224.0,8192
139.28.28.0/22,139.28.28.0,139.28.31.255,22,255.255.252.0,1024
146.19.220.0/24,146.19.220.0,146.19.220.255,24,255.255.255.0,256
158.181.0.0/19,158.181.0.0,158.181.31.255,19,255.255.224.0,8192
158.181.128.0/17,158.181.128.0,158.181.255.255,17,255.255.128.0,32768
176.123.224.0/19,176.123.224.0,176.123.255.255,19,255.255.224.0,8192
176.126.164.0/22,176.126.164.0,176.126.167.255,22,255.255.252.0,1024
178.216.208.0/21,178.216.208.0,178.216.215.255,21,255.255.248.0,2048
178.217.168.0/21,178.217.168.0,178.217.175.255,21,255.255.248.0,2048
185.1.110.0/24,185.1.110.0,185.1.110.255,24,255.255.255.0,256
185.1.151.0/24,185.1.151.0,185.1.151.255,24,255.255.255.0,256
185.20.120.0/22,185.20.120.0,185.20.123.255,22,255.255.252.0,1024
185.29.184.0/22,185.29.184.0,185.29.187.255,22,255.255.252.0,1024
185.39.79.0/24,185.39.79.0,185.39.79.255,24,255.255.255.0,256
185.48.136.0/22,185.48.136.0,185.48.139.255,22,255.255.252.0,1024
185.53.228.0/22,185.53.228.0,185.53.231.255,22,255.255.252.0,1024
185.54.252.0/22,185.54.252.0,185.54.255.255,22,255.255.252.0,1024
185.66.252.0/22,185.66.252.0,185.66.255.255,22,255.255.252.0,1024
185.81.180.0/22,185.81.180.0,185.81.183.255,22,255.255.252.0,1024
185.88.32.0/22,185.88.32.0,185.88.35.255,22,255.255.252.0,1024
185.117.148.0/22,185.117.148.0,185.117.151.255,22,255.255.252.0,1024
185.138.100.0/22,185.138.100.0,185.138.103.255,22,255.255.252.0,1024
185.138.184.0/22,185.138.184.0,185.138.187.255,22,255.255.252.0,1024
185.157.136.0/22,185.157.136.0,185.157.139.255,22,255.255.252.0,1024
185.161.48.0/22,185.161.48.0,185.161.51.255,22,255.255.252.0,1024
185.211.228.0/22,185.211.228.0,185.211.231.255,22,255.255.252.0,1024
185.229.36.0/22,185.229.36.0,185.229.39.255,22,255.255.252.0,1024
188.244.124.0/24,188.244.124.0,188.244.124.255,24,255.255.255.0,256
193.34.225.0/24,193.34.225.0,193.34.225.255,24,255.255.255.0,256
193.36.95.0/24,193.36.95.0,193.36.95.255,24,255.255.255.0,256
193.106.48.0/22,193.106.48.0,193.106.51.255,22,255.255.252.0,1024
193.151.226.0/24,193.151.226.0,193.151.226.255,24,255.255.255.0,256
193.176.239.0/24,193.176.239.0,193.176.239.255,24,255.255.255.0,256
194.56.214.0/24,194.56.214.0,194.56.214.255,24,255.255.255.0,256
194.76.192.0/24,194.76.192.0,194.76.192.255,24,255.255.255.0,256
194.76.217.0/24,194.76.217.0,194.76.217.255,24,255.255.255.0,256
194.76.218.0/24,194.76.218.0,194.76.218.255,24,255.255.255.0,256
194.76.238.0/24,194.76.238.0,194.76.238.255,24,255.255.255.0,256
194.150.178.0/24,194.150.178.0,194.150.178.255,24,255.255.255.0,256
194.152.36.0/23,194.152.36.0,194.152.37.255,23,255.255.254.0,512
194.176.111.0/24,194.176.111.0,194.176.111.255,24,255.255.255.0,256
195.38.160.0/19,195.38.160.0,195.38.191.255,19,255.255.224.0,8192
195.54.180.0/23,195.54.180.0,195.54.181.255,23,255.255.254.0,512
195.114.240.0/20,195.114.240.0,195.114.255.255,20,255.255.240.0,4096
195.191.231.0/24,195.191.231.0,195.191.231.255,24,255.255.255.0,256
195.211.167.0/24,195.211.167.0,195.211.167.255,24,255.255.255.0,256
195.216.237.0/24,195.216.237.0,195.216.237.255,24,255.255.255.0,256
212.2.224.0/21,212.2.224.0,212.2.231.255,21,255.255.248.0,2048
212.2.232.0/23,212.2.232.0,212.2.233.255,23,255.255.254.0,512
212.42.96.0/19,212.42.96.0,212.42.127.255,19,255.255.224.0,8192
212.97.0.0/19,212.97.0.0,212.97.31.255,19,255.255.224.0,8192
212.112.96.0/19,212.112.96.0,212.112.127.255,19,255.255.224.0,8192
212.241.0.0/19,212.241.0.0,212.241.31.255,19,255.255.224.0,8192
213.109.64.0/21,213.109.64.0,213.109.71.255,21,255.255.248.0,2048
213.145.128.0/19,213.145.128.0,213.145.159.255,19,255.255.224.0,8192
213.232.200.0/24,213.232.200.0,213.232.200.255,24,255.255.255.0,256
217.29.16.0/20,217.29.16.0,217.29.31.255,20,255.255.240.0,4096
