# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
5.28.32.0/21,5.28.32.0,5.28.39.255,21,255.255.248.0,2048
27.96.84.0/22,27.96.84.0,27.96.87.255,22,255.255.252.0,1024
27.109.112.0/22,27.109.112.0,27.109.115.255,22,255.255.252.0,1024
27.111.8.0/22,27.111.8.0,27.111.11.255,22,255.255.252.0,1024
27.116.60.0/22,27.116.60.0,27.116.63.255,22,255.255.252.0,1024
36.37.128.0/17,36.37.128.0,36.37.255.255,17,255.255.128.0,32768
36.255.144.0/22,36.255.144.0,36.255.147.255,22,255.255.252.0,1024
43.226.12.0/22,43.226.12.0,43.226.15.255,22,255.255.252.0,1024
43.230.60.0/22,43.230.60.0,43.230.63.255,22,255.255.252.0,1024
43.230.192.0/22,43.230.192.0,43.230.195.255,22,255.255.252.0,1024
43.231.220.0/22,43.231.220.0,43.231.223.255,22,255.255.252.0,1024
43.245.32.0/22,43.245.32.0,43.245.35.255,22,255.255.252.0,1024
43.245.200.0/22,43.245.200.0,43.245.203.255,22,255.255.252.0,1024
43.245.216.0/22,43.245.216.0,43.245.219.255,22,255.255.252.0,1024
43.250.228.0/22,43.250.228.0,43.250.231.255,22,255.255.252.0,1024
43.251.48.0/22,43.251.48.0,43.251.51.255,22,255.255.252.0,1024
43.252.16.0/22,43.252.16.0,43.252.19.255,22,255.255.252.0,1024
43.255.112.0/22,43.255.112.0,43.255.115.255,22,255.255.252.0,1024
45.64.124.0/22,45.64.124.0,45.64.127.255,22,255.255.252.0,1024
45.114.160.0/22,45.114.160.0,45.114.163.255,22,255.255.252.0,1024
45.115.80.0/22,45.115.80.0,45.115.83.255,22,255.255.252.0,1024
45.115.180.0/22,45.115.180.0,45.115.183.255,22,255.255.252.0,1024
45.115.208.0/22,45.115.208.0,45.115.211.255,22,255.255.252.0,1024
45.118.76.0/22,45.118.76.0,45.118.79.255,22,255.255.252.0,1024
45.119.132.0/22,45.119.132.0,45.119.135.255,22,255.255.252.0,1024
45.121.236.0/22,45.121.236.0,45.121.239.255,22,255.255.252.0,1024
45.127.152.0/22,45.127.152.0,45.127.155.255,22,255.255.252.0,1024
45.250.236.0/22,45.250.236.0,45.250.239.255,22,255.255.252.0,1024
49.156.0.0/22,49.156.0.0,49.156.3.255,22,255.255.252.0,1024
49.156.32.0/20,49.156.32.0,49.156.47.255,20,255.255.240.0,4096
58.97.192.0/19,58.97.192.0,58.97.223.255,19,255.255.224.0,8192
58.97.224.0/21,58.97.224.0,58.97.231.255,21,255.255.248.0,2048
87.247.160.0/21,87.247.160.0,87.247.167.255,21,255.255.248.0,2048
96.9.64.0/19,96.9.64.0,96.9.95.255,19,255.255.224.0,8192
103.3.28.0/22,103.3.28.0,103.3.31.255,22,255.255.252.0,1024
103.5.124.0/22,103.5.124.0,103.5.127.255,22,255.255.252.0,1024
103.5.230.0/23,103.5.230.0,103.5.231.255,23,255.255.254.0,512
103.6.8.0/22,103.6.8.0,103.6.11.255,22,255.255.252.0,1024
103.7.24.0/22,103.7.24.0,103.7.27.255,22,255.255.252.0,1024
103.7.144.0/24,103.7.144.0,103.7.144.255,24,255.255.255.0,256
103.8.20.0/22,103.8.20.0,103.8.23.255,22,255.255.252.0,1024
103.8.240.0/22,103.8.240.0,103.8.243.255,22,255.255.252.0,1024
103.9.188.0/22,103.9.188.0,103.9.191.255,22,255.255.252.0,1024
103.11.216.0/22,103.11.216.0,103.11.219.255,22,255.255.252.0,1024
103.12.160.0/22,103.12.160.0,103.12.163.255,22,255.255.252.0,1024
103.14.248.0/22,103.14.248.0,103.14.251.255,22,255.255.252.0,1024
103.16.60.0/22,103.16.60.0,103.16.63.255,22,255.255.252.0,1024
103.17.212.0/22,103.17.212.0,103.17.215.255,22,255.255.252.0,1024
103.20.80.0/22,103.20.80.0,103.20.83.255,22,255.255.252.0,1024
103.20.156.0/22,103.20.156.0,103.20.159.255,22,255.255.252.0,1024
103.23.136.0/22,103.23.136.0,103.23.139.255,22,255.255.252.0,1024
103.23.213.0/24,103.23.213.0,103.23.213.255,24,255.255.255.0,256
103.24.18.0/23,103.24.18.0,103.24.19.255,23,255.255.254.0,512
103.24.32.0/22,103.24.32.0,103.24.35.255,22,255.255.252.0,1024
103.25.92.0/22,103.25.92.0,103.25.95.255,22,255.255.252.0,1024
