# CIDR,network(start) address,end address,prefix,subnet mask
23.131.208.0/24,23.131.208.0,23.131.208.255,24,255.255.255.0
23.137.40.0/24,23.137.40.0,23.137.40.255,24,255.255.255.0
45.42.252.0/22,45.42.252.0,45.42.255.255,22,255.255.252.0
104.245.228.0/22,104.245.228.0,104.245.231.255,22,255.255.252.0
149.112.30.0/24,149.112.30.0,149.112.30.255,24,255.255.255.0
170.39.88.0/24,170.39.88.0,170.39.88.255,24,255.255.255.0
173.249.168.0/22,173.249.168.0,173.249.171.255,22,255.255.252.0
198.167.192.0/19,198.167.192.0,198.167.223.255,19,255.255.224.0
199.21.164.0/22,199.21.164.0,199.21.167.255,22,255.255.252.0
204.16.8.0/22,204.16.8.0,204.16.11.255,22,255.255.252.0
204.19.200.0/22,204.19.200.0,204.19.203.255,22,255.255.252.0
204.76.203.0/24,204.76.203.0,204.76.203.255,24,255.255.255.0
207.167.92.0/22,207.167.92.0,207.167.95.255,22,255.255.252.0
208.70.92.0/22,208.70.92.0,208.70.95.255,22,255.255.252.0
208.81.160.0/22,208.81.160.0,208.81.163.255,22,255.255.252.0
208.87.144.0/22,208.87.144.0,208.87.147.255,22,255.255.252.0
216.211.197.0/24,216.211.197.0,216.211.197.255,24,255.255.255.0
