# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
1.11.0.0/16,1.11.0.0,1.11.255.255,16,255.255.0.0,65536
1.16.0.0/14,1.16.0.0,1.19.255.255,14,255.252.0.0,262144
1.96.0.0/12,1.96.0.0,1.111.255.255,12,255.240.0.0,1048576
1.176.0.0/15,1.176.0.0,1.177.255.255,15,255.254.0.0,131072
1.201.0.0/16,1.201.0.0,1.201.255.255,16,255.255.0.0,65536
1.208.0.0/12,1.208.0.0,1.223.255.255,12,255.240.0.0,1048576
1.224.0.0/11,1.224.0.0,1.255.255.255,11,255.224.0.0,2097152
14.0.32.0/19,14.0.32.0,14.0.63.255,19,255.255.224.0,8192
14.0.64.0/18,14.0.64.0,14.0.127.255,18,255.255.192.0,16384
14.4.0.0/14,14.4.0.0,14.7.255.255,14,255.252.0.0,262144
14.32.0.0/11,14.32.0.0,14.63.255.255,11,255.224.0.0,2097152
14.64.0.0/11,14.64.0.0,14.95.255.255,11,255.224.0.0,2097152
14.128.128.0/17,14.128.128.0,14.128.255.255,17,255.255.128.0,32768
14.129.0.0/16,14.129.0.0,14.129.255.255,16,255.255.0.0,65536
14.138.0.0/16,14.138.0.0,14.138.255.255,16,255.255.0.0,65536
14.192.80.0/20,14.192.80.0,14.192.95.255,20,255.255.240.0,4096
14.206.0.0/16,14.206.0.0,14.206.255.255,16,255.255.0.0,65536
27.0.236.0/22,27.0.236.0,27.0.239.255,22,255.255.252.0,1024
27.1.0.0/16,27.1.0.0,27.1.255.255,16,255.255.0.0,65536
27.35.0.0/16,27.35.0.0,27.35.255.255,16,255.255.0.0,65536
27.96.128.0/18,27.96.128.0,27.96.191.255,18,255.255.192.0,16384
27.100.128.0/17,27.100.128.0,27.100.255.255,17,255.255.128.0,32768
27.101.0.0/16,27.101.0.0,27.101.255.255,16,255.255.0.0,65536
27.102.0.0/16,27.102.0.0,27.102.255.255,16,255.255.0.0,65536
27.111.96.0/19,27.111.96.0,27.111.127.255,19,255.255.224.0,8192
27.112.128.0/17,27.112.128.0,27.112.255.255,17,255.255.128.0,32768
27.113.0.0/17,27.113.0.0,27.113.127.255,17,255.255.128.0,32768
27.115.128.0/17,27.115.128.0,27.115.255.255,17,255.255.128.0,32768
27.116.64.0/18,27.116.64.0,27.116.127.255,18,255.255.192.0,16384
27.116.128.0/17,27.116.128.0,27.116.255.255,17,255.255.128.0,32768
27.117.0.0/16,27.117.0.0,27.117.255.255,16,255.255.0.0,65536
27.118.64.0/18,27.118.64.0,27.118.127.255,18,255.255.192.0,16384
27.118.128.0/17,27.118.128.0,27.118.255.255,17,255.255.128.0,32768
27.119.0.0/16,27.119.0.0,27.119.255.255,16,255.255.0.0,65536
27.120.0.0/18,27.120.0.0,27.120.63.255,18,255.255.192.0,16384
27.122.128.0/17,27.122.128.0,27.122.255.255,17,255.255.128.0,32768
27.124.128.0/17,27.124.128.0,27.124.255.255,17,255.255.128.0,32768
27.125.0.0/17,27.125.0.0,27.125.127.255,17,255.255.128.0,32768
27.126.0.0/18,27.126.0.0,27.126.63.255,18,255.255.192.0,16384
27.160.0.0/12,27.160.0.0,27.175.255.255,12,255.240.0.0,1048576
27.176.0.0/13,27.176.0.0,27.183.255.255,13,255.248.0.0,524288
27.232.0.0/13,27.232.0.0,27.239.255.255,13,255.248.0.0,524288
27.255.64.0/18,27.255.64.0,27.255.127.255,18,255.255.192.0,16384
36.38.0.0/15,36.38.0.0,36.39.255.255,15,255.254.0.0,131072
39.4.0.0/14,39.4.0.0,39.7.255.255,14,255.252.0.0,262144
39.16.0.0/12,39.16.0.0,39.31.255.255,12,255.240.0.0,1048576
39.112.0.0/12,39.112.0.0,39.127.255.255,12,255.240.0.0,1048576
42.8.0.0/13,42.8.0.0,42.15.255.255,13,255.248.0.0,524288
42.16.0.0/12,42.16.0.0,42.31.255.255,12,255.240.0.0,1048576
42.32.0.0/12,42.32.0.0,42.47.255.255,12,255.240.0.0,1048576
42.82.0.0/16,42.82.0.0,42.82.255.255,16,255.255.0.0,65536
43.224.104.0/22,43.224.104.0,43.224.107.255,22,255.255.252.0,1024
43.225.124.0/22,43.225.124.0,43.225.127.255,22,255.255.252.0,1024
43.227.116.0/22,43.227.116.0,43.227.119.255,22,255.255.252.0,1024
43.227.120.0/22,43.227.120.0,43.227.123.255,22,255.255.252.0,1024
43.228.160.0/22,43.228.160.0,43.228.163.255,22,255.255.252.0,1024
43.229.0.0/22,43.229.0.0,43.229.3.255,22,255.255.252.0,1024
43.229.112.0/22,43.229.112.0,43.229.115.255,22,255.255.252.0,1024
43.230.0.0/22,43.230.0.0,43.230.3.255,22,255.255.252.0,1024
43.230.76.0/22,43.230.76.0,43.230.79.255,22,255.255.252.0,1024
43.230.80.0/22,43.230.80.0,43.230.83.255,22,255.255.252.0,1024
43.230.216.0/22,43.230.216.0,43.230.219.255,22,255.255.252.0,1024
43.240.236.0/22,43.240.236.0,43.240.239.255,22,255.255.252.0,1024
43.241.104.0/21,43.241.104.0,43.241.111.255,21,255.255.248.0,2048
43.242.112.0/22,43.242.112.0,43.242.115.255,22,255.255.252.0,1024
43.243.188.0/22,43.243.188.0,43.243.191.255,22,255.255.252.0,1024
43.243.216.0/22,43.243.216.0,43.243.219.255,22,255.255.252.0,1024
43.246.152.0/22,43.246.152.0,43.246.155.255,22,255.255.252.0,1024
43.246.180.0/22,43.246.180.0,43.246.183.255,22,255.255.252.0,1024
43.247.104.0/22,43.247.104.0,43.247.107.255,22,255.255.252.0,1024
43.247.192.0/22,43.247.192.0,43.247.195.255,22,255.255.252.0,1024
43.250.152.0/22,43.250.152.0,43.250.155.255,22,255.255.252.0,1024
43.251.28.0/22,43.251.28.0,43.251.31.255,22,255.255.252.0,1024
43.251.68.0/22,43.251.68.0,43.251.71.255,22,255.255.252.0,1024
43.251.120.0/22,43.251.120.0,43.251.123.255,22,255.255.252.0,1024
43.254.244.0/22,43.254.244.0,43.254.247.255,22,255.255.252.0,1024
43.255.248.0/21,43.255.248.0,43.255.255.255,21,255.255.248.0,2048
45.64.140.0/22,45.64.140.0,45.64.143.255,22,255.255.252.0,1024
45.64.144.0/22,45.64.144.0,45.64.147.255,22,255.255.252.0,1024
45.64.152.0/22,45.64.152.0,45.64.155.255,22,255.255.252.0,1024
45.64.172.0/22,45.64.172.0,45.64.175.255,22,255.255.252.0,1024
45.112.88.0/21,45.112.88.0,45.112.95.255,21,255.255.248.0,2048
45.112.96.0/20,45.112.96.0,45.112.111.255,20,255.255.240.0,4096
45.112.112.0/21,45.112.112.0,45.112.119.255,21,255.255.248.0,2048
45.112.152.0/21,45.112.152.0,45.112.159.255,21,255.255.248.0,2048
45.112.160.0/21,45.112.160.0,45.112.167.255,21,255.255.248.0,2048
45.112.168.0/22,45.112.168.0,45.112.171.255,22,255.255.252.0,1024
45.113.44.0/22,45.113.44.0,45.113.47.255,22,255.255.252.0,1024
45.113.48.0/22,45.113.48.0,45.113.51.255,22,255.255.252.0,1024
45.114.104.0/22,45.114.104.0,45.114.107.255,22,255.255.252.0,1024
45.114.128.0/22,45.114.128.0,45.114.131.255,22,255.255.252.0,1024
45.115.152.0/22,45.115.152.0,45.115.155.255,22,255.255.252.0,1024
45.117.12.0/22,45.117.12.0,45.117.15.255,22,255.255.252.0,1024
45.119.144.0/22,45.119.144.0,45.119.147.255,22,255.255.252.0,1024
45.120.64.0/21,45.120.64.0,45.120.71.255,21,255.255.248.0,2048
45.121.164.0/22,45.121.164.0,45.121.167.255,22,255.255.252.0,1024
45.125.232.0/22,45.125.232.0,45.125.235.255,22,255.255.252.0,1024
45.126.148.0/22,45.126.148.0,45.126.151.255,22,255.255.252.0,1024
45.248.72.0/22,45.248.72.0,45.248.75.255,22,255.255.252.0,1024
45.249.64.0/22,45.249.64.0,45.249.67.255,22,255.255.252.0,1024
45.249.160.0/22,45.249.160.0,45.249.163.255,22,255.255.252.0,1024
45.250.204.0/22,45.250.204.0,45.250.207.255,22,255.255.252.0,1024
45.250.208.0/22,45.250.208.0,45.250.211.255,22,255.255.252.0,1024
45.250.220.0/22,45.250.220.0,45.250.223.255,22,255.255.252.0,1024
49.1.0.0/16,49.1.0.0,49.1.255.255,16,255.255.0.0,65536
49.8.0.0/14,49.8.0.0,49.11.255.255,14,255.252.0.0,262144
