# CIDR,network(start) address,end address,prefix,subnet mask
5.182.132.0/22,5.182.132.0,5.182.135.255,22,255.255.252.0
31.203.0.0/16,31.203.0.0,31.203.255.255,16,255.255.0.0
31.214.0.0/17,31.214.0.0,31.214.127.255,17,255.255.128.0
31.217.224.0/21,31.217.224.0,31.217.231.255,21,255.255.248.0
37.34.128.0/17,37.34.128.0,37.34.255.255,17,255.255.128.0
37.36.0.0/14,37.36.0.0,37.39.255.255,14,255.252.0.0
37.231.0.0/16,37.231.0.0,37.231.255.255,16,255.255.0.0
45.15.228.0/22,45.15.228.0,45.15.231.255,22,255.255.252.0
45.66.0.0/22,45.66.0.0,45.66.3.255,22,255.255.252.0
45.130.36.0/22,45.130.36.0,45.130.39.255,22,255.255.252.0
45.158.96.0/22,45.158.96.0,45.158.99.255,22,255.255.252.0
46.186.128.0/17,46.186.128.0,46.186.255.255,17,255.255.128.0
62.150.0.0/16,62.150.0.0,62.150.255.255,16,255.255.0.0
62.215.0.0/16,62.215.0.0,62.215.255.255,16,255.255.0.0
78.89.0.0/16,78.89.0.0,78.89.255.255,16,255.255.0.0
78.154.192.0/18,78.154.192.0,78.154.255.255,18,255.255.192.0
78.159.160.0/19,78.159.160.0,78.159.191.255,19,255.255.224.0
80.184.0.0/16,80.184.0.0,80.184.255.255,16,255.255.0.0
83.68.160.0/19,83.68.160.0,83.68.191.255,19,255.255.224.0
83.96.0.0/17,83.96.0.0,83.96.127.255,17,255.255.128.0
84.246.72.0/21,84.246.72.0,84.246.79.255,21,255.255.248.0
85.239.0.0/19,85.239.0.0,85.239.31.255,19,255.255.224.0
87.236.120.0/21,87.236.120.0,87.236.127.255,21,255.255.248.0
89.203.0.0/17,89.203.0.0,89.203.127.255,17,255.255.128.0
89.251.80.0/20,89.251.80.0,89.251.95.255,20,255.255.240.0
91.102.32.0/21,91.102.32.0,91.102.39.255,21,255.255.248.0
91.102.144.0/21,91.102.144.0,91.102.151.255,21,255.255.248.0
91.102.232.0/21,91.102.232.0,91.102.239.255,21,255.255.248.0
91.140.128.0/17,91.140.128.0,91.140.255.255,17,255.255.128.0
91.194.102.0/23,91.194.102.0,91.194.103.255,23,255.255.254.0
91.194.130.0/23,91.194.130.0,91.194.131.255,23,255.255.254.0
91.198.134.0/24,91.198.134.0,91.198.134.255,24,255.255.255.0
91.208.203.0/24,91.208.203.0,91.208.203.255,24,255.255.255.0
91.209.172.0/24,91.209.172.0,91.209.172.255,24,255.255.255.0
91.212.8.0/24,91.212.8.0,91.212.8.255,24,255.255.255.0
91.214.152.0/22,91.214.152.0,91.214.155.255,22,255.255.252.0
91.216.188.0/24,91.216.188.0,91.216.188.255,24,255.255.255.0
91.221.128.0/23,91.221.128.0,91.221.129.255,23,255.255.254.0
91.221.220.0/23,91.221.220.0,91.221.221.255,23,255.255.254.0
91.229.212.0/24,91.229.212.0,91.229.212.255,24,255.255.255.0
91.230.213.0/24,91.230.213.0,91.230.213.255,24,255.255.255.0
91.246.14.0/24,91.246.14.0,91.246.14.255,24,255.255.255.0
93.191.64.0/21,93.191.64.0,93.191.71.255,21,255.255.248.0
94.29.128.0/17,94.29.128.0,94.29.255.255,17,255.255.128.0
94.128.0.0/15,94.128.0.0,94.129.255.255,15,255.254.0.0
94.187.160.0/19,94.187.160.0,94.187.191.255,19,255.255.224.0
94.187.192.0/18,94.187.192.0,94.187.255.255,18,255.255.192.0
95.66.0.0/17,95.66.0.0,95.66.127.255,17,255.255.128.0
139.141.0.0/16,139.141.0.0,139.141.255.255,16,255.255.0.0
149.147.0.0/16,149.147.0.0,149.147.255.255,16,255.255.0.0
161.252.0.0/16,161.252.0.0,161.252.255.255,16,255.255.0.0
168.187.0.0/16,168.187.0.0,168.187.255.255,16,255.255.0.0
171.25.224.0/24,171.25.224.0,171.25.224.255,24,255.255.255.0
176.98.36.0/22,176.98.36.0,176.98.39.255,22,255.255.252.0
176.110.119.0/24,176.110.119.0,176.110.119.255,24,255.255.255.0
178.53.0.0/16,178.53.0.0,178.53.255.255,16,255.255.0.0
178.61.0.0/16,178.61.0.0,178.61.255.255,16,255.255.0.0
178.161.0.0/17,178.161.0.0,178.161.127.255,17,255.255.128.0
178.249.176.0/21,178.249.176.0,178.249.183.255,21,255.255.248.0
185.1.129.0/24,185.1.129.0,185.1.129.255,24,255.255.255.0
185.9.196.0/22,185.9.196.0,185.9.199.255,22,255.255.252.0
185.16.4.0/22,185.16.4.0,185.16.7.255,22,255.255.252.0
185.19.76.0/22,185.19.76.0,185.19.79.255,22,255.255.252.0
185.33.124.0/22,185.33.124.0,185.33.127.255,22,255.255.252.0
185.36.176.0/22,185.36.176.0,185.36.179.255,22,255.255.252.0
185.41.216.0/22,185.41.216.0,185.41.219.255,22,255.255.252.0
185.46.144.0/22,185.46.144.0,185.46.147.255,22,255.255.252.0
185.48.188.0/22,185.48.188.0,185.48.191.255,22,255.255.252.0
185.64.200.0/22,185.64.200.0,185.64.203.255,22,255.255.252.0
185.75.56.0/22,185.75.56.0,185.75.59.255,22,255.255.252.0
185.95.4.0/22,185.95.4.0,185.95.7.255,22,255.255.252.0
185.96.228.0/22,185.96.228.0,185.96.231.255,22,255.255.252.0
185.132.204.0/22,185.132.204.0,185.132.207.255,22,255.255.252.0
185.133.168.0/22,185.133.168.0,185.133.171.255,22,255.255.252.0
185.142.104.0/22,185.142.104.0,185.142.107.255,22,255.255.252.0
185.146.240.0/22,185.146.240.0,185.146.243.255,22,255.255.252.0
185.147.28.0/22,185.147.28.0,185.147.31.255,22,255.255.252.0
185.150.216.0/22,185.150.216.0,185.150.219.255,22,255.255.252.0
185.166.92.0/22,185.166.92.0,185.166.95.255,22,255.255.252.0
185.170.116.0/22,185.170.116.0,185.170.119.255,22,255.255.252.0
185.173.40.0/22,185.173.40.0,185.173.43.255,22,255.255.252.0
185.187.176.0/22,185.187.176.0,185.187.179.255,22,255.255.252.0
185.192.236.0/22,185.192.236.0,185.192.239.255,22,255.255.252.0
185.206.96.0/22,185.206.96.0,185.206.99.255,22,255.255.252.0
185.211.104.0/22,185.211.104.0,185.211.107.255,22,255.255.252.0
185.230.100.0/24,185.230.100.0,185.230.100.255,24,255.255.255.0
185.249.158.0/24,185.249.158.0,185.249.158.255,24,255.255.255.0
188.70.0.0/15,188.70.0.0,188.71.255.255,15,255.254.0.0
188.236.0.0/16,188.236.0.0,188.236.255.255,16,255.255.0.0
193.22.172.0/24,193.22.172.0,193.22.172.255,24,255.255.255.0
193.32.228.0/22,193.32.228.0,193.32.231.255,22,255.255.252.0
193.33.224.0/23,193.33.224.0,193.33.225.255,23,255.255.254.0
193.42.223.0/24,193.42.223.0,193.42.223.255,24,255.255.255.0
193.56.9.0/24,193.56.9.0,193.56.9.255,24,255.255.255.0
193.105.56.0/24,193.105.56.0,193.105.56.255,24,255.255.255.0
193.107.14.0/24,193.107.14.0,193.107.14.255,24,255.255.255.0
193.108.30.0/24,193.108.30.0,193.108.30.255,24,255.255.255.0
193.108.142.0/23,193.108.142.0,193.108.143.255,23,255.255.254.0
193.109.215.0/24,193.109.215.0,193.109.215.255,24,255.255.255.0
193.169.130.0/23,193.169.130.0,193.169.131.255,23,255.255.254.0
193.188.48.0/20,193.188.48.0,193.188.63.255,20,255.255.240.0
193.188.142.0/23,193.188.142.0,193.188.143.255,23,255.255.254.0
193.188.144.0/21,193.188.144.0,193.188.151.255,21,255.255.248.0
193.188.152.0/23,193.188.152.0,193.188.153.255,23,255.255.254.0
193.188.160.0/19,193.188.160.0,193.188.191.255,19,255.255.224.0
193.200.40.0/23,193.200.40.0,193.200.41.255,23,255.255.254.0
194.31.57.0/24,194.31.57.0,194.31.57.255,24,255.255.255.0
194.54.136.0/22,194.54.136.0,194.54.139.255,22,255.255.252.0
194.54.192.0/18,194.54.192.0,194.54.255.255,18,255.255.192.0
