# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
23.188.0.0/24,23.188.0.0,23.188.0.255,24,255.255.255.0,256
45.144.204.0/22,45.144.204.0,45.144.207.255,22,255.255.252.0,1024
45.152.156.0/22,45.152.156.0,45.152.159.255,22,255.255.252.0,1024
63.136.112.0/21,63.136.112.0,63.136.119.255,21,255.255.248.0,2048
64.239.32.0/22,64.239.32.0,64.239.35.255,22,255.255.252.0,1024
64.239.116.0/22,64.239.116.0,64.239.119.255,22,255.255.252.0,1024
74.117.216.0/21,74.117.216.0,74.117.223.255,21,255.255.248.0,2048
74.222.64.0/19,74.222.64.0,74.222.95.255,19,255.255.224.0,8192
76.76.15.0/24,76.76.15.0,76.76.15.255,24,255.255.255.0,256
138.43.115.0/24,138.43.115.0,138.43.115.255,24,255.255.255.0,256
138.43.248.0/22,138.43.248.0,138.43.251.255,22,255.255.252.0,1024
149.112.19.0/24,149.112.19.0,149.112.19.255,24,255.255.255.0,256
157.207.32.0/22,157.207.32.0,157.207.35.255,22,255.255.252.0,1024
161.199.132.0/22,161.199.132.0,161.199.135.255,22,255.255.252.0,1024
162.211.136.0/22,162.211.136.0,162.211.139.255,22,255.255.252.0,1024
162.247.220.0/22,162.247.220.0,162.247.223.255,22,255.255.252.0,1024
162.249.128.0/21,162.249.128.0,162.249.135.255,21,255.255.248.0,2048
173.225.208.0/20,173.225.208.0,173.225.223.255,20,255.255.240.0,4096
185.158.252.0/22,185.158.252.0,185.158.255.255,22,255.255.252.0,1024
192.0.4.0/22,192.0.4.0,192.0.7.255,22,255.255.252.0,1024
192.160.250.0/24,192.160.250.0,192.160.250.255,24,255.255.255.0,256
199.201.84.0/22,199.201.84.0,199.201.87.255,22,255.255.252.0,1024
207.211.224.0/21,207.211.224.0,207.211.231.255,21,255.255.248.0,2048
208.82.216.0/22,208.82.216.0,208.82.219.255,22,255.255.252.0,1024
208.157.144.0/21,208.157.144.0,208.157.151.255,21,255.255.248.0,2048
208.168.224.0/19,208.168.224.0,208.168.255.255,19,255.255.224.0,8192
209.27.52.0/22,209.27.52.0,209.27.55.255,22,255.255.252.0,1024
209.27.60.0/22,209.27.60.0,209.27.63.255,22,255.255.252.0,1024
216.25.44.0/22,216.25.44.0,216.25.47.255,22,255.255.252.0,1024
216.25.64.0/22,216.25.64.0,216.25.67.255,22,255.255.252.0,1024
216.144.80.0/20,216.144.80.0,216.144.95.255,20,255.255.240.0,4096
