# CIDR,network(start) address,end address,prefix,subnet mask
2.57.96.0/22,2.57.96.0,2.57.99.255,22,255.255.252.0
2.72.0.0/13,2.72.0.0,2.79.255.255,13,255.248.0.0
2.132.0.0/14,2.132.0.0,2.135.255.255,14,255.252.0.0
5.34.0.0/17,5.34.0.0,5.34.127.255,17,255.255.128.0
5.42.222.0/24,5.42.222.0,5.42.222.255,24,255.255.255.0
5.63.64.0/18,5.63.64.0,5.63.127.255,18,255.255.192.0
5.76.0.0/16,5.76.0.0,5.76.255.255,16,255.255.0.0
5.101.52.0/22,5.101.52.0,5.101.55.255,22,255.255.252.0
5.101.56.0/22,5.101.56.0,5.101.59.255,22,255.255.252.0
5.104.232.0/21,5.104.232.0,5.104.239.255,21,255.255.248.0
5.188.64.0/22,5.188.64.0,5.188.67.255,22,255.255.252.0
5.188.152.0/22,5.188.152.0,5.188.155.255,22,255.255.252.0
5.188.240.0/20,5.188.240.0,5.188.255.255,20,255.255.240.0
5.250.128.0/19,5.250.128.0,5.250.159.255,19,255.255.224.0
5.251.0.0/16,5.251.0.0,5.251.255.255,16,255.255.0.0
31.10.3.0/24,31.10.3.0,31.10.3.255,24,255.255.255.0
31.14.27.0/24,31.14.27.0,31.14.27.255,24,255.255.255.0
31.31.216.0/21,31.31.216.0,31.31.223.255,21,255.255.248.0
31.43.179.0/24,31.43.179.0,31.43.179.255,24,255.255.255.0
31.132.80.0/20,31.132.80.0,31.132.95.255,20,255.255.240.0
31.169.0.0/19,31.169.0.0,31.169.31.255,19,255.255.224.0
31.171.160.0/19,31.171.160.0,31.171.191.255,19,255.255.224.0
31.210.174.0/23,31.210.174.0,31.210.175.255,23,255.255.254.0
31.223.192.0/20,31.223.192.0,31.223.207.255,20,255.255.240.0
37.9.16.0/20,37.9.16.0,37.9.31.255,20,255.255.240.0
37.17.176.0/21,37.17.176.0,37.17.183.255,21,255.255.248.0
37.46.96.0/22,37.46.96.0,37.46.99.255,22,255.255.252.0
37.99.0.0/17,37.99.0.0,37.99.127.255,17,255.255.128.0
37.150.0.0/15,37.150.0.0,37.151.255.255,15,255.254.0.0
37.208.40.0/21,37.208.40.0,37.208.47.255,21,255.255.248.0
37.228.64.0/21,37.228.64.0,37.228.71.255,21,255.255.248.0
45.8.116.0/22,45.8.116.0,45.8.119.255,22,255.255.252.0
45.13.16.0/22,45.13.16.0,45.13.19.255,22,255.255.252.0
45.66.24.0/22,45.66.24.0,45.66.27.255,22,255.255.252.0
45.86.80.0/22,45.86.80.0,45.86.83.255,22,255.255.252.0
45.132.84.0/22,45.132.84.0,45.132.87.255,22,255.255.252.0
45.136.56.0/22,45.136.56.0,45.136.59.255,22,255.255.252.0
45.143.88.0/22,45.143.88.0,45.143.91.255,22,255.255.252.0
46.16.144.0/21,46.16.144.0,46.16.151.255,21,255.255.248.0
46.19.40.0/21,46.19.40.0,46.19.47.255,21,255.255.248.0
46.34.192.0/19,46.34.192.0,46.34.223.255,19,255.255.224.0
46.36.128.0/19,46.36.128.0,46.36.159.255,19,255.255.224.0
46.42.192.0/18,46.42.192.0,46.42.255.255,18,255.255.192.0
46.227.184.0/21,46.227.184.0,46.227.191.255,21,255.255.248.0
46.235.72.0/22,46.235.72.0,46.235.75.255,22,255.255.252.0
46.235.80.0/21,46.235.80.0,46.235.87.255,21,255.255.248.0
46.255.232.0/21,46.255.232.0,46.255.239.255,21,255.255.248.0
62.84.32.0/19,62.84.32.0,62.84.63.255,19,255.255.224.0
62.122.0.0/21,62.122.0.0,62.122.7.255,21,255.255.248.0
62.122.104.0/21,62.122.104.0,62.122.111.255,21,255.255.248.0
67.209.128.0/19,67.209.128.0,67.209.159.255,19,255.255.224.0
77.73.128.0/21,77.73.128.0,77.73.135.255,21,255.255.248.0
77.74.64.0/21,77.74.64.0,77.74.71.255,21,255.255.248.0
77.81.177.0/24,77.81.177.0,77.81.177.255,24,255.255.255.0
77.94.3.0/24,77.94.3.0,77.94.3.255,24,255.255.255.0
77.94.4.0/22,77.94.4.0,77.94.7.255,22,255.255.252.0
77.94.8.0/21,77.94.8.0,77.94.15.255,21,255.255.248.0
77.94.16.0/20,77.94.16.0,77.94.31.255,20,255.255.240.0
77.220.206.0/23,77.220.206.0,77.220.207.255,23,255.255.254.0
77.240.32.0/20,77.240.32.0,77.240.47.255,20,255.255.240.0
77.245.96.0/20,77.245.96.0,77.245.111.255,20,255.255.240.0
78.40.108.0/23,78.40.108.0,78.40.109.255,23,255.255.254.0
78.109.144.0/20,78.109.144.0,78.109.159.255,20,255.255.240.0
79.133.184.0/21,79.133.184.0,79.133.191.255,21,255.255.248.0
79.134.32.0/20,79.134.32.0,79.134.47.255,20,255.255.240.0
79.137.170.0/23,79.137.170.0,79.137.171.255,23,255.255.254.0
79.137.176.0/22,79.137.176.0,79.137.179.255,22,255.255.252.0
79.140.224.0/20,79.140.224.0,79.140.239.255,20,255.255.240.0
79.142.48.0/20,79.142.48.0,79.142.63.255,20,255.255.240.0
79.143.20.0/22,79.143.20.0,79.143.23.255,22,255.255.252.0
80.92.192.0/21,80.92.192.0,80.92.199.255,21,255.255.248.0
80.241.0.0/20,80.241.0.0,80.241.15.255,20,255.255.240.0
80.241.32.0/20,80.241.32.0,80.241.47.255,20,255.255.240.0
80.242.208.0/20,80.242.208.0,80.242.223.255,20,255.255.240.0
80.249.137.0/24,80.249.137.0,80.249.137.255,24,255.255.255.0
80.249.138.0/23,80.249.138.0,80.249.139.255,23,255.255.254.0
80.249.140.0/22,80.249.140.0,80.249.143.255,22,255.255.252.0
80.249.152.0/21,80.249.152.0,80.249.159.255,21,255.255.248.0
81.17.160.0/20,81.17.160.0,81.17.175.255,20,255.255.240.0
81.18.32.0/20,81.18.32.0,81.18.47.255,20,255.255.240.0
81.88.144.0/20,81.88.144.0,81.88.159.255,20,255.255.240.0
81.91.180.0/22,81.91.180.0,81.91.183.255,22,255.255.252.0
81.91.184.0/22,81.91.184.0,81.91.187.255,22,255.255.252.0
81.91.188.0/24,81.91.188.0,81.91.188.255,24,255.255.255.0
81.162.54.0/23,81.162.54.0,81.162.55.255,23,255.255.254.0
81.211.128.0/17,81.211.128.0,81.211.255.255,17,255.255.128.0
82.115.32.0/19,82.115.32.0,82.115.63.255,19,255.255.224.0
82.200.128.0/17,82.200.128.0,82.200.255.255,17,255.255.128.0
83.97.77.0/24,83.97.77.0,83.97.77.255,24,255.255.255.0
83.136.220.0/24,83.136.220.0,83.136.220.255,24,255.255.255.0
84.240.192.0/18,84.240.192.0,84.240.255.255,18,255.255.192.0
84.252.156.0/22,84.252.156.0,84.252.159.255,22,255.255.252.0
85.29.128.0/18,85.29.128.0,85.29.191.255,18,255.255.192.0
85.92.120.0/22,85.92.120.0,85.92.123.255,22,255.255.252.0
85.117.96.0/19,85.117.96.0,85.117.127.255,19,255.255.224.0
85.159.24.0/21,85.159.24.0,85.159.31.255,21,255.255.248.0
85.193.96.0/19,85.193.96.0,85.193.127.255,19,255.255.224.0
85.198.88.0/22,85.198.88.0,85.198.91.255,22,255.255.252.0
86.107.44.0/23,86.107.44.0,86.107.45.255,23,255.255.254.0
86.107.128.0/20,86.107.128.0,86.107.143.255,20,255.255.240.0
86.107.198.0/23,86.107.198.0,86.107.199.255,23,255.255.254.0
87.76.32.0/19,87.76.32.0,87.76.63.255,19,255.255.224.0
87.239.160.0/21,87.239.160.0,87.239.167.255,21,255.255.248.0
87.243.8.0/21,87.243.8.0,87.243.15.255,21,255.255.248.0
87.243.16.0/20,87.243.16.0,87.243.31.255,20,255.255.240.0
87.243.32.0/19,87.243.32.0,87.243.63.255,19,255.255.224.0
87.247.0.0/18,87.247.0.0,87.247.63.255,18,255.255.192.0
87.255.192.0/19,87.255.192.0,87.255.223.255,19,255.255.224.0
88.151.176.0/21,88.151.176.0,88.151.183.255,21,255.255.248.0
88.204.128.0/17,88.204.128.0,88.204.255.255,17,255.255.128.0
89.20.48.0/24,89.20.48.0,89.20.48.255,24,255.255.255.0
89.28.128.0/21,89.28.128.0,89.28.135.255,21,255.255.248.0
89.33.41.0/24,89.33.41.0,89.33.41.255,24,255.255.255.0
89.33.112.0/22,89.33.112.0,89.33.115.255,22,255.255.252.0
89.33.208.0/20,89.33.208.0,89.33.223.255,20,255.255.240.0
89.35.252.0/22,89.35.252.0,89.35.255.255,22,255.255.252.0
89.36.164.0/22,89.36.164.0,89.36.167.255,22,255.255.252.0
89.36.200.0/22,89.36.200.0,89.36.203.255,22,255.255.252.0
89.37.24.0/22,89.37.24.0,89.37.27.255,22,255.255.252.0
89.37.220.0/22,89.37.220.0,89.37.223.255,22,255.255.252.0
89.38.164.0/22,89.38.164.0,89.38.167.255,22,255.255.252.0
89.40.48.0/20,89.40.48.0,89.40.63.255,20,255.255.240.0
89.40.192.0/22,89.40.192.0,89.40.195.255,22,255.255.252.0
89.42.60.0/22,89.42.60.0,89.42.63.255,22,255.255.252.0
89.42.204.0/22,89.42.204.0,89.42.207.255,22,255.255.252.0
89.43.20.0/22,89.43.20.0,89.43.23.255,22,255.255.252.0
89.43.164.0/22,89.43.164.0,89.43.167.255,22,255.255.252.0
89.44.12.0/22,89.44.12.0,89.44.15.255,22,255.255.252.0
89.46.33.0/24,89.46.33.0,89.46.33.255,24,255.255.255.0
89.46.34.0/24,89.46.34.0,89.46.34.255,24,255.255.255.0
89.106.232.0/21,89.106.232.0,89.106.239.255,21,255.255.248.0
89.107.96.0/21,89.107.96.0,89.107.103.255,21,255.255.248.0
89.208.123.0/24,89.208.123.0,89.208.123.255,24,255.255.255.0
89.218.0.0/16,89.218.0.0,89.218.255.255,16,255.255.0.0
89.219.4.0/22,89.219.4.0,89.219.7.255,22,255.255.252.0
89.219.8.0/21,89.219.8.0,89.219.15.255,21,255.255.248.0
89.219.16.0/20,89.219.16.0,89.219.31.255,20,255.255.240.0
89.219.32.0/22,89.219.32.0,89.219.35.255,22,255.255.252.0
89.223.0.0/24,89.223.0.0,89.223.0.255,24,255.255.255.0
89.223.2.0/24,89.223.2.0,89.223.2.255,24,255.255.255.0
89.223.4.0/24,89.223.4.0,89.223.4.255,24,255.255.255.0
89.223.11.0/24,89.223.11.0,89.223.11.255,24,255.255.255.0
89.223.112.0/21,89.223.112.0,89.223.119.255,21,255.255.248.0
89.250.80.0/20,89.250.80.0,89.250.95.255,20,255.255.240.0
91.90.208.0/24,91.90.208.0,91.90.208.255,24,255.255.255.0
91.103.104.0/22,91.103.104.0,91.103.107.255,22,255.255.252.0
91.135.192.0/20,91.135.192.0,91.135.207.255,20,255.255.240.0
91.147.80.0/20,91.147.80.0,91.147.95.255,20,255.255.240.0
91.147.96.0/19,91.147.96.0,91.147.127.255,19,255.255.224.0
91.185.0.0/19,91.185.0.0,91.185.31.255,19,255.255.224.0
91.195.226.0/23,91.195.226.0,91.195.227.255,23,255.255.254.0
91.198.63.0/24,91.198.63.0,91.198.63.255,24,255.255.255.0
91.198.101.0/24,91.198.101.0,91.198.101.255,24,255.255.255.0
91.199.20.0/24,91.199.20.0,91.199.20.255,24,255.255.255.0
91.201.10.0/24,91.201.10.0,91.201.10.255,24,255.255.255.0
91.201.214.0/23,91.201.214.0,91.201.215.255,23,255.255.254.0
91.201.216.0/22,91.201.216.0,91.201.219.255,22,255.255.252.0
91.203.20.0/22,91.203.20.0,91.203.23.255,22,255.255.252.0
91.203.227.0/24,91.203.227.0,91.203.227.255,24,255.255.255.0
91.207.8.0/24,91.207.8.0,91.207.8.255,24,255.255.255.0
91.210.172.0/22,91.210.172.0,91.210.175.255,22,255.255.252.0
91.213.247.0/24,91.213.247.0,91.213.247.255,24,255.255.255.0
91.214.42.0/23,91.214.42.0,91.214.43.255,23,255.255.254.0
