# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
43.224.36.0/22,43.224.36.0,43.224.39.255,22,255.255.252.0,1024
43.228.84.0/22,43.228.84.0,43.228.87.255,22,255.255.252.0,1024
43.252.244.0/22,43.252.244.0,43.252.247.255,22,255.255.252.0,1024
101.78.8.0/21,101.78.8.0,101.78.15.255,21,255.255.248.0,2048
103.1.28.0/22,103.1.28.0,103.1.31.255,22,255.255.252.0,1024
103.1.232.0/22,103.1.232.0,103.1.235.255,22,255.255.252.0,1024
103.13.88.0/22,103.13.88.0,103.13.91.255,22,255.255.252.0,1024
103.26.103.0/24,103.26.103.0,103.26.103.255,24,255.255.255.0,256
103.43.76.0/22,103.43.76.0,103.43.79.255,22,255.255.252.0,1024
103.59.52.0/22,103.59.52.0,103.59.55.255,22,255.255.252.0,1024
103.63.188.0/24,103.63.188.0,103.63.188.255,24,255.255.255.0,256
103.66.238.0/23,103.66.238.0,103.66.239.255,23,255.255.254.0,512
103.81.180.0/24,103.81.180.0,103.81.180.255,24,255.255.255.0,256
103.82.56.0/22,103.82.56.0,103.82.59.255,22,255.255.252.0,1024
103.95.24.0/22,103.95.24.0,103.95.27.255,22,255.255.252.0,1024
103.109.116.0/22,103.109.116.0,103.109.119.255,22,255.255.252.0,1024
103.112.191.0/24,103.112.191.0,103.112.191.255,24,255.255.255.0,256
103.114.146.0/23,103.114.146.0,103.114.147.255,23,255.255.254.0,512
103.137.88.0/22,103.137.88.0,103.137.91.255,22,255.255.252.0,1024
103.138.142.0/24,103.138.142.0,103.138.142.255,24,255.255.255.0,256
103.140.246.0/23,103.140.246.0,103.140.247.255,23,255.255.254.0,512
103.145.48.0/24,103.145.48.0,103.145.48.255,24,255.255.255.0,256
103.150.74.0/23,103.150.74.0,103.150.75.255,23,255.255.254.0,512
103.151.76.0/23,103.151.76.0,103.151.77.255,23,255.255.254.0,512
103.164.89.0/24,103.164.89.0,103.164.89.255,24,255.255.255.0,256
103.174.8.0/23,103.174.8.0,103.174.9.255,23,255.255.254.0,512
103.205.16.0/22,103.205.16.0,103.205.19.255,22,255.255.252.0,1024
103.228.101.0/24,103.228.101.0,103.228.101.255,24,255.255.255.0,256
103.228.252.0/22,103.228.252.0,103.228.255.255,22,255.255.252.0,1024
103.232.80.0/22,103.232.80.0,103.232.83.255,22,255.255.252.0,1024
103.240.240.0/22,103.240.240.0,103.240.243.255,22,255.255.252.0,1024
103.245.164.0/24,103.245.164.0,103.245.164.255,24,255.255.255.0,256
103.245.167.0/24,103.245.167.0,103.245.167.255,24,255.255.255.0,256
114.129.24.0/21,114.129.24.0,114.129.31.255,21,255.255.248.0,2048
115.84.64.0/18,115.84.64.0,115.84.127.255,18,255.255.192.0,16384
139.5.156.0/22,139.5.156.0,139.5.159.255,22,255.255.252.0,1024
141.164.96.0/20,141.164.96.0,141.164.111.255,20,255.255.240.0,4096
157.15.126.0/23,157.15.126.0,157.15.127.255,23,255.255.254.0,512
157.119.180.0/22,157.119.180.0,157.119.183.255,22,255.255.252.0,1024
160.22.40.0/23,160.22.40.0,160.22.41.255,23,255.255.254.0,512
160.187.128.0/23,160.187.128.0,160.187.129.255,23,255.255.254.0,512
160.191.178.0/23,160.191.178.0,160.191.179.255,23,255.255.254.0,512
160.250.220.0/23,160.250.220.0,160.250.221.255,23,255.255.254.0,512
161.248.192.0/23,161.248.192.0,161.248.193.255,23,255.255.254.0,512
180.131.148.0/22,180.131.148.0,180.131.151.255,22,255.255.252.0,1024
183.182.96.0/19,183.182.96.0,183.182.127.255,19,255.255.224.0,8192
185.19.104.0/22,185.19.104.0,185.19.107.255,22,255.255.252.0,1024
185.126.144.0/22,185.126.144.0,185.126.147.255,22,255.255.252.0,1024
185.129.140.0/22,185.129.140.0,185.129.143.255,22,255.255.252.0,1024
202.9.76.0/23,202.9.76.0,202.9.77.255,23,255.255.254.0,512
202.62.96.0/20,202.62.96.0,202.62.111.255,20,255.255.240.0,4096
202.123.176.0/21,202.123.176.0,202.123.183.255,21,255.255.248.0,2048
202.136.240.0/21,202.136.240.0,202.136.247.255,21,255.255.248.0,2048
202.137.128.0/19,202.137.128.0,202.137.159.255,19,255.255.224.0,8192
202.144.184.0/21,202.144.184.0,202.144.191.255,21,255.255.248.0,2048
203.19.5.0/24,203.19.5.0,203.19.5.255,24,255.255.255.0,256
203.76.252.0/22,203.76.252.0,203.76.255.255,22,255.255.252.0,1024
203.110.64.0/20,203.110.64.0,203.110.79.255,20,255.255.240.0,4096
