# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
5.8.128.0/19,5.8.128.0,5.8.159.255,19,255.255.224.0,8192
5.45.188.0/22,5.45.188.0,5.45.191.255,22,255.255.252.0,1024
5.57.0.0/21,5.57.0.0,5.57.7.255,21,255.255.248.0,2048
5.100.240.0/22,5.100.240.0,5.100.243.255,22,255.255.252.0,1024
31.170.96.0/22,31.170.96.0,31.170.99.255,22,255.255.252.0,1024
37.209.248.0/21,37.209.248.0,37.209.255.255,21,255.255.248.0,2048
45.84.36.0/23,45.84.36.0,45.84.37.255,23,255.255.254.0,512
45.94.52.0/22,45.94.52.0,45.94.55.255,22,255.255.252.0,1024
45.129.136.0/22,45.129.136.0,45.129.139.255,22,255.255.252.0,1024
45.131.20.0/22,45.131.20.0,45.131.23.255,22,255.255.252.0,1024
45.142.84.0/22,45.142.84.0,45.142.87.255,22,255.255.252.0,1024
45.142.136.0/22,45.142.136.0,45.142.139.255,22,255.255.252.0,1024
45.145.60.0/22,45.145.60.0,45.145.63.255,22,255.255.252.0,1024
45.155.132.0/22,45.155.132.0,45.155.135.255,22,255.255.252.0,1024
45.159.184.0/22,45.159.184.0,45.159.187.255,22,255.255.252.0,1024
46.19.192.0/21,46.19.192.0,46.19.199.255,21,255.255.248.0,2048
46.227.248.0/21,46.227.248.0,46.227.255.255,21,255.255.248.0,2048
62.84.64.0/19,62.84.64.0,62.84.95.255,19,255.255.224.0,8192
77.42.128.0/17,77.42.128.0,77.42.255.255,17,255.255.128.0,32768
77.75.88.0/21,77.75.88.0,77.75.95.255,21,255.255.248.0,2048
77.110.64.0/18,77.110.64.0,77.110.127.255,18,255.255.192.0,16384
77.235.128.0/19,77.235.128.0,77.235.159.255,19,255.255.224.0,8192
77.246.64.0/20,77.246.64.0,77.246.79.255,20,255.255.240.0,4096
78.40.176.0/21,78.40.176.0,78.40.183.255,21,255.255.248.0,2048
78.41.56.0/21,78.41.56.0,78.41.63.255,21,255.255.248.0,2048
78.108.160.0/20,78.108.160.0,78.108.175.255,20,255.255.240.0,4096
80.77.176.0/20,80.77.176.0,80.77.191.255,20,255.255.240.0,4096
80.79.144.0/20,80.79.144.0,80.79.159.255,20,255.255.240.0,4096
80.81.144.0/20,80.81.144.0,80.81.159.255,20,255.255.240.0,4096
80.83.16.0/20,80.83.16.0,80.83.31.255,20,255.255.240.0,4096
82.112.160.0/21,82.112.160.0,82.112.167.255,21,255.255.248.0,2048
82.146.160.0/19,82.146.160.0,82.146.191.255,19,255.255.224.0,8192
83.171.192.0/22,83.171.192.0,83.171.195.255,22,255.255.252.0,1024
85.112.64.0/19,85.112.64.0,85.112.95.255,19,255.255.224.0,8192
85.202.92.0/22,85.202.92.0,85.202.95.255,22,255.255.252.0,1024
85.208.204.0/22,85.208.204.0,85.208.207.255,22,255.255.252.0,1024
88.218.140.0/22,88.218.140.0,88.218.143.255,22,255.255.252.0,1024
89.40.28.0/24,89.40.28.0,89.40.28.255,24,255.255.255.0,256
89.108.128.0/18,89.108.128.0,89.108.191.255,18,255.255.192.0,16384
89.187.216.0/21,89.187.216.0,89.187.223.255,21,255.255.248.0,2048
89.249.208.0/20,89.249.208.0,89.249.223.255,20,255.255.240.0,4096
91.92.115.0/24,91.92.115.0,91.92.115.255,24,255.255.255.0,256
91.151.224.0/20,91.151.224.0,91.151.239.255,20,255.255.240.0,4096
91.188.208.0/22,91.188.208.0,91.188.211.255,22,255.255.252.0,1024
91.192.176.0/22,91.192.176.0,91.192.179.255,22,255.255.252.0,1024
91.197.46.0/23,91.197.46.0,91.197.47.255,23,255.255.254.0,512
91.199.39.0/24,91.199.39.0,91.199.39.255,24,255.255.255.0,256
91.208.96.0/24,91.208.96.0,91.208.96.255,24,255.255.255.0,256
91.212.1.0/24,91.212.1.0,91.212.1.255,24,255.255.255.0,256
91.223.215.0/24,91.223.215.0,91.223.215.255,24,255.255.255.0,256
91.232.100.0/23,91.232.100.0,91.232.101.255,23,255.255.254.0,512
91.236.236.0/24,91.236.236.0,91.236.236.255,24,255.255.255.0,256
91.240.80.0/22,91.240.80.0,91.240.83.255,22,255.255.252.0,1024
91.245.248.0/22,91.245.248.0,91.245.251.255,22,255.255.252.0,1024
92.62.160.0/20,92.62.160.0,92.62.175.255,20,255.255.240.0,4096
92.118.20.0/22,92.118.20.0,92.118.23.255,22,255.255.252.0,1024
92.242.168.0/22,92.242.168.0,92.242.171.255,22,255.255.252.0,1024
93.126.128.0/17,93.126.128.0,93.126.255.255,17,255.255.128.0,32768
93.185.80.0/20,93.185.80.0,93.185.95.255,20,255.255.240.0,4096
93.185.224.0/20,93.185.224.0,93.185.239.255,20,255.255.240.0,4096
93.187.65.0/24,93.187.65.0,93.187.65.255,24,255.255.255.0,256
94.187.0.0/17,94.187.0.0,94.187.127.255,17,255.255.128.0,32768
94.231.193.0/24,94.231.193.0,94.231.193.255,24,255.255.255.0,256
95.141.48.0/20,95.141.48.0,95.141.63.255,20,255.255.240.0,4096
95.214.212.0/22,95.214.212.0,95.214.215.255,22,255.255.252.0,1024
109.75.64.0/20,109.75.64.0,109.75.79.255,20,255.255.240.0,4096
109.110.96.0/19,109.110.96.0,109.110.127.255,19,255.255.224.0,8192
109.233.16.0/21,109.233.16.0,109.233.23.255,21,255.255.248.0,2048
141.105.80.0/20,141.105.80.0,141.105.95.255,20,255.255.240.0,4096
141.138.176.0/20,141.138.176.0,141.138.191.255,20,255.255.240.0,4096
146.185.32.0/21,146.185.32.0,146.185.39.255,21,255.255.248.0,2048
147.78.44.0/22,147.78.44.0,147.78.47.255,22,255.255.252.0,1024
149.3.152.0/21,149.3.152.0,149.3.159.255,21,255.255.248.0,2048
160.238.120.0/22,160.238.120.0,160.238.123.255,22,255.255.252.0,1024
176.119.208.0/24,176.119.208.0,176.119.208.255,24,255.255.255.0,256
