# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
23.185.40.0/24,23.185.40.0,23.185.40.255,24,255.255.255.0,256
24.92.144.0/20,24.92.144.0,24.92.159.255,20,255.255.240.0,4096
66.212.62.0/23,66.212.62.0,66.212.63.255,23,255.255.254.0,512
72.14.98.0/23,72.14.98.0,72.14.99.255,23,255.255.254.0,512
104.218.216.0/22,104.218.216.0,104.218.219.255,22,255.255.252.0,1024
104.255.252.0/22,104.255.252.0,104.255.255.255,22,255.255.252.0,1024
162.0.155.0/24,162.0.155.0,162.0.155.255,24,255.255.255.0,256
162.212.208.0/23,162.212.208.0,162.212.209.255,23,255.255.254.0,512
162.245.76.0/22,162.245.76.0,162.245.79.255,22,255.255.252.0,1024
192.58.142.0/23,192.58.142.0,192.58.143.255,23,255.255.254.0,512
192.147.231.0/24,192.147.231.0,192.147.231.255,24,255.255.255.0,256
199.38.192.0/21,199.38.192.0,199.38.199.255,21,255.255.248.0,2048
199.192.226.0/23,199.192.226.0,199.192.227.255,23,255.255.254.0,512
199.223.248.0/22,199.223.248.0,199.223.251.255,22,255.255.252.0,1024
204.145.147.0/24,204.145.147.0,204.145.147.255,24,255.255.255.0,256
204.152.80.0/23,204.152.80.0,204.152.81.255,23,255.255.254.0,512
205.134.160.0/19,205.134.160.0,205.134.191.255,19,255.255.224.0,8192
205.166.35.0/24,205.166.35.0,205.166.35.255,24,255.255.255.0,256
206.126.120.0/21,206.126.120.0,206.126.127.255,21,255.255.248.0,2048
207.191.248.0/21,207.191.248.0,207.191.255.255,21,255.255.248.0,2048
208.94.176.0/21,208.94.176.0,208.94.183.255,21,255.255.248.0,2048
