# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
5.34.248.0/21,5.34.248.0,5.34.255.255,21,255.255.248.0,2048
31.10.16.0/20,31.10.16.0,31.10.31.255,20,255.255.240.0,4096
45.80.175.0/24,45.80.175.0,45.80.175.255,24,255.255.255.0,256
45.81.12.0/22,45.81.12.0,45.81.15.255,22,255.255.252.0,1024
45.90.8.0/22,45.90.8.0,45.90.11.255,22,255.255.252.0,1024
46.18.111.0/24,46.18.111.0,46.18.111.255,24,255.255.255.0,256
80.66.224.0/20,80.66.224.0,80.66.239.255,20,255.255.240.0,4096
80.72.48.0/20,80.72.48.0,80.72.63.255,20,255.255.240.0,4096
80.241.112.0/20,80.241.112.0,80.241.127.255,20,255.255.240.0,4096
80.248.192.0/20,80.248.192.0,80.248.207.255,20,255.255.240.0,4096
81.161.56.0/23,81.161.56.0,81.161.57.255,23,255.255.254.0,512
82.117.0.0/19,82.117.0.0,82.117.31.255,19,255.255.224.0,8192
85.31.152.0/21,85.31.152.0,85.31.159.255,21,255.255.248.0,2048
88.82.96.0/19,88.82.96.0,88.82.127.255,19,255.255.224.0,8192
89.248.144.0/20,89.248.144.0,89.248.159.255,20,255.255.240.0,4096
91.207.130.0/23,91.207.130.0,91.207.131.255,23,255.255.254.0,512
91.217.207.0/24,91.217.207.0,91.217.207.255,24,255.255.255.0,256
91.232.229.0/24,91.232.229.0,91.232.229.255,24,255.255.255.0,256
149.255.176.0/21,149.255.176.0,149.255.183.255,21,255.255.248.0,2048
176.119.216.0/24,176.119.216.0,176.119.216.255,24,255.255.255.0,256
185.19.35.0/24,185.19.35.0,185.19.35.255,24,255.255.255.0,256
185.27.64.0/22,185.27.64.0,185.27.67.255,22,255.255.252.0,1024
185.34.148.0/22,185.34.148.0,185.34.151.255,22,255.255.252.0,1024
185.44.156.0/22,185.44.156.0,185.44.159.255,22,255.255.252.0,1024
185.70.80.0/22,185.70.80.0,185.70.83.255,22,255.255.252.0,1024
185.73.156.0/22,185.73.156.0,185.73.159.255,22,255.255.252.0,1024
185.77.44.0/22,185.77.44.0,185.77.47.255,22,255.255.252.0,1024
185.77.52.0/22,185.77.52.0,185.77.55.255,22,255.255.252.0,1024
185.101.8.0/22,185.101.8.0,185.101.11.255,22,255.255.252.0,1024
185.101.48.0/22,185.101.48.0,185.101.51.255,22,255.255.252.0,1024
185.112.48.0/22,185.112.48.0,185.112.51.255,22,255.255.252.0,1024
185.117.164.0/22,185.117.164.0,185.117.167.255,22,255.255.252.0,1024
185.170.216.0/21,185.170.216.0,185.170.223.255,21,255.255.248.0,2048
185.174.32.0/22,185.174.32.0,185.174.35.255,22,255.255.252.0,1024
185.197.181.0/24,185.197.181.0,185.197.181.255,24,255.255.255.0,256
185.208.120.0/22,185.208.120.0,185.208.123.255,22,255.255.252.0,1024
185.236.220.0/22,185.236.220.0,185.236.223.255,22,255.255.252.0,1024
185.246.232.0/22,185.246.232.0,185.246.235.255,22,255.255.252.0,1024
185.251.164.0/22,185.251.164.0,185.251.167.255,22,255.255.252.0,1024
185.251.184.0/22,185.251.184.0,185.251.187.255,22,255.255.252.0,1024
188.240.40.0/23,188.240.40.0,188.240.41.255,23,255.255.254.0,512
193.5.26.0/23,193.5.26.0,193.5.27.255,23,255.255.254.0,512
193.17.79.0/24,193.17.79.0,193.17.79.255,24,255.255.255.0,256
193.32.84.0/24,193.32.84.0,193.32.84.255,24,255.255.255.0,256
193.168.168.0/22,193.168.168.0,193.168.171.255,22,255.255.252.0,1024
193.200.236.0/24,193.200.236.0,193.200.236.255,24,255.255.255.0,256
193.202.240.0/20,193.202.240.0,193.202.255.255,20,255.255.240.0,4096
193.222.112.0/20,193.222.112.0,193.222.127.255,20,255.255.240.0,4096
194.11.203.0/24,194.11.203.0,194.11.203.255,24,255.255.255.0,256
194.56.144.0/22,194.56.144.0,194.56.147.255,22,255.255.252.0,1024
194.124.188.0/22,194.124.188.0,194.124.191.255,22,255.255.252.0,1024
194.147.68.0/23,194.147.68.0,194.147.69.255,23,255.255.254.0,512
194.147.196.0/22,194.147.196.0,194.147.199.255,22,255.255.252.0,1024
194.147.200.0/21,194.147.200.0,194.147.207.255,21,255.255.248.0,2048
195.211.32.0/22,195.211.32.0,195.211.35.255,22,255.255.252.0,1024
195.225.200.0/22,195.225.200.0,195.225.203.255,22,255.255.252.0,1024
195.242.248.0/22,195.242.248.0,195.242.251.255,22,255.255.252.0,1024
195.245.218.0/24,195.245.218.0,195.245.218.255,24,255.255.255.0,256
195.254.128.0/23,195.254.128.0,195.254.129.255,23,255.255.254.0,512
212.77.32.0/19,212.77.32.0,212.77.63.255,19,255.255.224.0,8192
217.173.224.0/20,217.173.224.0,217.173.239.255,20,255.255.240.0,4096
