# CIDR,network(start) address,end address,prefix,subnet mask
43.224.124.0/22,43.224.124.0,43.224.127.255,22,255.255.252.0
43.228.108.0/22,43.228.108.0,43.228.111.255,22,255.255.252.0
43.250.240.0/22,43.250.240.0,43.250.243.255,22,255.255.252.0
43.252.12.0/22,43.252.12.0,43.252.15.255,22,255.255.252.0
45.121.88.0/22,45.121.88.0,45.121.91.255,22,255.255.252.0
61.245.160.0/20,61.245.160.0,61.245.175.255,20,255.255.240.0
101.2.176.0/20,101.2.176.0,101.2.191.255,20,255.255.240.0
103.1.176.0/22,103.1.176.0,103.1.179.255,22,255.255.252.0
103.2.148.0/22,103.2.148.0,103.2.151.255,22,255.255.252.0
103.2.152.0/22,103.2.152.0,103.2.155.255,22,255.255.252.0
103.11.32.0/22,103.11.32.0,103.11.35.255,22,255.255.252.0
103.21.164.0/22,103.21.164.0,103.21.167.255,22,255.255.252.0
103.77.64.0/22,103.77.64.0,103.77.67.255,22,255.255.252.0
103.84.160.0/22,103.84.160.0,103.84.163.255,22,255.255.252.0
103.87.12.0/22,103.87.12.0,103.87.15.255,22,255.255.252.0
103.87.124.0/22,103.87.124.0,103.87.127.255,22,255.255.252.0
103.96.226.0/23,103.96.226.0,103.96.227.255,23,255.255.254.0
103.99.100.0/24,103.99.100.0,103.99.100.255,24,255.255.255.0
103.138.180.0/24,103.138.180.0,103.138.180.255,24,255.255.255.0
103.140.194.0/23,103.140.194.0,103.140.195.255,23,255.255.254.0
103.142.50.0/24,103.142.50.0,103.142.50.255,24,255.255.255.0
103.144.60.0/24,103.144.60.0,103.144.60.255,24,255.255.255.0
103.210.128.0/23,103.210.128.0,103.210.129.255,23,255.255.254.0
103.227.244.0/22,103.227.244.0,103.227.247.255,22,255.255.252.0
103.241.27.0/24,103.241.27.0,103.241.27.255,24,255.255.255.0
103.247.48.0/22,103.247.48.0,103.247.51.255,22,255.255.252.0
111.223.128.0/18,111.223.128.0,111.223.191.255,18,255.255.192.0
112.134.0.0/15,112.134.0.0,112.135.255.255,15,255.254.0.0
113.59.192.0/19,113.59.192.0,113.59.223.255,19,255.255.224.0
116.12.64.0/18,116.12.64.0,116.12.127.255,18,255.255.192.0
116.204.212.0/22,116.204.212.0,116.204.215.255,22,255.255.252.0
116.206.20.0/22,116.206.20.0,116.206.23.255,22,255.255.252.0
116.206.180.0/22,116.206.180.0,116.206.183.255,22,255.255.252.0
116.206.244.0/22,116.206.244.0,116.206.247.255,22,255.255.252.0
119.235.0.0/20,119.235.0.0,119.235.15.255,20,255.255.240.0
122.255.0.0/18,122.255.0.0,122.255.63.255,18,255.255.192.0
123.231.0.0/17,123.231.0.0,123.231.127.255,17,255.255.128.0
124.6.240.0/20,124.6.240.0,124.6.255.255,20,255.255.240.0
124.43.0.0/16,124.43.0.0,124.43.255.255,16,255.255.0.0
125.214.160.0/19,125.214.160.0,125.214.191.255,19,255.255.224.0
175.157.0.0/16,175.157.0.0,175.157.255.255,16,255.255.0.0
182.161.0.0/19,182.161.0.0,182.161.31.255,19,255.255.224.0
192.248.0.0/17,192.248.0.0,192.248.127.255,17,255.255.128.0
194.140.200.0/21,194.140.200.0,194.140.207.255,21,255.255.248.0
202.69.192.0/20,202.69.192.0,202.69.207.255,20,255.255.240.0
202.124.160.0/19,202.124.160.0,202.124.191.255,19,255.255.224.0
202.129.232.0/22,202.129.232.0,202.129.235.255,22,255.255.252.0
203.34.116.0/24,203.34.116.0,203.34.116.255,24,255.255.255.0
203.81.96.0/20,203.81.96.0,203.81.111.255,20,255.255.240.0
203.94.64.0/18,203.94.64.0,203.94.127.255,18,255.255.192.0
203.96.160.0/22,203.96.160.0,203.96.163.255,22,255.255.252.0
203.115.0.0/18,203.115.0.0,203.115.63.255,18,255.255.192.0
203.143.0.0/18,203.143.0.0,203.143.63.255,18,255.255.192.0
203.153.220.0/22,203.153.220.0,203.153.223.255,22,255.255.252.0
203.189.64.0/20,203.189.64.0,203.189.79.255,20,255.255.240.0
203.189.184.0/21,203.189.184.0,203.189.191.255,21,255.255.248.0
212.104.224.0/20,212.104.224.0,212.104.239.255,20,255.255.240.0
218.100.57.0/24,218.100.57.0,218.100.57.255,24,255.255.255.0
218.100.61.0/24,218.100.61.0,218.100.61.255,24,255.255.255.0
220.247.192.0/18,220.247.192.0,220.247.255.255,18,255.255.192.0
222.165.128.0/18,222.165.128.0,222.165.191.255,18,255.255.192.0
223.224.0.0/19,223.224.0.0,223.224.31.255,19,255.255.224.0
