# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
41.76.16.0/21,41.76.16.0,41.76.23.255,21,255.255.248.0,2048
41.191.200.0/21,41.191.200.0,41.191.207.255,21,255.255.248.0,2048
41.203.176.0/20,41.203.176.0,41.203.191.255,20,255.255.240.0,4096
64.57.112.0/20,64.57.112.0,64.57.127.255,20,255.255.240.0,4096
102.36.240.0/22,102.36.240.0,102.36.243.255,22,255.255.252.0,1024
102.203.194.0/23,102.203.194.0,102.203.195.255,23,255.255.254.0,512
102.214.112.0/22,102.214.112.0,102.214.115.255,22,255.255.252.0,1024
129.232.0.0/17,129.232.0.0,129.232.127.255,17,255.255.128.0,32768
154.66.108.0/22,154.66.108.0,154.66.111.255,22,255.255.252.0,1024
156.0.0.0/18,156.0.0.0,156.0.63.255,18,255.255.192.0,16384
196.4.255.0/24,196.4.255.0,196.4.255.255,24,255.255.255.0,256
196.11.175.0/24,196.11.175.0,196.11.175.255,24,255.255.255.0,256
196.43.249.0/24,196.43.249.0,196.43.249.255,24,255.255.255.0,256
196.202.240.0/21,196.202.240.0,196.202.247.255,21,255.255.248.0,2048
196.223.24.0/24,196.223.24.0,196.223.24.255,24,255.255.255.0,256
197.155.192.0/20,197.155.192.0,197.155.207.255,20,255.255.240.0,4096
197.189.128.0/18,197.189.128.0,197.189.191.255,18,255.255.192.0,16384
197.220.128.0/19,197.220.128.0,197.220.159.255,19,255.255.224.0,8192
197.231.32.0/19,197.231.32.0,197.231.63.255,19,255.255.224.0,8192
197.254.128.0/18,197.254.128.0,197.254.191.255,18,255.255.192.0,16384
