# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
2.56.0.0/22,2.56.0.0,2.56.3.255,22,255.255.252.0,1024
2.56.184.0/22,2.56.184.0,2.56.187.255,22,255.255.252.0,1024
2.56.248.0/22,2.56.248.0,2.56.251.255,22,255.255.252.0,1024
2.57.176.0/22,2.57.176.0,2.57.179.255,22,255.255.252.0,1024
2.57.236.0/24,2.57.236.0,2.57.236.255,24,255.255.255.0,256
2.58.84.0/22,2.58.84.0,2.58.87.255,22,255.255.252.0,1024
2.58.232.0/22,2.58.232.0,2.58.235.255,22,255.255.252.0,1024
2.59.56.0/21,2.59.56.0,2.59.63.255,21,255.255.248.0,2048
5.1.40.0/24,5.1.40.0,5.1.40.255,24,255.255.255.0,256
5.20.0.0/16,5.20.0.0,5.20.255.255,16,255.255.0.0,65536
5.42.206.0/24,5.42.206.0,5.42.206.255,24,255.255.255.0,256
5.42.208.0/24,5.42.208.0,5.42.208.255,24,255.255.255.0,256
5.44.249.0/24,5.44.249.0,5.44.249.255,24,255.255.255.0,256
5.133.64.0/22,5.133.64.0,5.133.67.255,22,255.255.252.0,1024
5.180.152.0/22,5.180.152.0,5.180.155.255,22,255.255.252.0,1024
5.181.36.0/22,5.181.36.0,5.181.39.255,22,255.255.252.0,1024
5.181.176.0/22,5.181.176.0,5.181.179.255,22,255.255.252.0,1024
5.181.184.0/22,5.181.184.0,5.181.187.255,22,255.255.252.0,1024
5.182.12.0/22,5.182.12.0,5.182.15.255,22,255.255.252.0,1024
5.182.228.0/22,5.182.228.0,5.182.231.255,22,255.255.252.0,1024
5.188.172.0/22,5.188.172.0,5.188.175.255,22,255.255.252.0,1024
5.188.180.0/22,5.188.180.0,5.188.183.255,22,255.255.252.0,1024
5.199.160.0/20,5.199.160.0,5.199.175.255,20,255.255.240.0,4096
5.252.184.0/22,5.252.184.0,5.252.187.255,22,255.255.252.0,1024
14.102.4.0/22,14.102.4.0,14.102.7.255,22,255.255.252.0,1024
14.102.8.0/22,14.102.8.0,14.102.11.255,22,255.255.252.0,1024
31.13.214.0/24,31.13.214.0,31.13.214.255,24,255.255.255.0,256
31.14.176.0/22,31.14.176.0,31.14.179.255,22,255.255.252.0,1024
31.40.216.0/22,31.40.216.0,31.40.219.255,22,255.255.252.0,1024
31.40.232.0/22,31.40.232.0,31.40.235.255,22,255.255.252.0,1024
31.41.34.0/24,31.41.34.0,31.41.34.255,24,255.255.255.0,256
31.41.248.0/24,31.41.248.0,31.41.248.255,24,255.255.255.0,256
31.44.96.0/20,31.44.96.0,31.44.111.255,20,255.255.240.0,4096
31.97.0.0/16,31.97.0.0,31.97.255.255,16,255.255.0.0,65536
31.135.216.0/21,31.135.216.0,31.135.223.255,21,255.255.248.0,2048
31.172.224.0/22,31.172.224.0,31.172.227.255,22,255.255.252.0,1024
31.177.8.0/21,31.177.8.0,31.177.15.255,21,255.255.248.0,2048
31.193.192.0/21,31.193.192.0,31.193.199.255,21,255.255.248.0,2048
31.209.64.0/20,31.209.64.0,31.209.79.255,20,255.255.240.0,4096
31.222.226.0/24,31.222.226.0,31.222.226.255,24,255.255.255.0,256
37.44.212.0/24,37.44.212.0,37.44.212.255,24,255.255.255.0,256
37.60.142.0/24,37.60.142.0,37.60.142.255,24,255.255.255.0,256
37.61.225.0/24,37.61.225.0,37.61.225.255,24,255.255.255.0,256
37.61.230.0/24,37.61.230.0,37.61.230.255,24,255.255.255.0,256
37.140.244.0/24,37.140.244.0,37.140.244.255,24,255.255.255.0,256
37.153.134.0/24,37.153.134.0,37.153.134.255,24,255.255.255.0,256
37.156.6.0/24,37.156.6.0,37.156.6.255,24,255.255.255.0,256
37.156.216.0/21,37.156.216.0,37.156.223.255,21,255.255.248.0,2048
37.157.144.0/21,37.157.144.0,37.157.151.255,21,255.255.248.0,2048
43.229.8.0/22,43.229.8.0,43.229.11.255,22,255.255.252.0,1024
43.230.56.0/22,43.230.56.0,43.230.59.255,22,255.255.252.0,1024
43.245.116.0/23,43.245.116.0,43.245.117.255,23,255.255.254.0,512
43.245.119.0/24,43.245.119.0,43.245.119.255,24,255.255.255.0,256
45.8.172.0/22,45.8.172.0,45.8.175.255,22,255.255.252.0,1024
45.8.216.0/22,45.8.216.0,45.8.219.255,22,255.255.252.0,1024
45.9.124.0/22,45.9.124.0,45.9.127.255,22,255.255.252.0,1024
45.9.152.0/22,45.9.152.0,45.9.155.255,22,255.255.252.0,1024
45.11.152.0/22,45.11.152.0,45.11.155.255,22,255.255.252.0,1024
45.12.12.0/22,45.12.12.0,45.12.15.255,22,255.255.252.0,1024
45.12.80.0/22,45.12.80.0,45.12.83.255,22,255.255.252.0,1024
45.12.104.0/22,45.12.104.0,45.12.107.255,22,255.255.252.0,1024
45.13.52.0/22,45.13.52.0,45.13.55.255,22,255.255.252.0,1024
45.13.148.0/22,45.13.148.0,45.13.151.255,22,255.255.252.0,1024
45.14.144.0/22,45.14.144.0,45.14.147.255,22,255.255.252.0,1024
45.15.41.0/24,45.15.41.0,45.15.41.255,24,255.255.255.0,256
45.66.60.0/22,45.66.60.0,45.66.63.255,22,255.255.252.0,1024
45.66.148.0/22,45.66.148.0,45.66.151.255,22,255.255.252.0,1024
45.66.196.0/22,45.66.196.0,45.66.199.255,22,255.255.252.0,1024
45.67.200.0/22,45.67.200.0,45.67.203.255,22,255.255.252.0,1024
45.81.56.0/22,45.81.56.0,45.81.59.255,22,255.255.252.0,1024
45.82.32.0/22,45.82.32.0,45.82.35.255,22,255.255.252.0,1024
45.82.52.0/22,45.82.52.0,45.82.55.255,22,255.255.252.0,1024
45.84.108.0/22,45.84.108.0,45.84.111.255,22,255.255.252.0,1024
45.84.244.0/22,45.84.244.0,45.84.247.255,22,255.255.252.0,1024
45.86.52.0/22,45.86.52.0,45.86.55.255,22,255.255.252.0,1024
45.87.44.0/22,45.87.44.0,45.87.47.255,22,255.255.252.0,1024
45.87.172.0/22,45.87.172.0,45.87.175.255,22,255.255.252.0,1024
45.88.144.0/22,45.88.144.0,45.88.147.255,22,255.255.252.0,1024
45.88.224.0/23,45.88.224.0,45.88.225.255,23,255.255.254.0,512
45.90.248.0/22,45.90.248.0,45.90.251.255,22,255.255.252.0,1024
45.91.32.0/22,45.91.32.0,45.91.35.255,22,255.255.252.0,1024
45.91.136.0/22,45.91.136.0,45.91.139.255,22,255.255.252.0,1024
45.92.77.0/24,45.92.77.0,45.92.77.255,24,255.255.255.0,256
45.92.104.0/22,45.92.104.0,45.92.107.255,22,255.255.252.0,1024
45.93.224.0/22,45.93.224.0,45.93.227.255,22,255.255.252.0,1024
45.94.236.0/22,45.94.236.0,45.94.239.255,22,255.255.252.0,1024
45.95.32.0/22,45.95.32.0,45.95.35.255,22,255.255.252.0,1024
45.95.212.0/22,45.95.212.0,45.95.215.255,22,255.255.252.0,1024
45.113.238.0/24,45.113.238.0,45.113.238.255,24,255.255.255.0,256
45.117.52.0/22,45.117.52.0,45.117.55.255,22,255.255.252.0,1024
45.123.144.0/22,45.123.144.0,45.123.147.255,22,255.255.252.0,1024
45.130.76.0/22,45.130.76.0,45.130.79.255,22,255.255.252.0,1024
45.133.56.0/22,45.133.56.0,45.133.59.255,22,255.255.252.0,1024
45.133.108.0/22,45.133.108.0,45.133.111.255,22,255.255.252.0,1024
45.134.72.0/22,45.134.72.0,45.134.75.255,22,255.255.252.0,1024
45.135.120.0/22,45.135.120.0,45.135.123.255,22,255.255.252.0,1024
45.135.248.0/22,45.135.248.0,45.135.251.255,22,255.255.252.0,1024
45.137.96.0/22,45.137.96.0,45.137.99.255,22,255.255.252.0,1024
45.138.12.0/22,45.138.12.0,45.138.15.255,22,255.255.252.0,1024
45.138.28.0/22,45.138.28.0,45.138.31.255,22,255.255.252.0,1024
45.138.32.0/22,45.138.32.0,45.138.35.255,22,255.255.252.0,1024
45.140.236.0/22,45.140.236.0,45.140.239.255,22,255.255.252.0,1024
45.141.8.0/22,45.141.8.0,45.141.11.255,22,255.255.252.0,1024
45.141.80.0/22,45.141.80.0,45.141.83.255,22,255.255.252.0,1024
45.142.236.0/22,45.142.236.0,45.142.239.255,22,255.255.252.0,1024
45.143.8.0/22,45.143.8.0,45.143.11.255,22,255.255.252.0,1024
45.145.32.0/22,45.145.32.0,45.145.35.255,22,255.255.252.0,1024
45.145.96.0/22,45.145.96.0,45.145.99.255,22,255.255.252.0,1024
45.146.80.0/22,45.146.80.0,45.146.83.255,22,255.255.252.0,1024
45.146.160.0/22,45.146.160.0,45.146.163.255,22,255.255.252.0,1024
45.146.192.0/23,45.146.192.0,45.146.193.255,23,255.255.254.0,512
45.146.200.0/22,45.146.200.0,45.146.203.255,22,255.255.252.0,1024
45.147.132.0/22,45.147.132.0,45.147.135.255,22,255.255.252.0,1024
45.147.152.0/22,45.147.152.0,45.147.155.255,22,255.255.252.0,1024
45.148.36.0/22,45.148.36.0,45.148.39.255,22,255.255.252.0,1024
45.148.44.0/22,45.148.44.0,45.148.47.255,22,255.255.252.0,1024
45.149.100.0/22,45.149.100.0,45.149.103.255,22,255.255.252.0,1024
45.149.184.0/22,45.149.184.0,45.149.187.255,22,255.255.252.0,1024
45.150.232.0/22,45.150.232.0,45.150.235.255,22,255.255.252.0,1024
45.151.44.0/22,45.151.44.0,45.151.47.255,22,255.255.252.0,1024
45.152.240.0/22,45.152.240.0,45.152.243.255,22,255.255.252.0,1024
45.153.4.0/22,45.153.4.0,45.153.7.255,22,255.255.252.0,1024
45.154.35.0/24,45.154.35.0,45.154.35.255,24,255.255.255.0,256
45.154.104.0/22,45.154.104.0,45.154.107.255,22,255.255.252.0,1024
45.155.16.0/22,45.155.16.0,45.155.19.255,22,255.255.252.0,1024
45.155.64.0/22,45.155.64.0,45.155.67.255,22,255.255.252.0,1024
45.157.16.0/22,45.157.16.0,45.157.19.255,22,255.255.252.0,1024
45.157.180.0/22,45.157.180.0,45.157.183.255,22,255.255.252.0,1024
45.158.8.0/22,45.158.8.0,45.158.11.255,22,255.255.252.0,1024
45.158.56.0/22,45.158.56.0,45.158.59.255,22,255.255.252.0,1024
45.158.168.0/22,45.158.168.0,45.158.171.255,22,255.255.252.0,1024
45.251.60.0/22,45.251.60.0,45.251.63.255,22,255.255.252.0,1024
46.17.240.0/22,46.17.240.0,46.17.243.255,22,255.255.252.0,1024
46.33.23.0/24,46.33.23.0,46.33.23.255,24,255.255.255.0,256
46.36.64.0/19,46.36.64.0,46.36.95.255,19,255.255.224.0,8192
46.36.200.0/23,46.36.200.0,46.36.201.255,23,255.255.254.0,512
46.102.251.0/24,46.102.251.0,46.102.251.255,24,255.255.255.0,256
46.148.16.0/20,46.148.16.0,46.148.31.255,20,255.255.240.0,4096
46.166.160.0/20,46.166.160.0,46.166.175.255,20,255.255.240.0,4096
46.243.160.0/24,46.243.160.0,46.243.160.255,24,255.255.255.0,256
46.249.160.0/19,46.249.160.0,46.249.191.255,19,255.255.224.0,8192
46.251.32.0/19,46.251.32.0,46.251.63.255,19,255.255.224.0,8192
46.255.208.0/21,46.255.208.0,46.255.215.255,21,255.255.248.0,2048
62.3.0.0/24,62.3.0.0,62.3.0.255,24,255.255.255.0,256
62.3.18.0/24,62.3.18.0,62.3.18.255,24,255.255.255.0,256
62.3.20.0/24,62.3.20.0,62.3.20.255,24,255.255.255.0,256
62.68.79.0/24,62.68.79.0,62.68.79.255,24,255.255.255.0,256
62.68.80.0/24,62.68.80.0,62.68.80.255,24,255.255.255.0,256
62.77.152.0/21,62.77.152.0,62.77.159.255,21,255.255.248.0,2048
62.80.224.0/19,62.80.224.0,62.80.255.255,19,255.255.224.0,8192
62.122.76.0/22,62.122.76.0,62.122.79.255,22,255.255.252.0,1024
62.122.185.0/24,62.122.185.0,62.122.185.255,24,255.255.255.0,256
62.122.186.0/23,62.122.186.0,62.122.187.255,23,255.255.254.0,512
62.192.172.0/22,62.192.172.0,62.192.175.255,22,255.255.252.0,1024
62.204.55.0/24,62.204.55.0,62.204.55.255,24,255.255.255.0,256
62.212.192.0/19,62.212.192.0,62.212.223.255,19,255.255.224.0,8192
62.233.51.0/24,62.233.51.0,62.233.51.255,24,255.255.255.0,256
64.190.252.0/22,64.190.252.0,64.190.255.255,22,255.255.252.0,1024
69.62.64.0/18,69.62.64.0,69.62.127.255,18,255.255.192.0,16384
72.60.0.0/14,72.60.0.0,72.63.255.255,14,255.252.0.0,262144
77.72.16.0/21,77.72.16.0,77.72.23.255,21,255.255.248.0,2048
77.72.81.0/24,77.72.81.0,77.72.81.255,24,255.255.255.0,256
77.75.40.0/21,77.75.40.0,77.75.47.255,21,255.255.248.0,2048
77.79.0.0/18,77.79.0.0,77.79.63.255,18,255.255.192.0,16384
77.83.252.0/22,77.83.252.0,77.83.255.255,22,255.255.252.0,1024
