# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
2.56.104.0/22,2.56.104.0,2.56.107.255,22,255.255.252.0,1024
2.56.220.0/22,2.56.220.0,2.56.223.255,22,255.255.252.0,1024
2.57.172.0/22,2.57.172.0,2.57.175.255,22,255.255.252.0,1024
5.8.24.0/22,5.8.24.0,5.8.27.255,22,255.255.252.0,1024
5.8.32.0/22,5.8.32.0,5.8.35.255,22,255.255.252.0,1024
5.8.40.0/23,5.8.40.0,5.8.41.255,23,255.255.254.0,512
5.8.68.0/24,5.8.68.0,5.8.68.255,24,255.255.255.0,256
5.8.70.0/23,5.8.70.0,5.8.71.255,23,255.255.254.0,512
5.8.92.0/22,5.8.92.0,5.8.95.255,22,255.255.252.0,1024
5.45.184.0/22,5.45.184.0,5.45.187.255,22,255.255.252.0,1024
5.63.128.0/21,5.63.128.0,5.63.135.255,21,255.255.248.0,2048
5.101.216.0/23,5.101.216.0,5.101.217.255,23,255.255.254.0,512
5.101.219.0/24,5.101.219.0,5.101.219.255,24,255.255.255.0,256
5.101.220.0/22,5.101.220.0,5.101.223.255,22,255.255.252.0,1024
5.149.112.0/21,5.149.112.0,5.149.119.255,21,255.255.248.0,2048
5.159.216.0/21,5.159.216.0,5.159.223.255,21,255.255.248.0,2048
5.180.164.0/22,5.180.164.0,5.180.167.255,22,255.255.252.0,1024
5.181.24.0/22,5.181.24.0,5.181.27.255,22,255.255.252.0,1024
5.181.76.0/22,5.181.76.0,5.181.79.255,22,255.255.252.0,1024
5.188.0.0/23,5.188.0.0,5.188.1.255,23,255.255.254.0,512
5.188.4.0/23,5.188.4.0,5.188.5.255,23,255.255.254.0,512
5.188.6.0/24,5.188.6.0,5.188.6.255,24,255.255.255.0,256
5.188.32.0/23,5.188.32.0,5.188.33.255,23,255.255.254.0,512
5.188.34.0/24,5.188.34.0,5.188.34.255,24,255.255.255.0,256
5.188.36.0/24,5.188.36.0,5.188.36.255,24,255.255.255.0,256
5.188.70.0/23,5.188.70.0,5.188.71.255,23,255.255.254.0,512
5.188.92.0/22,5.188.92.0,5.188.95.255,22,255.255.252.0,1024
5.188.108.0/22,5.188.108.0,5.188.111.255,22,255.255.252.0,1024
5.188.120.0/24,5.188.120.0,5.188.120.255,24,255.255.255.0,256
5.188.122.0/23,5.188.122.0,5.188.123.255,23,255.255.254.0,512
5.188.124.0/22,5.188.124.0,5.188.127.255,22,255.255.252.0,1024
5.188.132.0/22,5.188.132.0,5.188.135.255,22,255.255.252.0,1024
5.188.148.0/24,5.188.148.0,5.188.148.255,24,255.255.255.0,256
5.188.151.0/24,5.188.151.0,5.188.151.255,24,255.255.255.0,256
5.188.168.0/23,5.188.168.0,5.188.169.255,23,255.255.254.0,512
5.188.188.0/22,5.188.188.0,5.188.191.255,22,255.255.252.0,1024
5.188.213.0/24,5.188.213.0,5.188.213.255,24,255.255.255.0,256
5.188.214.0/23,5.188.214.0,5.188.215.255,23,255.255.254.0,512
5.188.225.0/24,5.188.225.0,5.188.225.255,24,255.255.255.0,256
5.188.226.0/23,5.188.226.0,5.188.227.255,23,255.255.254.0,512
5.188.228.0/24,5.188.228.0,5.188.228.255,24,255.255.255.0,256
5.188.230.0/23,5.188.230.0,5.188.231.255,23,255.255.254.0,512
5.188.238.0/23,5.188.238.0,5.188.239.255,23,255.255.254.0,512
5.189.200.0/24,5.189.200.0,5.189.200.255,24,255.255.255.0,256
5.189.202.0/23,5.189.202.0,5.189.203.255,23,255.255.254.0,512
5.189.204.0/24,5.189.204.0,5.189.204.255,24,255.255.255.0,256
5.189.206.0/23,5.189.206.0,5.189.207.255,23,255.255.254.0,512
5.189.220.0/23,5.189.220.0,5.189.221.255,23,255.255.254.0,512
5.189.222.0/24,5.189.222.0,5.189.222.255,24,255.255.255.0,256
5.252.24.0/22,5.252.24.0,5.252.27.255,22,255.255.252.0,1024
31.13.213.0/24,31.13.213.0,31.13.213.255,24,255.255.255.0,256
31.22.120.0/21,31.22.120.0,31.22.127.255,21,255.255.248.0,2048
31.172.144.0/21,31.172.144.0,31.172.151.255,21,255.255.248.0,2048
31.184.206.0/23,31.184.206.0,31.184.207.255,23,255.255.254.0,512
31.184.244.0/22,31.184.244.0,31.184.247.255,22,255.255.252.0,1024
31.204.88.0/21,31.204.88.0,31.204.95.255,21,255.255.248.0,2048
31.216.144.0/21,31.216.144.0,31.216.151.255,21,255.255.248.0,2048
31.223.184.0/24,31.223.184.0,31.223.184.255,24,255.255.255.0,256
37.9.32.0/22,37.9.32.0,37.9.35.255,22,255.255.252.0,1024
37.61.224.0/24,37.61.224.0,37.61.224.255,24,255.255.255.0,256
37.61.229.0/24,37.61.229.0,37.61.229.255,24,255.255.255.0,256
37.61.231.0/24,37.61.231.0,37.61.231.255,24,255.255.255.0,256
37.140.200.0/21,37.140.200.0,37.140.207.255,21,255.255.248.0,2048
37.157.152.0/21,37.157.152.0,37.157.159.255,21,255.255.248.0,2048
45.10.58.0/23,45.10.58.0,45.10.59.255,23,255.255.254.0,512
45.65.8.0/22,45.65.8.0,45.65.11.255,22,255.255.252.0,1024
45.67.208.0/22,45.67.208.0,45.67.211.255,22,255.255.252.0,1024
45.80.208.0/21,45.80.208.0,45.80.215.255,21,255.255.248.0,2048
45.82.30.0/23,45.82.30.0,45.82.31.255,23,255.255.254.0,512
45.82.100.0/22,45.82.100.0,45.82.103.255,22,255.255.252.0,1024
45.82.160.0/22,45.82.160.0,45.82.163.255,22,255.255.252.0,1024
45.92.70.0/23,45.92.70.0,45.92.71.255,23,255.255.254.0,512
45.92.128.0/22,45.92.128.0,45.92.131.255,22,255.255.252.0,1024
45.135.228.0/22,45.135.228.0,45.135.231.255,22,255.255.252.0,1024
45.145.36.0/24,45.145.36.0,45.145.36.255,24,255.255.255.0,256
45.146.96.0/22,45.146.96.0,45.146.99.255,22,255.255.252.0,1024
45.147.160.0/23,45.147.160.0,45.147.161.255,23,255.255.254.0,512
