# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
2.58.16.0/22,2.58.16.0,2.58.19.255,22,255.255.252.0,1024
5.44.216.0/21,5.44.216.0,5.44.223.255,21,255.255.248.0,2048
5.45.44.0/22,5.45.44.0,5.45.47.255,22,255.255.252.0,1024
5.152.224.0/21,5.152.224.0,5.152.231.255,21,255.255.248.0,2048
5.179.0.0/19,5.179.0.0,5.179.31.255,19,255.255.224.0,8192
5.252.168.0/22,5.252.168.0,5.252.171.255,22,255.255.252.0,1024
31.24.81.0/24,31.24.81.0,31.24.81.255,24,255.255.255.0,256
31.24.192.0/21,31.24.192.0,31.24.199.255,21,255.255.248.0,2048
31.42.80.0/20,31.42.80.0,31.42.95.255,20,255.255.240.0,4096
31.131.88.0/22,31.131.88.0,31.131.91.255,22,255.255.252.0,1024
31.170.16.0/21,31.170.16.0,31.170.23.255,21,255.255.248.0,2048
31.222.233.0/24,31.222.233.0,31.222.233.255,24,255.255.255.0,256
37.44.214.0/24,37.44.214.0,37.44.214.255,24,255.255.255.0,256
37.139.160.0/19,37.139.160.0,37.139.191.255,19,255.255.224.0,8192
37.148.168.0/21,37.148.168.0,37.148.175.255,21,255.255.248.0,2048
37.203.32.0/21,37.203.32.0,37.203.39.255,21,255.255.248.0,2048
45.11.192.0/22,45.11.192.0,45.11.195.255,22,255.255.252.0,1024
45.13.96.0/22,45.13.96.0,45.13.99.255,22,255.255.252.0,1024
45.65.124.0/22,45.65.124.0,45.65.127.255,22,255.255.252.0,1024
45.80.52.0/22,45.80.52.0,45.80.55.255,22,255.255.252.0,1024
45.93.23.0/24,45.93.23.0,45.93.23.255,24,255.255.255.0,256
45.95.80.0/22,45.95.80.0,45.95.83.255,22,255.255.252.0,1024
45.95.164.0/22,45.95.164.0,45.95.167.255,22,255.255.252.0,1024
45.131.182.0/23,45.131.182.0,45.131.183.255,23,255.255.254.0,512
45.140.32.0/22,45.140.32.0,45.140.35.255,22,255.255.252.0,1024
45.143.48.0/22,45.143.48.0,45.143.51.255,22,255.255.252.0,1024
45.149.160.0/22,45.149.160.0,45.149.163.255,22,255.255.252.0,1024
45.153.208.0/22,45.153.208.0,45.153.211.255,22,255.255.252.0,1024
45.158.48.0/22,45.158.48.0,45.158.51.255,22,255.255.252.0,1024
46.19.144.0/21,46.19.144.0,46.19.151.255,21,255.255.248.0,2048
46.19.200.0/21,46.19.200.0,46.19.207.255,21,255.255.248.0,2048
46.23.32.0/20,46.23.32.0,46.23.47.255,20,255.255.240.0,4096
46.28.56.0/21,46.28.56.0,46.28.63.255,21,255.255.248.0,2048
46.109.0.0/16,46.109.0.0,46.109.255.255,16,255.255.0.0,65536
46.183.216.0/21,46.183.216.0,46.183.223.255,21,255.255.248.0,2048
