# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
5.63.0.0/21,5.63.0.0,5.63.7.255,21,255.255.248.0,2048
41.74.64.0/20,41.74.64.0,41.74.79.255,20,255.255.240.0,4096
41.208.64.0/18,41.208.64.0,41.208.127.255,18,255.255.192.0,16384
41.242.16.0/20,41.242.16.0,41.242.31.255,20,255.255.240.0,4096
41.252.0.0/14,41.252.0.0,41.255.255.255,14,255.252.0.0,262144
62.68.32.0/19,62.68.32.0,62.68.63.255,19,255.255.224.0,8192
62.240.32.0/19,62.240.32.0,62.240.63.255,19,255.255.224.0,8192
102.23.220.0/22,102.23.220.0,102.23.223.255,22,255.255.252.0,1024
102.38.0.0/19,102.38.0.0,102.38.31.255,19,255.255.224.0,8192
102.68.128.0/21,102.68.128.0,102.68.135.255,21,255.255.248.0,2048
102.69.0.0/17,102.69.0.0,102.69.127.255,17,255.255.128.0,32768
102.164.96.0/21,102.164.96.0,102.164.103.255,21,255.255.248.0,2048
102.209.252.0/22,102.209.252.0,102.209.255.255,22,255.255.252.0,1024
102.211.4.0/22,102.211.4.0,102.211.7.255,22,255.255.252.0,1024
102.211.148.0/22,102.211.148.0,102.211.151.255,22,255.255.252.0,1024
102.211.172.0/22,102.211.172.0,102.211.175.255,22,255.255.252.0,1024
102.212.136.0/22,102.212.136.0,102.212.139.255,22,255.255.252.0,1024
102.213.44.0/22,102.213.44.0,102.213.47.255,22,255.255.252.0,1024
102.213.180.0/22,102.213.180.0,102.213.183.255,22,255.255.252.0,1024
102.213.188.0/22,102.213.188.0,102.213.191.255,22,255.255.252.0,1024
102.213.228.0/22,102.213.228.0,102.213.231.255,22,255.255.252.0,1024
102.214.104.0/22,102.214.104.0,102.214.107.255,22,255.255.252.0,1024
102.214.164.0/22,102.214.164.0,102.214.167.255,22,255.255.252.0,1024
102.215.196.0/22,102.215.196.0,102.215.199.255,22,255.255.252.0,1024
102.216.136.0/22,102.216.136.0,102.216.139.255,22,255.255.252.0,1024
102.218.172.0/22,102.218.172.0,102.218.175.255,22,255.255.252.0,1024
102.218.196.0/22,102.218.196.0,102.218.199.255,22,255.255.252.0,1024
102.219.227.0/24,102.219.227.0,102.219.227.255,24,255.255.255.0,256
102.220.140.0/22,102.220.140.0,102.220.143.255,22,255.255.252.0,1024
102.221.8.0/22,102.221.8.0,102.221.11.255,22,255.255.252.0,1024
102.221.56.0/22,102.221.56.0,102.221.59.255,22,255.255.252.0,1024
102.221.224.0/22,102.221.224.0,102.221.227.255,22,255.255.252.0,1024
102.222.252.0/23,102.222.252.0,102.222.253.255,23,255.255.254.0,512
102.223.156.0/22,102.223.156.0,102.223.159.255,22,255.255.252.0,1024
154.73.28.0/22,154.73.28.0,154.73.31.255,22,255.255.252.0,1024
154.73.52.0/22,154.73.52.0,154.73.55.255,22,255.255.252.0,1024
154.73.108.0/22,154.73.108.0,154.73.111.255,22,255.255.252.0,1024
154.73.128.0/21,154.73.128.0,154.73.135.255,21,255.255.248.0,2048
154.127.64.0/20,154.127.64.0,154.127.79.255,20,255.255.240.0,4096
156.38.32.0/19,156.38.32.0,156.38.63.255,19,255.255.224.0,8192
160.19.96.0/21,160.19.96.0,160.19.103.255,21,255.255.248.0,2048
164.160.144.0/22,164.160.144.0,164.160.147.255,22,255.255.252.0,1024
165.16.0.0/17,165.16.0.0,165.16.127.255,17,255.255.128.0,32768
169.239.92.0/22,169.239.92.0,169.239.95.255,22,255.255.252.0,1024
169.239.116.0/22,169.239.116.0,169.239.119.255,22,255.255.252.0,1024
185.10.240.0/22,185.10.240.0,185.10.243.255,22,255.255.252.0,1024
195.234.120.0/22,195.234.120.0,195.234.123.255,22,255.255.252.0,1024
196.60.90.0/24,196.60.90.0,196.60.90.255,24,255.255.255.0,256
196.60.110.0/24,196.60.110.0,196.60.110.255,24,255.255.255.0,256
197.215.128.0/19,197.215.128.0,197.215.159.255,19,255.255.224.0,8192
197.231.228.0/22,197.231.228.0,197.231.231.255,22,255.255.252.0,1024
