# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
41.77.112.0/21,41.77.112.0,41.77.119.255,21,255.255.248.0,2048
41.87.128.0/19,41.87.128.0,41.87.159.255,19,255.255.224.0,8192
41.92.0.0/17,41.92.0.0,41.92.127.255,17,255.255.128.0,32768
41.137.0.0/16,41.137.0.0,41.137.255.255,16,255.255.0.0,65536
41.140.0.0/14,41.140.0.0,41.143.255.255,14,255.252.0.0,262144
41.205.192.0/19,41.205.192.0,41.205.223.255,19,255.255.224.0,8192
41.214.128.0/17,41.214.128.0,41.214.255.255,17,255.255.128.0,32768
41.216.224.0/22,41.216.224.0,41.216.227.255,22,255.255.252.0,1024
41.248.0.0/14,41.248.0.0,41.251.255.255,14,255.252.0.0,262144
45.216.0.0/14,45.216.0.0,45.219.255.255,14,255.252.0.0,262144
62.251.128.0/17,62.251.128.0,62.251.255.255,17,255.255.128.0,32768
80.250.32.0/20,80.250.32.0,80.250.47.255,20,255.255.240.0,4096
81.192.0.0/16,81.192.0.0,81.192.255.255,16,255.255.0.0,65536
102.48.0.0/13,102.48.0.0,102.55.255.255,13,255.248.0.0,524288
102.64.4.0/23,102.64.4.0,102.64.5.255,23,255.255.254.0,512
102.67.148.0/22,102.67.148.0,102.67.151.255,22,255.255.252.0,1024
102.68.8.0/22,102.68.8.0,102.68.11.255,22,255.255.252.0,1024
102.72.0.0/13,102.72.0.0,102.79.255.255,13,255.248.0.0,524288
102.96.0.0/13,102.96.0.0,102.103.255.255,13,255.248.0.0,524288
102.135.248.0/22,102.135.248.0,102.135.251.255,22,255.255.252.0,1024
102.165.189.0/24,102.165.189.0,102.165.189.255,24,255.255.255.0,256
102.210.92.0/22,102.210.92.0,102.210.95.255,22,255.255.252.0,1024
102.210.212.0/22,102.210.212.0,102.210.215.255,22,255.255.252.0,1024
102.212.205.0/24,102.212.205.0,102.212.205.255,24,255.255.255.0,256
102.216.12.0/22,102.216.12.0,102.216.15.255,22,255.255.252.0,1024
102.216.118.0/24,102.216.118.0,102.216.118.255,24,255.255.255.0,256
102.218.131.0/24,102.218.131.0,102.218.131.255,24,255.255.255.0,256
102.220.124.0/24,102.220.124.0,102.220.124.255,24,255.255.255.0,256
102.222.176.0/22,102.222.176.0,102.222.179.255,22,255.255.252.0,1024
102.222.212.0/22,102.222.212.0,102.222.215.255,22,255.255.252.0,1024
105.64.0.0/12,105.64.0.0,105.79.255.255,12,255.240.0.0,1048576
105.128.0.0/11,105.128.0.0,105.159.255.255,11,255.224.0.0,2097152
105.188.0.0/14,105.188.0.0,105.191.255.255,14,255.252.0.0,262144
154.70.200.0/21,154.70.200.0,154.70.207.255,21,255.255.248.0,2048
154.144.0.0/13,154.144.0.0,154.151.255.255,13,255.248.0.0,524288
160.77.0.0/16,160.77.0.0,160.77.255.255,16,255.255.0.0,65536
160.89.0.0/16,160.89.0.0,160.89.255.255,16,255.255.0.0,65536
160.90.0.0/16,160.90.0.0,160.90.255.255,16,255.255.0.0,65536
160.105.0.0/16,160.105.0.0,160.105.255.255,16,255.255.0.0,65536
160.160.0.0/12,160.160.0.0,160.175.255.255,12,255.240.0.0,1048576
160.176.0.0/14,160.176.0.0,160.179.255.255,14,255.252.0.0,262144
169.255.176.0/22,169.255.176.0,169.255.179.255,22,255.255.252.0,1024
192.12.117.0/24,192.12.117.0,192.12.117.255,24,255.255.255.0,256
193.194.32.0/19,193.194.32.0,193.194.63.255,19,255.255.224.0,8192
194.204.192.0/18,194.204.192.0,194.204.255.255,18,255.255.192.0,16384
196.2.80.0/20,196.2.80.0,196.2.95.255,20,255.255.240.0,4096
196.11.103.0/24,196.11.103.0,196.11.103.255,24,255.255.255.0,256
196.12.192.0/18,196.12.192.0,196.12.255.255,18,255.255.192.0,16384
196.13.108.0/24,196.13.108.0,196.13.108.255,24,255.255.255.0,256
196.32.216.0/21,196.32.216.0,196.32.223.255,21,255.255.248.0,2048
196.43.236.0/24,196.43.236.0,196.43.236.255,24,255.255.255.0,256
196.49.102.0/24,196.49.102.0,196.49.102.255,24,255.255.255.0,256
196.60.74.0/24,196.60.74.0,196.60.74.255,24,255.255.255.0,256
196.61.232.0/21,196.61.232.0,196.61.239.255,21,255.255.248.0,2048
196.64.0.0/11,196.64.0.0,196.95.255.255,11,255.224.0.0,2097152
196.112.0.0/12,196.112.0.0,196.127.255.255,12,255.240.0.0,1048576
196.200.128.0/18,196.200.128.0,196.200.191.255,18,255.255.192.0,16384
196.200.240.0/20,196.200.240.0,196.200.255.255,20,255.255.240.0,4096
196.206.0.0/16,196.206.0.0,196.206.255.255,16,255.255.0.0,65536
196.217.0.0/16,196.217.0.0,196.217.255.255,16,255.255.0.0,65536
196.223.176.0/20,196.223.176.0,196.223.191.255,20,255.255.240.0,4096
197.128.0.0/14,197.128.0.0,197.131.255.255,14,255.252.0.0,262144
197.144.0.0/14,197.144.0.0,197.147.255.255,14,255.252.0.0,262144
197.153.0.0/16,197.153.0.0,197.153.255.255,16,255.255.0.0,65536
197.230.0.0/16,197.230.0.0,197.230.255.255,16,255.255.0.0,65536
197.247.0.0/16,197.247.0.0,197.247.255.255,16,255.255.0.0,65536
197.253.128.0/17,197.253.128.0,197.253.255.255,17,255.255.128.0,32768
212.217.0.0/17,212.217.0.0,212.217.127.255,17,255.255.128.0,32768
