# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
37.44.224.0/22,37.44.224.0,37.44.227.255,22,255.255.252.0,1024
80.94.96.0/20,80.94.96.0,80.94.111.255,20,255.255.240.0,4096
82.113.0.0/19,82.113.0.0,82.113.31.255,19,255.255.224.0,8192
87.238.104.0/21,87.238.104.0,87.238.111.255,21,255.255.248.0,2048
87.254.224.0/19,87.254.224.0,87.254.255.255,19,255.255.224.0,8192
88.209.64.0/18,88.209.64.0,88.209.127.255,18,255.255.192.0,16384
91.198.207.0/24,91.198.207.0,91.198.207.255,24,255.255.255.0,256
91.199.109.0/24,91.199.109.0,91.199.109.255,24,255.255.255.0,256
91.213.192.0/24,91.213.192.0,91.213.192.255,24,255.255.255.0,256
91.230.188.0/24,91.230.188.0,91.230.188.255,24,255.255.255.0,256
176.114.96.0/20,176.114.96.0,176.114.111.255,20,255.255.240.0,4096
176.121.52.0/22,176.121.52.0,176.121.55.255,22,255.255.252.0,1024
185.47.116.0/22,185.47.116.0,185.47.119.255,22,255.255.252.0,1024
185.162.120.0/22,185.162.120.0,185.162.123.255,22,255.255.252.0,1024
185.193.108.0/22,185.193.108.0,185.193.111.255,22,255.255.252.0,1024
185.243.3.0/24,185.243.3.0,185.243.3.255,24,255.255.255.0,256
185.250.4.0/22,185.250.4.0,185.250.7.255,22,255.255.252.0,1024
188.119.153.0/24,188.119.153.0,188.119.153.255,24,255.255.255.0,256
188.191.136.0/21,188.191.136.0,188.191.143.255,21,255.255.248.0,2048
193.34.228.0/23,193.34.228.0,193.34.229.255,23,255.255.254.0,512
193.35.2.0/23,193.35.2.0,193.35.3.255,23,255.255.254.0,512
193.39.113.0/24,193.39.113.0,193.39.113.255,24,255.255.255.0,256
193.105.15.0/24,193.105.15.0,193.105.15.255,24,255.255.255.0,256
193.218.123.0/24,193.218.123.0,193.218.123.255,24,255.255.255.0,256
195.20.192.0/23,195.20.192.0,195.20.193.255,23,255.255.254.0,512
195.78.0.0/19,195.78.0.0,195.78.31.255,19,255.255.224.0,8192
213.133.72.0/21,213.133.72.0,213.133.79.255,21,255.255.248.0,2048
