# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
2.56.0.0/22,2.56.0.0,2.56.3.255,22,255.255.252.0,1024
2.57.152.0/22,2.57.152.0,2.57.155.255,22,255.255.252.0,1024
2.59.204.0/22,2.59.204.0,2.59.207.255,22,255.255.252.0,1024
5.32.168.0/21,5.32.168.0,5.32.175.255,21,255.255.248.0,2048
5.56.64.0/18,5.56.64.0,5.56.127.255,18,255.255.192.0,16384
5.63.19.0/24,5.63.19.0,5.63.19.255,24,255.255.255.0,256
5.180.4.0/22,5.180.4.0,5.180.7.255,22,255.255.252.0,1024
5.181.156.0/22,5.181.156.0,5.181.159.255,22,255.255.252.0,1024
5.182.28.0/22,5.182.28.0,5.182.31.255,22,255.255.252.0,1024
5.252.176.0/22,5.252.176.0,5.252.179.255,22,255.255.252.0,1024
5.253.228.0/22,5.253.228.0,5.253.231.255,22,255.255.252.0,1024
31.31.0.0/19,31.31.0.0,31.31.31.255,19,255.255.224.0,8192
31.131.0.0/21,31.131.0.0,31.131.7.255,21,255.255.248.0,2048
31.210.169.0/24,31.210.169.0,31.210.169.255,24,255.255.255.0,256
31.222.238.0/24,31.222.238.0,31.222.238.255,24,255.255.255.0,256
37.26.128.0/20,37.26.128.0,37.26.143.255,20,255.255.240.0,4096
37.34.96.0/19,37.34.96.0,37.34.127.255,19,255.255.224.0,8192
37.75.16.0/20,37.75.16.0,37.75.31.255,20,255.255.240.0,4096
37.75.64.0/18,37.75.64.0,37.75.127.255,18,255.255.192.0,16384
37.77.144.0/24,37.77.144.0,37.77.144.255,24,255.255.255.0,256
37.221.124.0/22,37.221.124.0,37.221.127.255,22,255.255.252.0,1024
37.233.0.0/18,37.233.0.0,37.233.63.255,18,255.255.192.0,16384
45.15.64.0/22,45.15.64.0,45.15.67.255,22,255.255.252.0,1024
45.15.224.0/22,45.15.224.0,45.15.227.255,22,255.255.252.0,1024
45.15.244.0/22,45.15.244.0,45.15.247.255,22,255.255.252.0,1024
45.67.116.0/22,45.67.116.0,45.67.119.255,22,255.255.252.0,1024
45.67.196.0/22,45.67.196.0,45.67.199.255,22,255.255.252.0,1024
45.67.228.0/22,45.67.228.0,45.67.231.255,22,255.255.252.0,1024
45.81.252.0/22,45.81.252.0,45.81.255.255,22,255.255.252.0,1024
45.83.12.0/22,45.83.12.0,45.83.15.255,22,255.255.252.0,1024
45.83.176.0/22,45.83.176.0,45.83.179.255,22,255.255.252.0,1024
45.86.16.0/21,45.86.16.0,45.86.23.255,21,255.255.248.0,2048
45.88.124.0/22,45.88.124.0,45.88.127.255,22,255.255.252.0,1024
45.89.44.0/22,45.89.44.0,45.89.47.255,22,255.255.252.0,1024
45.91.84.0/22,45.91.84.0,45.91.87.255,22,255.255.252.0,1024
45.95.11.0/24,45.95.11.0,45.95.11.255,24,255.255.255.0,256
45.95.88.0/22,45.95.88.0,45.95.91.255,22,255.255.252.0,1024
45.120.176.0/22,45.120.176.0,45.120.179.255,22,255.255.252.0,1024
45.128.20.0/22,45.128.20.0,45.128.23.255,22,255.255.252.0,1024
45.137.228.0/22,45.137.228.0,45.137.231.255,22,255.255.252.0,1024
45.143.252.0/22,45.143.252.0,45.143.255.255,22,255.255.252.0,1024
