# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
31.204.192.0/18,31.204.192.0,31.204.255.255,18,255.255.192.0,16384
37.0.64.0/21,37.0.64.0,37.0.71.255,21,255.255.248.0,2048
37.122.160.0/19,37.122.160.0,37.122.191.255,19,255.255.224.0,8192
46.33.192.0/19,46.33.192.0,46.33.223.255,19,255.255.224.0,8192
46.161.64.0/18,46.161.64.0,46.161.127.255,18,255.255.192.0,16384
62.4.32.0/19,62.4.32.0,62.4.63.255,19,255.255.224.0,8192
77.91.80.0/20,77.91.80.0,77.91.95.255,20,255.255.240.0,4096
77.91.96.0/19,77.91.96.0,77.91.127.255,19,255.255.224.0,8192
77.222.0.0/19,77.222.0.0,77.222.31.255,19,255.255.224.0,8192
78.155.32.0/19,78.155.32.0,78.155.63.255,19,255.255.224.0,8192
79.140.144.0/20,79.140.144.0,79.140.159.255,20,255.255.240.0,4096
79.143.96.0/20,79.143.96.0,79.143.111.255,20,255.255.240.0,4096
81.28.248.0/22,81.28.248.0,81.28.251.255,22,255.255.252.0,1024
84.54.45.0/24,84.54.45.0,84.54.45.255,24,255.255.255.0,256
85.94.96.0/19,85.94.96.0,85.94.127.255,19,255.255.224.0,8192
89.188.32.0/19,89.188.32.0,89.188.63.255,19,255.255.224.0,8192
89.207.192.0/21,89.207.192.0,89.207.199.255,21,255.255.248.0,2048
91.217.138.0/24,91.217.138.0,91.217.138.255,24,255.255.255.0,256
91.220.187.0/24,91.220.187.0,91.220.187.255,24,255.255.255.0,256
93.95.29.0/24,93.95.29.0,93.95.29.255,24,255.255.255.0,256
94.102.224.0/20,94.102.224.0,94.102.239.255,20,255.255.240.0,4096
95.155.0.0/18,95.155.0.0,95.155.63.255,18,255.255.192.0,16384
109.72.96.0/20,109.72.96.0,109.72.111.255,20,255.255.240.0,4096
109.228.64.0/18,109.228.64.0,109.228.127.255,18,255.255.192.0,16384
185.1.44.0/24,185.1.44.0,185.1.44.255,24,255.255.255.0,256
185.12.40.0/22,185.12.40.0,185.12.43.255,22,255.255.252.0,1024
185.38.184.0/22,185.38.184.0,185.38.187.255,22,255.255.252.0,1024
185.40.188.0/22,185.40.188.0,185.40.191.255,22,255.255.252.0,1024
185.42.163.0/24,185.42.163.0,185.42.163.255,24,255.255.255.0,256
185.64.0.0/22,185.64.0.0,185.64.3.255,22,255.255.252.0,1024
185.68.48.0/22,185.68.48.0,185.68.51.255,22,255.255.252.0,1024
185.80.96.0/22,185.80.96.0,185.80.99.255,22,255.255.252.0,1024
185.132.160.0/22,185.132.160.0,185.132.163.255,22,255.255.252.0,1024
185.147.200.0/22,185.147.200.0,185.147.203.255,22,255.255.252.0,1024
185.149.144.0/22,185.149.144.0,185.149.147.255,22,255.255.252.0,1024
185.157.120.0/24,185.157.120.0,185.157.120.255,24,255.255.255.0,256
185.163.224.0/22,185.163.224.0,185.163.227.255,22,255.255.252.0,1024
185.179.52.0/22,185.179.52.0,185.179.55.255,22,255.255.252.0,1024
185.179.92.0/22,185.179.92.0,185.179.95.255,22,255.255.252.0,1024
185.255.228.0/22,185.255.228.0,185.255.231.255,22,255.255.252.0,1024
193.32.112.0/22,193.32.112.0,193.32.115.255,22,255.255.252.0,1024
195.10.205.0/24,195.10.205.0,195.10.205.255,24,255.255.255.0,256
195.66.160.0/19,195.66.160.0,195.66.191.255,19,255.255.224.0,8192
195.140.164.0/22,195.140.164.0,195.140.167.255,22,255.255.252.0,1024
195.242.169.0/24,195.242.169.0,195.242.169.255,24,255.255.255.0,256
213.133.0.0/19,213.133.0.0,213.133.31.255,19,255.255.224.0,8192
213.149.96.0/19,213.149.96.0,213.149.127.255,19,255.255.224.0,8192
213.196.64.0/19,213.196.64.0,213.196.95.255,19,255.255.224.0,8192
