# CIDR,network(start) address,end address,prefix,subnet mask
23.138.120.0/24,23.138.120.0,23.138.120.255,24,255.255.255.0
74.112.232.0/21,74.112.232.0,74.112.239.255,21,255.255.248.0
74.116.92.0/22,74.116.92.0,74.116.95.255,22,255.255.252.0
148.64.60.0/23,148.64.60.0,148.64.61.255,23,255.255.254.0
149.112.46.0/23,149.112.46.0,149.112.47.255,23,255.255.254.0
158.222.40.0/23,158.222.40.0,158.222.41.255,23,255.255.254.0
192.96.136.0/23,192.96.136.0,192.96.137.255,23,255.255.254.0
192.139.192.0/24,192.139.192.0,192.139.192.255,24,255.255.255.0
199.19.28.0/22,199.19.28.0,199.19.31.255,22,255.255.252.0
199.101.188.0/22,199.101.188.0,199.101.191.255,22,255.255.252.0
204.27.52.0/22,204.27.52.0,204.27.55.255,22,255.255.252.0
208.78.48.0/21,208.78.48.0,208.78.55.255,21,255.255.248.0
208.91.192.0/22,208.91.192.0,208.91.195.255,22,255.255.252.0
