# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
5.32.176.0/21,5.32.176.0,5.32.183.255,21,255.255.248.0,2048
31.3.88.0/21,31.3.88.0,31.3.95.255,21,255.255.248.0,2048
31.7.168.0/21,31.7.168.0,31.7.175.255,21,255.255.248.0,2048
31.11.64.0/18,31.11.64.0,31.11.127.255,18,255.255.192.0,16384
31.12.16.0/20,31.12.16.0,31.12.31.255,20,255.255.240.0,4096
37.25.80.0/21,37.25.80.0,37.25.87.255,21,255.255.248.0,2048
37.26.96.0/21,37.26.96.0,37.26.103.255,21,255.255.248.0,2048
46.29.168.0/21,46.29.168.0,46.29.175.255,21,255.255.248.0,2048
46.217.0.0/16,46.217.0.0,46.217.255.255,16,255.255.0.0,65536
62.77.136.0/21,62.77.136.0,62.77.143.255,21,255.255.248.0,2048
62.162.0.0/16,62.162.0.0,62.162.255.255,16,255.255.0.0,65536
62.220.192.0/19,62.220.192.0,62.220.223.255,19,255.255.224.0,8192
77.28.0.0/15,77.28.0.0,77.29.255.255,15,255.254.0.0,131072
78.40.0.0/21,78.40.0.0,78.40.7.255,21,255.255.248.0,2048
78.157.0.0/19,78.157.0.0,78.157.31.255,19,255.255.224.0,8192
79.99.56.0/21,79.99.56.0,79.99.63.255,21,255.255.248.0,2048
79.125.128.0/17,79.125.128.0,79.125.255.255,17,255.255.128.0,32768
79.126.128.0/17,79.126.128.0,79.126.255.255,17,255.255.128.0,32768
79.141.112.0/20,79.141.112.0,79.141.127.255,20,255.255.240.0,4096
80.77.144.0/20,80.77.144.0,80.77.159.255,20,255.255.240.0,4096
85.30.64.0/18,85.30.64.0,85.30.127.255,18,255.255.192.0,16384
88.85.96.0/19,88.85.96.0,88.85.127.255,19,255.255.224.0,8192
89.31.152.0/21,89.31.152.0,89.31.159.255,21,255.255.248.0,2048
89.185.192.0/19,89.185.192.0,89.185.223.255,19,255.255.224.0,8192
89.205.0.0/17,89.205.0.0,89.205.127.255,17,255.255.128.0,32768
91.192.227.0/24,91.192.227.0,91.192.227.255,24,255.255.255.0,256
91.199.231.0/24,91.199.231.0,91.199.231.255,24,255.255.255.0,256
91.220.95.0/24,91.220.95.0,91.220.95.255,24,255.255.255.0,256
91.226.20.0/23,91.226.20.0,91.226.21.255,23,255.255.254.0,512
91.230.219.0/24,91.230.219.0,91.230.219.255,24,255.255.255.0,256
91.234.161.0/24,91.234.161.0,91.234.161.255,24,255.255.255.0,256
92.53.0.0/18,92.53.0.0,92.53.63.255,18,255.255.192.0,16384
92.55.64.0/18,92.55.64.0,92.55.127.255,18,255.255.192.0,16384
93.95.64.0/21,93.95.64.0,93.95.71.255,21,255.255.248.0,2048
94.100.96.0/20,94.100.96.0,94.100.111.255,20,255.255.240.0,4096
95.86.0.0/22,95.86.0.0,95.86.3.255,22,255.255.252.0,1024
95.86.12.0/22,95.86.12.0,95.86.15.255,22,255.255.252.0,1024
95.86.16.0/20,95.86.16.0,95.86.31.255,20,255.255.240.0,4096
95.86.44.0/22,95.86.44.0,95.86.47.255,22,255.255.252.0,1024
95.86.60.0/22,95.86.60.0,95.86.63.255,22,255.255.252.0,1024
95.128.184.0/21,95.128.184.0,95.128.191.255,21,255.255.248.0,2048
95.156.0.0/18,95.156.0.0,95.156.63.255,18,255.255.192.0,16384
95.180.128.0/17,95.180.128.0,95.180.255.255,17,255.255.128.0,32768
109.69.40.0/21,109.69.40.0,109.69.47.255,21,255.255.248.0,2048
141.136.8.0/21,141.136.8.0,141.136.15.255,21,255.255.248.0,2048
146.255.64.0/19,146.255.64.0,146.255.95.255,19,255.255.224.0,8192
151.236.240.0/20,151.236.240.0,151.236.255.255,20,255.255.240.0,4096
164.40.248.0/21,164.40.248.0,164.40.255.255,21,255.255.248.0,2048
178.249.112.0/21,178.249.112.0,178.249.119.255,21,255.255.248.0,2048
185.1.121.0/24,185.1.121.0,185.1.121.255,24,255.255.255.0,256
185.2.188.0/22,185.2.188.0,185.2.191.255,22,255.255.252.0,1024
185.5.4.0/22,185.5.4.0,185.5.7.255,22,255.255.252.0,1024
185.6.20.0/22,185.6.20.0,185.6.23.255,22,255.255.252.0,1024
185.13.236.0/22,185.13.236.0,185.13.239.255,22,255.255.252.0,1024
185.14.204.0/22,185.14.204.0,185.14.207.255,22,255.255.252.0,1024
185.42.36.0/22,185.42.36.0,185.42.39.255,22,255.255.252.0,1024
