# CIDR,network(start) address,end address,prefix,subnet mask
41.73.96.0/19,41.73.96.0,41.73.127.255,19,255.255.224.0
41.203.192.0/20,41.203.192.0,41.203.207.255,20,255.255.240.0
41.221.176.0/20,41.221.176.0,41.221.191.255,20,255.255.240.0
102.68.176.0/22,102.68.176.0,102.68.179.255,22,255.255.252.0
102.130.232.0/22,102.130.232.0,102.130.235.255,22,255.255.252.0
102.164.40.0/22,102.164.40.0,102.164.43.255,22,255.255.252.0
102.165.96.0/20,102.165.96.0,102.165.111.255,20,255.255.240.0
102.213.136.0/22,102.213.136.0,102.213.139.255,22,255.255.252.0
102.217.24.0/22,102.217.24.0,102.217.27.255,22,255.255.252.0
102.221.132.0/22,102.221.132.0,102.221.135.255,22,255.255.252.0
102.222.204.0/22,102.222.204.0,102.222.207.255,22,255.255.252.0
102.223.64.0/22,102.223.64.0,102.223.67.255,22,255.255.252.0
154.70.192.0/22,154.70.192.0,154.70.195.255,22,255.255.252.0
154.118.128.0/18,154.118.128.0,154.118.191.255,18,255.255.192.0
165.90.208.0/20,165.90.208.0,165.90.223.255,20,255.255.240.0
169.239.100.0/22,169.239.100.0,169.239.103.255,22,255.255.252.0
196.10.216.0/21,196.10.216.0,196.10.223.255,21,255.255.248.0
196.32.112.0/20,196.32.112.0,196.32.127.255,20,255.255.240.0
196.49.48.0/24,196.49.48.0,196.49.48.255,24,255.255.255.0
196.50.16.0/22,196.50.16.0,196.50.19.255,22,255.255.252.0
196.60.46.0/24,196.60.46.0,196.60.46.255,24,255.255.255.0
196.200.48.0/20,196.200.48.0,196.200.63.255,20,255.255.240.0
196.200.80.0/20,196.200.80.0,196.200.95.255,20,255.255.240.0
196.251.156.0/22,196.251.156.0,196.251.159.255,22,255.255.252.0
197.155.128.0/18,197.155.128.0,197.155.191.255,18,255.255.192.0
217.64.96.0/20,217.64.96.0,217.64.111.255,20,255.255.240.0
217.170.144.0/20,217.170.144.0,217.170.159.255,20,255.255.240.0
