# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
27.109.116.0/22,27.109.116.0,27.109.119.255,22,255.255.252.0,1024
37.111.0.0/17,37.111.0.0,37.111.127.255,17,255.255.128.0,32768
42.156.32.0/22,42.156.32.0,42.156.35.255,22,255.255.252.0,1024
43.224.40.0/22,43.224.40.0,43.224.43.255,22,255.255.252.0,1024
43.224.84.0/22,43.224.84.0,43.224.87.255,22,255.255.252.0,1024
43.227.12.0/22,43.227.12.0,43.227.15.255,22,255.255.252.0,1024
43.231.64.0/22,43.231.64.0,43.231.67.255,22,255.255.252.0,1024
43.239.206.0/23,43.239.206.0,43.239.207.255,23,255.255.254.0,512
43.242.134.0/23,43.242.134.0,43.242.135.255,23,255.255.254.0,512
43.245.44.0/22,43.245.44.0,43.245.47.255,22,255.255.252.0,1024
43.252.80.0/22,43.252.80.0,43.252.83.255,22,255.255.252.0,1024
45.41.96.0/19,45.41.96.0,45.41.127.255,19,255.255.224.0,8192
45.112.44.0/22,45.112.44.0,45.112.47.255,22,255.255.252.0,1024
45.112.176.0/22,45.112.176.0,45.112.179.255,22,255.255.252.0,1024
45.120.84.0/22,45.120.84.0,45.120.87.255,22,255.255.252.0,1024
45.125.4.0/22,45.125.4.0,45.125.7.255,22,255.255.252.0,1024
45.250.200.0/22,45.250.200.0,45.250.203.255,22,255.255.252.0,1024
45.250.240.0/22,45.250.240.0,45.250.243.255,22,255.255.252.0,1024
59.153.88.0/22,59.153.88.0,59.153.91.255,22,255.255.252.0,1024
59.153.108.0/22,59.153.108.0,59.153.111.255,22,255.255.252.0,1024
61.4.64.0/20,61.4.64.0,61.4.79.255,20,255.255.240.0,4096
65.18.112.0/20,65.18.112.0,65.18.127.255,20,255.255.240.0,4096
69.160.0.0/19,69.160.0.0,69.160.31.255,19,255.255.224.0,8192
74.50.208.0/21,74.50.208.0,74.50.215.255,21,255.255.248.0,2048
103.5.120.0/23,103.5.120.0,103.5.121.255,23,255.255.254.0,512
103.13.32.0/22,103.13.32.0,103.13.35.255,22,255.255.252.0,1024
