# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
14.1.124.0/22,14.1.124.0,14.1.127.255,22,255.255.252.0,1024
27.123.212.0/22,27.123.212.0,27.123.215.255,22,255.255.252.0,1024
36.50.6.0/23,36.50.6.0,36.50.7.255,23,255.255.254.0,512
43.228.128.0/22,43.228.128.0,43.228.131.255,22,255.255.252.0,1024
43.231.112.0/22,43.231.112.0,43.231.115.255,22,255.255.252.0,1024
43.242.240.0/22,43.242.240.0,43.242.243.255,22,255.255.252.0,1024
43.250.124.0/22,43.250.124.0,43.250.127.255,22,255.255.252.0,1024
45.117.32.0/22,45.117.32.0,45.117.35.255,22,255.255.252.0,1024
49.0.128.0/19,49.0.128.0,49.0.159.255,19,255.255.224.0,8192
49.0.168.0/21,49.0.168.0,49.0.175.255,21,255.255.248.0,2048
49.0.176.0/20,49.0.176.0,49.0.191.255,20,255.255.240.0,4096
59.153.84.0/22,59.153.84.0,59.153.87.255,22,255.255.252.0,1024
59.153.112.0/22,59.153.112.0,59.153.115.255,22,255.255.252.0,1024
64.119.16.0/20,64.119.16.0,64.119.31.255,20,255.255.240.0,4096
66.181.160.0/19,66.181.160.0,66.181.191.255,19,255.255.224.0,8192
103.8.60.0/24,103.8.60.0,103.8.60.255,24,255.255.255.0,256
103.9.88.0/22,103.9.88.0,103.9.91.255,22,255.255.252.0,1024
103.10.20.0/22,103.10.20.0,103.10.23.255,22,255.255.252.0,1024
103.11.192.0/22,103.11.192.0,103.11.195.255,22,255.255.252.0,1024
103.14.36.0/22,103.14.36.0,103.14.39.255,22,255.255.252.0,1024
103.17.108.0/23,103.17.108.0,103.17.109.255,23,255.255.254.0,512
103.20.152.0/22,103.20.152.0,103.20.155.255,22,255.255.252.0,1024
103.23.48.0/22,103.23.48.0,103.23.51.255,22,255.255.252.0,1024
103.26.192.0/22,103.26.192.0,103.26.195.255,22,255.255.252.0,1024
103.29.144.0/22,103.29.144.0,103.29.147.255,22,255.255.252.0,1024
103.29.199.0/24,103.29.199.0,103.29.199.255,24,255.255.255.0,256
103.41.92.0/23,103.41.92.0,103.41.93.255,23,255.255.254.0,512
103.41.112.0/23,103.41.112.0,103.41.113.255,23,255.255.254.0,512
103.48.116.0/24,103.48.116.0,103.48.116.255,24,255.255.255.0,256
103.48.184.0/22,103.48.184.0,103.48.187.255,22,255.255.252.0,1024
103.50.204.0/22,103.50.204.0,103.50.207.255,22,255.255.252.0,1024
103.51.60.0/24,103.51.60.0,103.51.60.255,24,255.255.255.0,256
103.57.92.0/22,103.57.92.0,103.57.95.255,22,255.255.252.0,1024
103.68.107.0/24,103.68.107.0,103.68.107.255,24,255.255.255.0,256
103.71.100.0/23,103.71.100.0,103.71.101.255,23,255.255.254.0,512
103.79.156.0/23,103.79.156.0,103.79.157.255,23,255.255.254.0,512
103.80.210.0/23,103.80.210.0,103.80.211.255,23,255.255.254.0,512
103.85.184.0/23,103.85.184.0,103.85.185.255,23,255.255.254.0,512
103.87.69.0/24,103.87.69.0,103.87.69.255,24,255.255.255.0,256
