# CIDR,network(start) address,end address,prefix,subnet mask
23.148.24.0/24,23.148.24.0,23.148.24.255,24,255.255.255.0
27.109.128.0/17,27.109.128.0,27.109.255.255,17,255.255.128.0
43.247.24.0/22,43.247.24.0,43.247.27.255,22,255.255.252.0
45.64.20.0/22,45.64.20.0,45.64.23.255,22,255.255.252.0
45.123.200.0/22,45.123.200.0,45.123.203.255,22,255.255.252.0
60.246.0.0/16,60.246.0.0,60.246.255.255,16,255.255.0.0
103.5.218.0/23,103.5.218.0,103.5.219.255,23,255.255.254.0
103.96.60.0/22,103.96.60.0,103.96.63.255,22,255.255.252.0
103.115.140.0/22,103.115.140.0,103.115.143.255,22,255.255.252.0
103.143.92.0/23,103.143.92.0,103.143.93.255,23,255.255.254.0
103.192.44.0/22,103.192.44.0,103.192.47.255,22,255.255.252.0
103.233.188.0/22,103.233.188.0,103.233.191.255,22,255.255.252.0
103.237.100.0/22,103.237.100.0,103.237.103.255,22,255.255.252.0
103.237.124.0/22,103.237.124.0,103.237.127.255,22,255.255.252.0
113.52.64.0/18,113.52.64.0,113.52.127.255,18,255.255.192.0
116.193.8.0/21,116.193.8.0,116.193.15.255,21,255.255.248.0
122.100.128.0/17,122.100.128.0,122.100.255.255,17,255.255.128.0
123.253.200.0/22,123.253.200.0,123.253.203.255,22,255.255.252.0
125.31.0.0/18,125.31.0.0,125.31.63.255,18,255.255.192.0
161.64.0.0/16,161.64.0.0,161.64.255.255,16,255.255.0.0
163.53.244.0/22,163.53.244.0,163.53.247.255,22,255.255.252.0
180.94.128.0/18,180.94.128.0,180.94.191.255,18,255.255.192.0
182.93.0.0/18,182.93.0.0,182.93.63.255,18,255.255.192.0
192.203.232.0/24,192.203.232.0,192.203.232.255,24,255.255.255.0
202.75.248.0/22,202.75.248.0,202.75.251.255,22,255.255.252.0
202.86.128.0/18,202.86.128.0,202.86.191.255,18,255.255.192.0
202.171.252.0/22,202.171.252.0,202.171.255.255,22,255.255.252.0
202.174.0.0/22,202.174.0.0,202.174.3.255,22,255.255.252.0
202.175.0.0/17,202.175.0.0,202.175.127.255,17,255.255.128.0
202.175.160.0/19,202.175.160.0,202.175.191.255,19,255.255.224.0
