# CIDR,network(start) address,end address,prefix,subnet mask
5.102.72.0/21,5.102.72.0,5.102.79.255,21,255.255.248.0
80.243.240.0/20,80.243.240.0,80.243.255.255,20,255.255.240.0
82.197.96.0/19,82.197.96.0,82.197.127.255,19,255.255.224.0
89.16.0.0/19,89.16.0.0,89.16.31.255,19,255.255.224.0
92.49.64.0/18,92.49.64.0,92.49.127.255,18,255.255.192.0
93.176.0.0/18,93.176.0.0,93.176.63.255,18,255.255.192.0
94.124.152.0/21,94.124.152.0,94.124.159.255,21,255.255.248.0
94.124.216.0/21,94.124.216.0,94.124.223.255,21,255.255.248.0
94.198.176.0/21,94.198.176.0,94.198.183.255,21,255.255.248.0
104.245.112.0/21,104.245.112.0,104.245.119.255,21,255.255.248.0
104.249.191.0/24,104.249.191.0,104.249.191.255,24,255.255.255.0
109.62.0.0/17,109.62.0.0,109.62.127.255,17,255.255.128.0
109.203.224.0/19,109.203.224.0,109.203.255.255,19,255.255.224.0
185.13.216.0/22,185.13.216.0,185.13.219.255,22,255.255.252.0
185.14.99.0/24,185.14.99.0,185.14.99.255,24,255.255.255.0
185.21.212.0/22,185.21.212.0,185.21.215.255,22,255.255.252.0
185.60.232.0/22,185.60.232.0,185.60.235.255,22,255.255.252.0
185.91.232.0/22,185.91.232.0,185.91.235.255,22,255.255.252.0
188.115.64.0/18,188.115.64.0,188.115.127.255,18,255.255.192.0
192.163.24.0/22,192.163.24.0,192.163.27.255,22,255.255.252.0
217.175.160.0/19,217.175.160.0,217.175.191.255,19,255.255.224.0
