# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
5.198.248.0/21,5.198.248.0,5.198.255.255,21,255.255.248.0,2048
37.75.32.0/19,37.75.32.0,37.75.63.255,19,255.255.224.0,8192
37.114.72.0/21,37.114.72.0,37.114.79.255,21,255.255.248.0,2048
37.233.120.0/21,37.233.120.0,37.233.127.255,21,255.255.248.0,2048
45.9.100.0/22,45.9.100.0,45.9.103.255,22,255.255.252.0,1024
45.95.80.0/22,45.95.80.0,45.95.83.255,22,255.255.252.0,1024
46.11.0.0/16,46.11.0.0,46.11.255.255,16,255.255.0.0,65536
46.54.0.0/17,46.54.0.0,46.54.127.255,17,255.255.128.0,32768
62.173.0.0/19,62.173.0.0,62.173.31.255,19,255.255.224.0,8192
69.6.32.0/19,69.6.32.0,69.6.63.255,19,255.255.224.0,8192
77.25.128.0/17,77.25.128.0,77.25.255.255,17,255.255.128.0,32768
77.71.128.0/17,77.71.128.0,77.71.255.255,17,255.255.128.0,32768
77.243.64.0/20,77.243.64.0,77.243.79.255,20,255.255.240.0,4096
78.110.16.0/20,78.110.16.0,78.110.31.255,20,255.255.240.0,4096
78.133.0.0/17,78.133.0.0,78.133.127.255,17,255.255.128.0,32768
79.135.108.0/22,79.135.108.0,79.135.111.255,22,255.255.252.0,1024
80.64.208.0/22,80.64.208.0,80.64.211.255,22,255.255.252.0,1024
80.71.48.0/20,80.71.48.0,80.71.63.255,20,255.255.240.0,4096
80.71.96.0/20,80.71.96.0,80.71.111.255,20,255.255.240.0,4096
80.77.192.0/20,80.77.192.0,80.77.207.255,20,255.255.240.0,4096
80.85.96.0/20,80.85.96.0,80.85.111.255,20,255.255.240.0,4096
80.93.144.0/20,80.93.144.0,80.93.159.255,20,255.255.240.0,4096
80.245.208.0/20,80.245.208.0,80.245.223.255,20,255.255.240.0,4096
80.254.80.0/20,80.254.80.0,80.254.95.255,20,255.255.240.0,4096
83.142.248.0/21,83.142.248.0,83.142.255.255,21,255.255.248.0,2048
84.255.0.0/18,84.255.0.0,84.255.63.255,18,255.255.192.0,16384
85.119.120.0/21,85.119.120.0,85.119.127.255,21,255.255.248.0,2048
85.184.96.0/19,85.184.96.0,85.184.127.255,19,255.255.224.0,8192
85.232.192.0/19,85.232.192.0,85.232.223.255,19,255.255.224.0,8192
85.236.136.0/21,85.236.136.0,85.236.143.255,21,255.255.248.0,2048
88.203.0.0/17,88.203.0.0,88.203.127.255,17,255.255.128.0,32768
91.103.88.0/21,91.103.88.0,91.103.95.255,21,255.255.248.0,2048
91.190.157.0/24,91.190.157.0,91.190.157.255,24,255.255.255.0,256
91.194.92.0/23,91.194.92.0,91.194.93.255,23,255.255.254.0,512
91.199.56.0/24,91.199.56.0,91.199.56.255,24,255.255.255.0,256
91.200.196.0/22,91.200.196.0,91.200.199.255,22,255.255.252.0,1024
91.216.153.0/24,91.216.153.0,91.216.153.255,24,255.255.255.0,256
91.216.154.0/24,91.216.154.0,91.216.154.255,24,255.255.255.0,256
91.220.139.0/24,91.220.139.0,91.220.139.255,24,255.255.255.0,256
91.221.10.0/23,91.221.10.0,91.221.11.255,23,255.255.254.0,512
91.231.10.0/24,91.231.10.0,91.231.10.255,24,255.255.255.0,256
92.251.0.0/17,92.251.0.0,92.251.127.255,17,255.255.128.0,32768
94.17.0.0/16,94.17.0.0,94.17.255.255,16,255.255.0.0,65536
94.138.224.0/19,94.138.224.0,94.138.255.255,19,255.255.224.0,8192
95.131.232.0/21,95.131.232.0,95.131.239.255,21,255.255.248.0,2048
109.200.32.0/19,109.200.32.0,109.200.63.255,19,255.255.224.0,8192
141.8.0.0/17,141.8.0.0,141.8.127.255,17,255.255.128.0,32768
141.138.208.0/21,141.138.208.0,141.138.215.255,21,255.255.248.0,2048
147.189.192.0/20,147.189.192.0,147.189.207.255,20,255.255.240.0,4096
159.20.24.0/21,159.20.24.0,159.20.31.255,21,255.255.248.0,2048
176.99.32.0/20,176.99.32.0,176.99.47.255,20,255.255.240.0,4096
185.5.48.0/22,185.5.48.0,185.5.51.255,22,255.255.252.0,1024
185.9.100.0/22,185.9.100.0,185.9.103.255,22,255.255.252.0,1024
185.13.40.0/22,185.13.40.0,185.13.43.255,22,255.255.252.0,1024
185.25.168.0/22,185.25.168.0,185.25.171.255,22,255.255.252.0,1024
185.27.56.0/22,185.27.56.0,185.27.59.255,22,255.255.252.0,1024
185.36.236.0/22,185.36.236.0,185.36.239.255,22,255.255.252.0,1024
185.48.184.0/22,185.48.184.0,185.48.187.255,22,255.255.252.0,1024
185.51.236.0/22,185.51.236.0,185.51.239.255,22,255.255.252.0,1024
