# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
37.139.132.0/22,37.139.132.0,37.139.135.255,22,255.255.252.0,1024
41.72.192.0/19,41.72.192.0,41.72.223.255,19,255.255.224.0,8192
41.76.40.0/21,41.76.40.0,41.76.47.255,21,255.255.248.0,2048
41.77.144.0/21,41.77.144.0,41.77.151.255,21,255.255.248.0,2048
41.79.132.0/22,41.79.132.0,41.79.135.255,22,255.255.252.0,1024
41.84.128.0/19,41.84.128.0,41.84.159.255,19,255.255.224.0,8192
41.87.96.0/19,41.87.96.0,41.87.127.255,19,255.255.224.0,8192
41.136.0.0/16,41.136.0.0,41.136.255.255,16,255.255.0.0,65536
41.160.0.0/12,41.160.0.0,41.175.255.255,12,255.240.0.0,1048576
41.190.128.0/19,41.190.128.0,41.190.159.255,19,255.255.224.0,8192
41.191.212.0/22,41.191.212.0,41.191.215.255,22,255.255.252.0,1024
41.191.224.0/21,41.191.224.0,41.191.231.255,21,255.255.248.0,2048
41.198.0.0/17,41.198.0.0,41.198.127.255,17,255.255.128.0,32768
41.198.192.0/18,41.198.192.0,41.198.255.255,18,255.255.192.0,16384
41.206.96.0/19,41.206.96.0,41.206.127.255,19,255.255.224.0,8192
41.207.128.0/19,41.207.128.0,41.207.159.255,19,255.255.224.0,8192
41.207.232.0/22,41.207.232.0,41.207.235.255,22,255.255.252.0,1024
41.211.64.0/19,41.211.64.0,41.211.95.255,19,255.255.224.0,8192
41.212.128.0/17,41.212.128.0,41.212.255.255,17,255.255.128.0,32768
41.215.248.0/22,41.215.248.0,41.215.251.255,22,255.255.252.0,1024
41.216.96.0/19,41.216.96.0,41.216.127.255,19,255.255.224.0,8192
41.217.212.0/22,41.217.212.0,41.217.215.255,22,255.255.252.0,1024
41.220.224.0/19,41.220.224.0,41.220.255.255,19,255.255.224.0,8192
41.222.0.0/21,41.222.0.0,41.222.7.255,21,255.255.248.0,2048
41.222.96.0/21,41.222.96.0,41.222.103.255,21,255.255.248.0,2048
41.223.76.0/22,41.223.76.0,41.223.79.255,22,255.255.252.0,1024
41.223.220.0/22,41.223.220.0,41.223.223.255,22,255.255.252.0,1024
41.223.224.0/22,41.223.224.0,41.223.227.255,22,255.255.252.0,1024
41.242.144.0/21,41.242.144.0,41.242.151.255,21,255.255.248.0,2048
45.192.0.0/12,45.192.0.0,45.207.255.255,12,255.240.0.0,1048576
45.221.0.0/22,45.221.0.0,45.221.3.255,22,255.255.252.0,1024
45.221.16.0/22,45.221.16.0,45.221.19.255,22,255.255.252.0,1024
80.67.128.0/20,80.67.128.0,80.67.143.255,20,255.255.240.0,4096
80.240.192.0/20,80.240.192.0,80.240.207.255,20,255.255.240.0,4096
102.68.112.0/21,102.68.112.0,102.68.119.255,21,255.255.248.0,2048
102.69.148.0/24,102.69.148.0,102.69.148.255,24,255.255.255.0,256
102.112.0.0/13,102.112.0.0,102.119.255.255,13,255.248.0.0,524288
102.131.48.0/21,102.131.48.0,102.131.55.255,21,255.255.248.0,2048
102.140.176.0/20,102.140.176.0,102.140.191.255,20,255.255.240.0,4096
102.160.0.0/14,102.160.0.0,102.163.255.255,14,255.252.0.0,262144
102.176.128.0/19,102.176.128.0,102.176.159.255,19,255.255.224.0,8192
102.205.35.0/24,102.205.35.0,102.205.35.255,24,255.255.255.0,256
102.209.96.0/22,102.209.96.0,102.209.99.255,22,255.255.252.0,1024
102.211.0.0/22,102.211.0.0,102.211.3.255,22,255.255.252.0,1024
102.211.104.0/24,102.211.104.0,102.211.104.255,24,255.255.255.0,256
102.214.100.0/22,102.214.100.0,102.214.103.255,22,255.255.252.0,1024
102.215.96.0/24,102.215.96.0,102.215.96.255,24,255.255.255.0,256
102.218.128.0/24,102.218.128.0,102.218.128.255,24,255.255.255.0,256
102.218.130.0/24,102.218.130.0,102.218.130.255,24,255.255.255.0,256
102.219.22.0/24,102.219.22.0,102.219.22.255,24,255.255.255.0,256
102.220.125.0/24,102.220.125.0,102.220.125.255,24,255.255.255.0,256
102.221.182.0/23,102.221.182.0,102.221.183.255,23,255.255.254.0,512
102.222.25.0/24,102.222.25.0,102.222.25.255,24,255.255.255.0,256
102.222.104.0/22,102.222.104.0,102.222.107.255,22,255.255.252.0,1024
102.223.206.0/23,102.223.206.0,102.223.207.255,23,255.255.254.0,512
105.16.0.0/12,105.16.0.0,105.31.255.255,12,255.240.0.0,1048576
105.235.144.0/20,105.235.144.0,105.235.159.255,20,255.255.240.0,4096
152.108.0.0/16,152.108.0.0,152.108.255.255,16,255.255.0.0,65536
154.65.8.0/22,154.65.8.0,154.65.11.255,22,255.255.252.0,1024
154.66.240.0/21,154.66.240.0,154.66.247.255,21,255.255.248.0,2048
154.71.0.0/19,154.71.0.0,154.71.31.255,19,255.255.224.0,8192
154.120.192.0/18,154.120.192.0,154.120.255.255,18,255.255.192.0,16384
154.127.48.0/20,154.127.48.0,154.127.63.255,20,255.255.240.0,4096
