# CIDR,network(start) address,end address,prefix,subnet mask
27.114.128.0/18,27.114.128.0,27.114.191.255,18,255.255.192.0
36.255.104.0/23,36.255.104.0,36.255.105.255,23,255.255.254.0
43.226.220.0/22,43.226.220.0,43.226.223.255,22,255.255.252.0
43.231.28.0/22,43.231.28.0,43.231.31.255,22,255.255.252.0
43.247.140.0/22,43.247.140.0,43.247.143.255,22,255.255.252.0
69.94.32.0/20,69.94.32.0,69.94.47.255,20,255.255.240.0
69.94.80.0/20,69.94.80.0,69.94.95.255,20,255.255.240.0
83.137.200.0/21,83.137.200.0,83.137.207.255,21,255.255.248.0
103.15.52.0/22,103.15.52.0,103.15.55.255,22,255.255.252.0
103.31.84.0/22,103.31.84.0,103.31.87.255,22,255.255.252.0
103.50.104.0/22,103.50.104.0,103.50.107.255,22,255.255.252.0
103.55.161.0/24,103.55.161.0,103.55.161.255,24,255.255.255.0
103.67.26.0/24,103.67.26.0,103.67.26.255,24,255.255.255.0
103.71.57.0/24,103.71.57.0,103.71.57.255,24,255.255.255.0
103.76.2.0/24,103.76.2.0,103.76.2.255,24,255.255.255.0
103.84.132.0/24,103.84.132.0,103.84.132.255,24,255.255.255.0
103.84.134.0/24,103.84.134.0,103.84.134.255,24,255.255.255.0
103.87.188.0/24,103.87.188.0,103.87.188.255,24,255.255.255.0
103.103.66.0/24,103.103.66.0,103.103.66.255,24,255.255.255.0
103.110.40.0/24,103.110.40.0,103.110.40.255,24,255.255.255.0
103.110.109.0/24,103.110.109.0,103.110.109.255,24,255.255.255.0
103.110.110.0/23,103.110.110.0,103.110.111.255,23,255.255.254.0
103.119.75.0/24,103.119.75.0,103.119.75.255,24,255.255.255.0
103.141.98.0/24,103.141.98.0,103.141.98.255,24,255.255.255.0
103.143.252.0/24,103.143.252.0,103.143.252.255,24,255.255.255.0
103.172.31.0/24,103.172.31.0,103.172.31.255,24,255.255.255.0
103.173.79.0/24,103.173.79.0,103.173.79.255,24,255.255.255.0
103.181.121.0/24,103.181.121.0,103.181.121.255,24,255.255.255.0
103.181.128.0/24,103.181.128.0,103.181.128.255,24,255.255.255.0
103.182.172.0/24,103.182.172.0,103.182.172.255,24,255.255.255.0
103.191.77.0/24,103.191.77.0,103.191.77.255,24,255.255.255.0
103.197.164.0/22,103.197.164.0,103.197.167.255,22,255.255.252.0
115.84.128.0/19,115.84.128.0,115.84.159.255,19,255.255.224.0
123.176.0.0/19,123.176.0.0,123.176.31.255,19,255.255.224.0
124.195.192.0/19,124.195.192.0,124.195.223.255,19,255.255.224.0
185.215.32.0/22,185.215.32.0,185.215.35.255,22,255.255.252.0
202.1.192.0/20,202.1.192.0,202.1.207.255,20,255.255.240.0
202.21.176.0/20,202.21.176.0,202.21.191.255,20,255.255.240.0
202.153.80.0/21,202.153.80.0,202.153.87.255,21,255.255.248.0
203.82.2.0/23,203.82.2.0,203.82.3.255,23,255.255.254.0
203.104.24.0/21,203.104.24.0,203.104.31.255,21,255.255.248.0
209.212.192.0/19,209.212.192.0,209.212.223.255,19,255.255.224.0
216.183.208.0/20,216.183.208.0,216.183.223.255,20,255.255.240.0
220.158.220.0/22,220.158.220.0,220.158.223.255,22,255.255.252.0
