# CIDR,network(start) address,end address,prefix,subnet mask
41.70.0.0/17,41.70.0.0,41.70.127.255,17,255.255.128.0
41.75.112.0/20,41.75.112.0,41.75.127.255,20,255.255.240.0
41.77.8.0/21,41.77.8.0,41.77.15.255,21,255.255.248.0
41.78.56.0/22,41.78.56.0,41.78.59.255,22,255.255.252.0
41.78.216.0/22,41.78.216.0,41.78.219.255,22,255.255.252.0
41.78.248.0/22,41.78.248.0,41.78.251.255,22,255.255.252.0
41.79.88.0/22,41.79.88.0,41.79.91.255,22,255.255.252.0
41.87.0.0/19,41.87.0.0,41.87.31.255,19,255.255.224.0
41.190.92.0/22,41.190.92.0,41.190.95.255,22,255.255.252.0
41.216.228.0/22,41.216.228.0,41.216.231.255,22,255.255.252.0
41.217.216.0/22,41.217.216.0,41.217.219.255,22,255.255.252.0
41.221.96.0/20,41.221.96.0,41.221.111.255,20,255.255.240.0
41.222.184.0/21,41.222.184.0,41.222.191.255,21,255.255.248.0
45.221.25.0/24,45.221.25.0,45.221.25.255,24,255.255.255.0
102.36.145.0/24,102.36.145.0,102.36.145.255,24,255.255.255.0
102.70.0.0/15,102.70.0.0,102.71.255.255,15,255.254.0.0
102.130.101.0/24,102.130.101.0,102.130.101.255,24,255.255.255.0
102.176.250.0/24,102.176.250.0,102.176.250.255,24,255.255.255.0
102.213.28.0/22,102.213.28.0,102.213.31.255,22,255.255.252.0
102.218.160.0/22,102.218.160.0,102.218.163.255,22,255.255.252.0
102.219.182.0/23,102.219.182.0,102.219.183.255,23,255.255.254.0
102.220.250.0/24,102.220.250.0,102.220.250.255,24,255.255.255.0
102.221.153.0/24,102.221.153.0,102.221.153.255,24,255.255.255.0
102.223.95.0/24,102.223.95.0,102.223.95.255,24,255.255.255.0
105.234.0.0/16,105.234.0.0,105.234.255.255,16,255.255.0.0
129.140.0.0/16,129.140.0.0,129.140.255.255,16,255.255.0.0
137.64.0.0/16,137.64.0.0,137.64.255.255,16,255.255.0.0
137.115.0.0/16,137.115.0.0,137.115.255.255,16,255.255.0.0
137.196.0.0/16,137.196.0.0,137.196.255.255,16,255.255.0.0
154.66.120.0/21,154.66.120.0,154.66.127.255,21,255.255.248.0
168.253.224.0/19,168.253.224.0,168.253.255.255,19,255.255.224.0
169.255.52.0/22,169.255.52.0,169.255.55.255,22,255.255.252.0
192.145.160.0/22,192.145.160.0,192.145.163.255,22,255.255.252.0
196.11.80.0/21,196.11.80.0,196.11.87.255,21,255.255.248.0
196.32.208.0/21,196.32.208.0,196.32.215.255,21,255.255.248.0
196.45.188.0/22,196.45.188.0,196.45.191.255,22,255.255.252.0
196.49.72.0/24,196.49.72.0,196.49.72.255,24,255.255.255.0
196.216.8.0/21,196.216.8.0,196.216.15.255,21,255.255.248.0
196.223.27.0/24,196.223.27.0,196.223.27.255,24,255.255.255.0
197.211.96.0/19,197.211.96.0,197.211.127.255,19,255.255.224.0
