# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
45.5.52.0/22,45.5.52.0,45.5.55.255,22,255.255.252.0,1024
45.5.92.0/22,45.5.92.0,45.5.95.255,22,255.255.252.0,1024
45.6.60.0/22,45.6.60.0,45.6.63.255,22,255.255.252.0,1024
45.6.140.0/22,45.6.140.0,45.6.143.255,22,255.255.252.0,1024
45.7.28.0/22,45.7.28.0,45.7.31.255,22,255.255.252.0,1024
45.7.44.0/22,45.7.44.0,45.7.47.255,22,255.255.252.0,1024
45.7.64.0/22,45.7.64.0,45.7.67.255,22,255.255.252.0,1024
45.7.136.0/22,45.7.136.0,45.7.139.255,22,255.255.252.0,1024
45.65.152.0/22,45.65.152.0,45.65.155.255,22,255.255.252.0,1024
45.68.64.0/21,45.68.64.0,45.68.71.255,21,255.255.248.0,2048
45.163.120.0/21,45.163.120.0,45.163.127.255,21,255.255.248.0,2048
45.164.20.0/22,45.164.20.0,45.164.23.255,22,255.255.252.0,1024
45.164.108.0/22,45.164.108.0,45.164.111.255,22,255.255.252.0,1024
45.164.136.0/22,45.164.136.0,45.164.139.255,22,255.255.252.0,1024
45.164.236.0/22,45.164.236.0,45.164.239.255,22,255.255.252.0,1024
45.166.100.0/22,45.166.100.0,45.166.103.255,22,255.255.252.0,1024
45.166.108.0/22,45.166.108.0,45.166.111.255,22,255.255.252.0,1024
45.166.216.0/22,45.166.216.0,45.166.219.255,22,255.255.252.0,1024
45.167.12.0/22,45.167.12.0,45.167.15.255,22,255.255.252.0,1024
45.167.92.0/22,45.167.92.0,45.167.95.255,22,255.255.252.0,1024
45.167.112.0/22,45.167.112.0,45.167.115.255,22,255.255.252.0,1024
45.167.156.0/22,45.167.156.0,45.167.159.255,22,255.255.252.0,1024
45.167.176.0/23,45.167.176.0,45.167.177.255,23,255.255.254.0,512
45.167.200.0/22,45.167.200.0,45.167.203.255,22,255.255.252.0,1024
45.167.252.0/22,45.167.252.0,45.167.255.255,22,255.255.252.0,1024
45.168.232.0/21,45.168.232.0,45.168.239.255,21,255.255.248.0,2048
45.169.236.0/22,45.169.236.0,45.169.239.255,22,255.255.252.0,1024
45.170.188.0/22,45.170.188.0,45.170.191.255,22,255.255.252.0,1024
45.170.244.0/22,45.170.244.0,45.170.247.255,22,255.255.252.0,1024
45.170.248.0/21,45.170.248.0,45.170.255.255,21,255.255.248.0,2048
45.171.76.0/23,45.171.76.0,45.171.77.255,23,255.255.254.0,512
45.171.156.0/22,45.171.156.0,45.171.159.255,22,255.255.252.0,1024
45.172.88.0/21,45.172.88.0,45.172.95.255,21,255.255.248.0,2048
45.174.44.0/22,45.174.44.0,45.174.47.255,22,255.255.252.0,1024
45.174.56.0/22,45.174.56.0,45.174.59.255,22,255.255.252.0,1024
45.174.68.0/22,45.174.68.0,45.174.71.255,22,255.255.252.0,1024
45.174.72.0/21,45.174.72.0,45.174.79.255,21,255.255.248.0,2048
45.174.84.0/22,45.174.84.0,45.174.87.255,22,255.255.252.0,1024
45.174.88.0/21,45.174.88.0,45.174.95.255,21,255.255.248.0,2048
45.174.98.0/23,45.174.98.0,45.174.99.255,23,255.255.254.0,512
45.174.108.0/22,45.174.108.0,45.174.111.255,22,255.255.252.0,1024
45.174.124.0/22,45.174.124.0,45.174.127.255,22,255.255.252.0,1024
45.174.168.0/21,45.174.168.0,45.174.175.255,21,255.255.248.0,2048
45.174.200.0/22,45.174.200.0,45.174.203.255,22,255.255.252.0,1024
45.174.228.0/22,45.174.228.0,45.174.231.255,22,255.255.252.0,1024
45.174.240.0/20,45.174.240.0,45.174.255.255,20,255.255.240.0,4096
45.175.232.0/21,45.175.232.0,45.175.239.255,21,255.255.248.0,2048
45.175.252.0/22,45.175.252.0,45.175.255.255,22,255.255.252.0,1024
45.176.188.0/22,45.176.188.0,45.176.191.255,22,255.255.252.0,1024
45.176.236.0/22,45.176.236.0,45.176.239.255,22,255.255.252.0,1024
45.177.40.0/22,45.177.40.0,45.177.43.255,22,255.255.252.0,1024
45.177.176.0/22,45.177.176.0,45.177.179.255,22,255.255.252.0,1024
45.177.198.0/24,45.177.198.0,45.177.198.255,24,255.255.255.0,256
