# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
41.76.0.0/21,41.76.0.0,41.76.7.255,21,255.255.248.0,2048
41.76.144.0/21,41.76.144.0,41.76.151.255,21,255.255.248.0,2048
41.77.32.0/21,41.77.32.0,41.77.39.255,21,255.255.248.0,2048
41.77.128.0/21,41.77.128.0,41.77.135.255,21,255.255.248.0,2048
41.79.244.0/22,41.79.244.0,41.79.247.255,22,255.255.252.0,1024
41.94.0.0/16,41.94.0.0,41.94.255.255,16,255.255.0.0,65536
41.138.224.0/20,41.138.224.0,41.138.239.255,20,255.255.240.0,4096
41.191.72.0/22,41.191.72.0,41.191.75.255,22,255.255.252.0,1024
41.220.32.0/20,41.220.32.0,41.220.47.255,20,255.255.240.0,4096
41.220.160.0/20,41.220.160.0,41.220.175.255,20,255.255.240.0,4096
41.220.192.0/20,41.220.192.0,41.220.207.255,20,255.255.240.0,4096
41.221.64.0/20,41.221.64.0,41.221.79.255,20,255.255.240.0,4096
41.223.124.0/22,41.223.124.0,41.223.127.255,22,255.255.252.0,1024
41.223.152.0/22,41.223.152.0,41.223.155.255,22,255.255.252.0,1024
102.36.146.0/24,102.36.146.0,102.36.146.255,24,255.255.255.0,256
102.67.188.0/22,102.67.188.0,102.67.191.255,22,255.255.252.0,1024
102.130.60.0/22,102.130.60.0,102.130.63.255,22,255.255.252.0,1024
102.176.248.0/23,102.176.248.0,102.176.249.255,23,255.255.254.0,512
102.210.72.0/22,102.210.72.0,102.210.75.255,22,255.255.252.0,1024
102.211.108.0/22,102.211.108.0,102.211.111.255,22,255.255.252.0,1024
102.222.88.0/22,102.222.88.0,102.222.91.255,22,255.255.252.0,1024
105.235.216.0/21,105.235.216.0,105.235.223.255,21,255.255.248.0,2048
160.19.190.0/23,160.19.190.0,160.19.191.255,23,255.255.254.0,512
160.119.112.0/21,160.119.112.0,160.119.119.255,21,255.255.248.0,2048
160.119.156.0/22,160.119.156.0,160.119.159.255,22,255.255.252.0,1024
165.90.64.0/19,165.90.64.0,165.90.95.255,19,255.255.224.0,8192
169.239.104.0/22,169.239.104.0,169.239.107.255,22,255.255.252.0,1024
169.255.132.0/22,169.255.132.0,169.255.135.255,22,255.255.252.0,1024
195.140.248.0/22,195.140.248.0,195.140.251.255,22,255.255.252.0,1024
196.3.96.0/21,196.3.96.0,196.3.103.255,21,255.255.248.0,2048
196.10.148.0/24,196.10.148.0,196.10.148.255,24,255.255.255.0,256
196.11.135.0/24,196.11.135.0,196.11.135.255,24,255.255.255.0,256
196.13.101.0/24,196.13.101.0,196.13.101.255,24,255.255.255.0,256
196.22.48.0/20,196.22.48.0,196.22.63.255,20,255.255.240.0,4096
196.28.224.0/20,196.28.224.0,196.28.239.255,20,255.255.240.0,4096
196.40.112.0/20,196.40.112.0,196.40.127.255,20,255.255.240.0,4096
196.43.234.0/24,196.43.234.0,196.43.234.255,24,255.255.255.0,256
196.43.241.0/24,196.43.241.0,196.43.241.255,24,255.255.255.0,256
196.46.0.0/20,196.46.0.0,196.46.15.255,20,255.255.240.0,4096
196.49.34.0/24,196.49.34.0,196.49.34.255,24,255.255.255.0,256
196.50.128.0/18,196.50.128.0,196.50.191.255,18,255.255.192.0,16384
196.223.33.0/24,196.223.33.0,196.223.33.255,24,255.255.255.0,256
197.158.0.0/18,197.158.0.0,197.158.63.255,18,255.255.192.0,16384
197.218.0.0/15,197.218.0.0,197.219.255.255,15,255.254.0.0,131072
197.231.216.0/22,197.231.216.0,197.231.219.255,22,255.255.252.0,1024
197.235.0.0/16,197.235.0.0,197.235.255.255,16,255.255.0.0,65536
197.242.160.0/20,197.242.160.0,197.242.175.255,20,255.255.240.0,4096
197.249.0.0/16,197.249.0.0,197.249.255.255,16,255.255.0.0,65536
