# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
41.63.192.0/18,41.63.192.0,41.63.255.255,18,255.255.192.0,16384
41.182.0.0/16,41.182.0.0,41.182.255.255,16,255.255.0.0,65536
41.190.84.0/22,41.190.84.0,41.190.87.255,22,255.255.252.0,1024
41.190.96.0/19,41.190.96.0,41.190.127.255,19,255.255.224.0,8192
41.205.128.0/19,41.205.128.0,41.205.159.255,19,255.255.224.0,8192
41.218.64.0/18,41.218.64.0,41.218.127.255,18,255.255.192.0,16384
41.219.64.0/18,41.219.64.0,41.219.127.255,18,255.255.192.0,16384
41.223.80.0/22,41.223.80.0,41.223.83.255,22,255.255.252.0,1024
102.69.212.0/22,102.69.212.0,102.69.215.255,22,255.255.252.0,1024
102.209.196.0/22,102.209.196.0,102.209.199.255,22,255.255.252.0,1024
102.209.244.0/22,102.209.244.0,102.209.247.255,22,255.255.252.0,1024
102.213.184.0/22,102.213.184.0,102.213.187.255,22,255.255.252.0,1024
102.214.132.0/22,102.214.132.0,102.214.135.255,22,255.255.252.0,1024
102.214.212.0/22,102.214.212.0,102.214.215.255,22,255.255.252.0,1024
102.215.104.0/22,102.215.104.0,102.215.107.255,22,255.255.252.0,1024
105.232.0.0/16,105.232.0.0,105.232.255.255,16,255.255.0.0,65536
154.0.192.0/18,154.0.192.0,154.0.255.255,18,255.255.192.0,16384
160.242.0.0/17,160.242.0.0,160.242.127.255,17,255.255.128.0,32768
164.160.108.0/22,164.160.108.0,164.160.111.255,22,255.255.252.0,1024
196.1.28.0/22,196.1.28.0,196.1.31.255,22,255.255.252.0,1024
196.3.94.0/24,196.3.94.0,196.3.94.255,24,255.255.255.0,256
196.12.10.0/24,196.12.10.0,196.12.10.255,24,255.255.255.0,256
196.20.0.0/19,196.20.0.0,196.20.31.255,19,255.255.224.0,8192
196.44.128.0/19,196.44.128.0,196.44.159.255,19,255.255.224.0,8192
196.46.28.0/24,196.46.28.0,196.46.28.255,24,255.255.255.0,256
196.49.2.0/24,196.49.2.0,196.49.2.255,24,255.255.255.0,256
196.216.32.0/19,196.216.32.0,196.216.63.255,19,255.255.224.0,8192
196.216.164.0/22,196.216.164.0,196.216.167.255,22,255.255.252.0,1024
196.216.207.0/24,196.216.207.0,196.216.207.255,24,255.255.255.0,256
196.223.18.0/24,196.223.18.0,196.223.18.255,24,255.255.255.0,256
196.223.35.0/24,196.223.35.0,196.223.35.255,24,255.255.255.0,256
197.188.0.0/16,197.188.0.0,197.188.255.255,16,255.255.0.0,65536
197.233.0.0/16,197.233.0.0,197.233.255.255,16,255.255.0.0,65536
197.234.64.0/18,197.234.64.0,197.234.127.255,18,255.255.192.0,16384
197.243.128.0/17,197.243.128.0,197.243.255.255,17,255.255.128.0,32768
204.152.14.0/23,204.152.14.0,204.152.15.255,23,255.255.254.0,512
