# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
27.122.0.0/22,27.122.0.0,27.122.3.255,22,255.255.252.0,1024
43.224.192.0/22,43.224.192.0,43.224.195.255,22,255.255.252.0,1024
43.245.212.0/22,43.245.212.0,43.245.215.255,22,255.255.252.0,1024
43.255.236.0/22,43.255.236.0,43.255.239.255,22,255.255.252.0,1024
45.114.232.0/23,45.114.232.0,45.114.233.255,23,255.255.254.0,512
61.5.208.0/20,61.5.208.0,61.5.223.255,20,255.255.240.0,4096
101.101.0.0/18,101.101.0.0,101.101.63.255,18,255.255.192.0,16384
103.2.184.0/22,103.2.184.0,103.2.187.255,22,255.255.252.0,1024
103.17.44.0/22,103.17.44.0,103.17.47.255,22,255.255.252.0,1024
103.23.52.0/22,103.23.52.0,103.23.55.255,22,255.255.252.0,1024
103.24.112.0/22,103.24.112.0,103.24.115.255,22,255.255.252.0,1024
103.29.152.0/22,103.29.152.0,103.29.155.255,22,255.255.252.0,1024
103.43.156.0/22,103.43.156.0,103.43.159.255,22,255.255.252.0,1024
103.105.191.0/24,103.105.191.0,103.105.191.255,24,255.255.255.0,256
103.123.232.0/23,103.123.232.0,103.123.233.255,23,255.255.254.0,512
103.152.32.0/24,103.152.32.0,103.152.32.255,24,255.255.255.0,256
103.173.58.0/23,103.173.58.0,103.173.59.255,23,255.255.254.0,512
113.20.32.0/19,113.20.32.0,113.20.63.255,19,255.255.224.0,8192
113.21.96.0/19,113.21.96.0,113.21.127.255,19,255.255.224.0,8192
114.69.176.0/20,114.69.176.0,114.69.191.255,20,255.255.240.0,4096
114.69.192.0/19,114.69.192.0,114.69.223.255,19,255.255.224.0,8192
115.126.160.0/19,115.126.160.0,115.126.191.255,19,255.255.224.0,8192
118.179.224.0/19,118.179.224.0,118.179.255.255,19,255.255.224.0,8192
163.47.224.0/22,163.47.224.0,163.47.227.255,22,255.255.252.0,1024
163.47.248.0/22,163.47.248.0,163.47.251.255,22,255.255.252.0,1024
175.158.128.0/18,175.158.128.0,175.158.191.255,18,255.255.192.0,16384
180.214.96.0/19,180.214.96.0,180.214.127.255,19,255.255.224.0,8192
202.0.156.0/22,202.0.156.0,202.0.159.255,22,255.255.252.0,1024
202.22.128.0/19,202.22.128.0,202.22.159.255,19,255.255.224.0,8192
202.22.224.0/20,202.22.224.0,202.22.239.255,20,255.255.240.0,4096
202.87.128.0/19,202.87.128.0,202.87.159.255,19,255.255.224.0,8192
202.166.176.0/21,202.166.176.0,202.166.183.255,21,255.255.248.0,2048
202.171.64.0/20,202.171.64.0,202.171.79.255,20,255.255.240.0,4096
203.20.74.0/23,203.20.74.0,203.20.75.255,23,255.255.254.0,512
203.34.36.0/24,203.34.36.0,203.34.36.255,24,255.255.255.0,256
203.80.48.0/21,203.80.48.0,203.80.55.255,21,255.255.248.0,2048
203.104.48.0/20,203.104.48.0,203.104.63.255,20,255.255.240.0,4096
203.147.64.0/20,203.147.64.0,203.147.79.255,20,255.255.240.0,4096
203.147.80.0/21,203.147.80.0,203.147.87.255,21,255.255.248.0,2048
220.156.160.0/20,220.156.160.0,220.156.175.255,20,255.255.240.0,4096
223.29.128.0/19,223.29.128.0,223.29.159.255,19,255.255.224.0,8192
223.29.160.0/20,223.29.160.0,223.29.175.255,20,255.255.240.0,4096
