# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
41.57.120.0/22,41.57.120.0,41.57.123.255,22,255.255.252.0,1024
41.58.0.0/16,41.58.0.0,41.58.255.255,16,255.255.0.0,65536
41.67.128.0/18,41.67.128.0,41.67.191.255,18,255.255.192.0,16384
41.71.128.0/17,41.71.128.0,41.71.255.255,17,255.255.128.0,32768
41.73.0.0/20,41.73.0.0,41.73.15.255,20,255.255.240.0,4096
41.73.128.0/19,41.73.128.0,41.73.159.255,19,255.255.224.0,8192
41.73.224.0/19,41.73.224.0,41.73.255.255,19,255.255.224.0,8192
41.75.80.0/20,41.75.80.0,41.75.95.255,20,255.255.240.0,4096
41.75.192.0/20,41.75.192.0,41.75.207.255,20,255.255.240.0,4096
41.76.64.0/20,41.76.64.0,41.76.79.255,20,255.255.240.0,4096
41.76.80.0/21,41.76.80.0,41.76.87.255,21,255.255.248.0,2048
41.76.152.0/21,41.76.152.0,41.76.159.255,21,255.255.248.0,2048
41.76.192.0/21,41.76.192.0,41.76.199.255,21,255.255.248.0,2048
41.76.248.0/21,41.76.248.0,41.76.255.255,21,255.255.248.0,2048
41.77.40.0/21,41.77.40.0,41.77.47.255,21,255.255.248.0,2048
41.77.168.0/21,41.77.168.0,41.77.175.255,21,255.255.248.0,2048
41.78.8.0/22,41.78.8.0,41.78.11.255,22,255.255.252.0,1024
41.78.80.0/22,41.78.80.0,41.78.83.255,22,255.255.252.0,1024
41.78.88.0/22,41.78.88.0,41.78.91.255,22,255.255.252.0,1024
41.78.100.0/22,41.78.100.0,41.78.103.255,22,255.255.252.0,1024
41.78.156.0/22,41.78.156.0,41.78.159.255,22,255.255.252.0,1024
41.78.172.0/22,41.78.172.0,41.78.175.255,22,255.255.252.0,1024
41.78.208.0/22,41.78.208.0,41.78.211.255,22,255.255.252.0,1024
41.78.224.0/22,41.78.224.0,41.78.227.255,22,255.255.252.0,1024
41.78.252.0/22,41.78.252.0,41.78.255.255,22,255.255.252.0,1024
41.79.4.0/22,41.79.4.0,41.79.7.255,22,255.255.252.0,1024
41.79.64.0/22,41.79.64.0,41.79.67.255,22,255.255.252.0,1024
41.79.116.0/22,41.79.116.0,41.79.119.255,22,255.255.252.0,1024
41.79.152.0/22,41.79.152.0,41.79.155.255,22,255.255.252.0,1024
41.79.204.0/22,41.79.204.0,41.79.207.255,22,255.255.252.0,1024
41.86.128.0/19,41.86.128.0,41.86.159.255,19,255.255.224.0,8192
41.87.64.0/19,41.87.64.0,41.87.95.255,19,255.255.224.0,8192
41.138.160.0/19,41.138.160.0,41.138.191.255,19,255.255.224.0,8192
41.184.0.0/16,41.184.0.0,41.184.255.255,16,255.255.0.0,65536
41.189.0.0/19,41.189.0.0,41.189.31.255,19,255.255.224.0,8192
41.190.0.0/19,41.190.0.0,41.190.31.255,19,255.255.224.0,8192
41.203.64.0/18,41.203.64.0,41.203.127.255,18,255.255.192.0,16384
41.206.0.0/19,41.206.0.0,41.206.31.255,19,255.255.224.0,8192
41.207.248.0/22,41.207.248.0,41.207.251.255,22,255.255.252.0,1024
41.215.244.0/22,41.215.244.0,41.215.247.255,22,255.255.252.0,1024
41.216.160.0/20,41.216.160.0,41.216.175.255,20,255.255.240.0,4096
41.216.216.0/21,41.216.216.0,41.216.223.255,21,255.255.248.0,2048
41.217.0.0/17,41.217.0.0,41.217.127.255,17,255.255.128.0,32768
41.217.204.0/22,41.217.204.0,41.217.207.255,22,255.255.252.0,1024
41.219.128.0/18,41.219.128.0,41.219.191.255,18,255.255.192.0,16384
41.220.64.0/19,41.220.64.0,41.220.95.255,19,255.255.224.0,8192
41.221.160.0/20,41.221.160.0,41.221.175.255,20,255.255.240.0,4096
41.222.40.0/21,41.222.40.0,41.222.47.255,21,255.255.248.0,2048
41.222.64.0/21,41.222.64.0,41.222.71.255,21,255.255.248.0,2048
41.222.76.0/22,41.222.76.0,41.222.79.255,22,255.255.252.0,1024
41.222.144.0/21,41.222.144.0,41.222.151.255,21,255.255.248.0,2048
41.222.208.0/22,41.222.208.0,41.222.211.255,22,255.255.252.0,1024
41.223.44.0/22,41.223.44.0,41.223.47.255,22,255.255.252.0,1024
41.223.64.0/22,41.223.64.0,41.223.67.255,22,255.255.252.0,1024
41.223.128.0/22,41.223.128.0,41.223.131.255,22,255.255.252.0,1024
41.223.136.0/22,41.223.136.0,41.223.139.255,22,255.255.252.0,1024
41.223.144.0/22,41.223.144.0,41.223.147.255,22,255.255.252.0,1024
