# CIDR,network(start) address,end address,prefix,subnet mask
45.5.216.0/22,45.5.216.0,45.5.219.255,22,255.255.252.0
45.170.224.0/22,45.170.224.0,45.170.227.255,22,255.255.252.0
45.182.142.0/24,45.182.142.0,45.182.142.255,24,255.255.255.0
45.182.188.0/24,45.182.188.0,45.182.188.255,24,255.255.255.0
45.238.28.0/22,45.238.28.0,45.238.31.255,22,255.255.252.0
131.255.16.0/24,131.255.16.0,131.255.16.255,24,255.255.255.0
138.97.160.0/22,138.97.160.0,138.97.163.255,22,255.255.252.0
138.117.4.0/22,138.117.4.0,138.117.7.255,22,255.255.252.0
138.185.28.0/22,138.185.28.0,138.185.31.255,22,255.255.252.0
138.185.104.0/22,138.185.104.0,138.185.107.255,22,255.255.252.0
143.137.24.0/22,143.137.24.0,143.137.27.255,22,255.255.252.0
143.202.252.0/22,143.202.252.0,143.202.255.255,22,255.255.252.0
152.231.32.0/20,152.231.32.0,152.231.47.255,20,255.255.240.0
161.0.32.0/19,161.0.32.0,161.0.63.255,19,255.255.224.0
165.98.0.0/16,165.98.0.0,165.98.255.255,16,255.255.0.0
170.80.16.0/22,170.80.16.0,170.80.19.255,22,255.255.252.0
170.84.132.0/22,170.84.132.0,170.84.135.255,22,255.255.252.0
170.246.152.0/22,170.246.152.0,170.246.155.255,22,255.255.252.0
186.1.0.0/18,186.1.0.0,186.1.63.255,18,255.255.192.0
186.76.0.0/15,186.76.0.0,186.77.255.255,15,255.254.0.0
190.106.0.0/19,190.106.0.0,190.106.31.255,19,255.255.224.0
190.106.48.0/20,190.106.48.0,190.106.63.255,20,255.255.240.0
190.107.208.0/22,190.107.208.0,190.107.211.255,22,255.255.252.0
190.124.32.0/21,190.124.32.0,190.124.39.255,21,255.255.248.0
190.143.240.0/20,190.143.240.0,190.143.255.255,20,255.255.240.0
190.181.128.0/18,190.181.128.0,190.181.191.255,18,255.255.192.0
190.184.0.0/17,190.184.0.0,190.184.127.255,17,255.255.128.0
190.212.0.0/16,190.212.0.0,190.212.255.255,16,255.255.0.0
191.98.224.0/21,191.98.224.0,191.98.231.255,21,255.255.248.0
191.98.232.0/22,191.98.232.0,191.98.235.255,22,255.255.252.0
191.98.236.0/23,191.98.236.0,191.98.237.255,23,255.255.254.0
191.98.238.0/24,191.98.238.0,191.98.238.255,24,255.255.255.0
191.98.240.0/20,191.98.240.0,191.98.255.255,20,255.255.240.0
191.102.48.0/21,191.102.48.0,191.102.55.255,21,255.255.248.0
191.103.112.0/20,191.103.112.0,191.103.127.255,20,255.255.240.0
192.107.104.0/24,192.107.104.0,192.107.104.255,24,255.255.255.0
192.136.42.0/23,192.136.42.0,192.136.43.255,23,255.255.254.0
192.136.44.0/22,192.136.44.0,192.136.47.255,22,255.255.252.0
200.1.152.0/24,200.1.152.0,200.1.152.255,24,255.255.255.0
200.6.55.0/24,200.6.55.0,200.6.55.255,24,255.255.255.0
200.9.187.0/24,200.9.187.0,200.9.187.255,24,255.255.255.0
200.9.188.0/22,200.9.188.0,200.9.191.255,22,255.255.252.0
200.9.192.0/24,200.9.192.0,200.9.192.255,24,255.255.255.0
200.10.205.0/24,200.10.205.0,200.10.205.255,24,255.255.255.0
200.11.30.0/24,200.11.30.0,200.11.30.255,24,255.255.255.0
200.62.64.0/18,200.62.64.0,200.62.127.255,18,255.255.192.0
200.85.160.0/20,200.85.160.0,200.85.175.255,20,255.255.240.0
200.106.247.0/24,200.106.247.0,200.106.247.255,24,255.255.255.0
201.131.66.0/24,201.131.66.0,201.131.66.255,24,255.255.255.0
201.131.115.0/24,201.131.115.0,201.131.115.255,24,255.255.255.0
207.248.86.0/24,207.248.86.0,207.248.86.255,24,255.255.255.0
