# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
2.16.0.0/13,2.16.0.0,2.23.255.255,13,255.248.0.0,524288
2.56.56.0/22,2.56.56.0,2.56.59.255,22,255.255.252.0,1024
2.56.192.0/22,2.56.192.0,2.56.195.255,22,255.255.252.0,1024
2.56.200.0/22,2.56.200.0,2.56.203.255,22,255.255.252.0,1024
2.56.216.0/22,2.56.216.0,2.56.219.255,22,255.255.252.0,1024
2.56.224.0/22,2.56.224.0,2.56.227.255,22,255.255.252.0,1024
2.57.12.0/22,2.57.12.0,2.57.15.255,22,255.255.252.0,1024
2.57.56.0/22,2.57.56.0,2.57.59.255,22,255.255.252.0,1024
2.57.168.0/22,2.57.168.0,2.57.171.255,22,255.255.252.0,1024
2.57.239.0/24,2.57.239.0,2.57.239.255,24,255.255.255.0,256
2.58.20.0/22,2.58.20.0,2.58.23.255,22,255.255.252.0,1024
2.58.57.0/24,2.58.57.0,2.58.57.255,24,255.255.255.0,256
2.58.58.0/23,2.58.58.0,2.58.59.255,23,255.255.254.0,512
2.58.148.0/22,2.58.148.0,2.58.151.255,22,255.255.252.0,1024
2.58.164.0/22,2.58.164.0,2.58.167.255,22,255.255.252.0,1024
2.58.236.0/22,2.58.236.0,2.58.239.255,22,255.255.252.0,1024
2.59.36.0/22,2.59.36.0,2.59.39.255,22,255.255.252.0,1024
2.59.88.0/22,2.59.88.0,2.59.91.255,22,255.255.252.0,1024
2.59.136.0/22,2.59.136.0,2.59.139.255,22,255.255.252.0,1024
2.59.168.0/22,2.59.168.0,2.59.171.255,22,255.255.252.0,1024
5.2.64.0/20,5.2.64.0,5.2.79.255,20,255.255.240.0,4096
5.8.248.0/24,5.8.248.0,5.8.248.255,24,255.255.255.0,256
5.8.250.0/24,5.8.250.0,5.8.250.255,24,255.255.255.0,256
5.10.64.0/18,5.10.64.0,5.10.127.255,18,255.255.192.0,16384
5.10.192.0/21,5.10.192.0,5.10.199.255,21,255.255.248.0,2048
5.11.80.0/21,5.11.80.0,5.11.87.255,21,255.255.248.0,2048
5.22.204.0/22,5.22.204.0,5.22.207.255,22,255.255.252.0,1024
5.22.248.0/21,5.22.248.0,5.22.255.255,21,255.255.248.0,2048
5.34.232.0/21,5.34.232.0,5.34.239.255,21,255.255.248.0,2048
5.35.176.0/21,5.35.176.0,5.35.183.255,21,255.255.248.0,2048
5.39.168.0/21,5.39.168.0,5.39.175.255,21,255.255.248.0,2048
5.39.184.0/21,5.39.184.0,5.39.191.255,21,255.255.248.0,2048
5.39.216.0/21,5.39.216.0,5.39.223.255,21,255.255.248.0,2048
5.42.194.0/24,5.42.194.0,5.42.194.255,24,255.255.255.0,256
5.44.72.0/21,5.44.72.0,5.44.79.255,21,255.255.248.0,2048
5.44.250.0/23,5.44.250.0,5.44.251.255,23,255.255.254.0,512
5.45.32.0/22,5.45.32.0,5.45.35.255,22,255.255.252.0,1024
5.57.16.0/21,5.57.16.0,5.57.23.255,21,255.255.248.0,2048
5.57.213.0/24,5.57.213.0,5.57.213.255,24,255.255.255.0,256
5.57.224.0/21,5.57.224.0,5.57.231.255,21,255.255.248.0,2048
5.57.248.0/21,5.57.248.0,5.57.255.255,21,255.255.248.0,2048
5.61.248.0/21,5.61.248.0,5.61.255.255,21,255.255.248.0,2048
5.79.64.0/18,5.79.64.0,5.79.127.255,18,255.255.192.0,16384
5.83.0.0/21,5.83.0.0,5.83.7.255,21,255.255.248.0,2048
5.100.224.0/21,5.100.224.0,5.100.231.255,21,255.255.248.0,2048
5.102.136.0/21,5.102.136.0,5.102.143.255,21,255.255.248.0,2048
5.104.112.0/20,5.104.112.0,5.104.127.255,20,255.255.240.0,4096
5.104.136.0/21,5.104.136.0,5.104.143.255,21,255.255.248.0,2048
5.104.224.0/21,5.104.224.0,5.104.231.255,21,255.255.248.0,2048
5.132.0.0/17,5.132.0.0,5.132.127.255,17,255.255.128.0,32768
5.133.84.0/22,5.133.84.0,5.133.87.255,22,255.255.252.0,1024
5.153.0.0/18,5.153.0.0,5.153.63.255,18,255.255.192.0,16384
5.154.183.0/24,5.154.183.0,5.154.183.255,24,255.255.255.0,256
5.157.80.0/20,5.157.80.0,5.157.95.255,20,255.255.240.0,4096
5.159.32.0/21,5.159.32.0,5.159.39.255,21,255.255.248.0,2048
5.172.40.0/21,5.172.40.0,5.172.47.255,21,255.255.248.0,2048
5.172.176.0/24,5.172.176.0,5.172.176.255,24,255.255.255.0,256
5.172.180.0/24,5.172.180.0,5.172.180.255,24,255.255.255.0,256
5.172.216.0/21,5.172.216.0,5.172.223.255,21,255.255.248.0,2048
5.175.80.0/21,5.175.80.0,5.175.87.255,21,255.255.248.0,2048
5.178.16.0/21,5.178.16.0,5.178.23.255,21,255.255.248.0,2048
5.178.32.0/21,5.178.32.0,5.178.39.255,21,255.255.248.0,2048
5.178.64.0/21,5.178.64.0,5.178.71.255,21,255.255.248.0,2048
5.178.112.0/21,5.178.112.0,5.178.119.255,21,255.255.248.0,2048
5.180.84.0/22,5.180.84.0,5.180.87.255,22,255.255.252.0,1024
5.180.124.0/22,5.180.124.0,5.180.127.255,22,255.255.252.0,1024
5.180.140.0/22,5.180.140.0,5.180.143.255,22,255.255.252.0,1024
5.180.160.0/22,5.180.160.0,5.180.163.255,22,255.255.252.0,1024
5.180.172.0/23,5.180.172.0,5.180.173.255,23,255.255.254.0,512
5.180.177.0/24,5.180.177.0,5.180.177.255,24,255.255.255.0,256
5.180.178.0/23,5.180.178.0,5.180.179.255,23,255.255.254.0,512
5.180.216.0/22,5.180.216.0,5.180.219.255,22,255.255.252.0,1024
5.180.224.0/22,5.180.224.0,5.180.227.255,22,255.255.252.0,1024
5.181.54.0/24,5.181.54.0,5.181.54.255,24,255.255.255.0,256
5.181.112.0/22,5.181.112.0,5.181.115.255,22,255.255.252.0,1024
5.182.188.0/22,5.182.188.0,5.182.191.255,22,255.255.252.0,1024
5.182.208.0/22,5.182.208.0,5.182.211.255,22,255.255.252.0,1024
5.183.132.0/22,5.183.132.0,5.183.135.255,22,255.255.252.0,1024
5.183.140.0/22,5.183.140.0,5.183.143.255,22,255.255.252.0,1024
5.183.224.0/22,5.183.224.0,5.183.227.255,22,255.255.252.0,1024
5.188.12.0/22,5.188.12.0,5.188.15.255,22,255.255.252.0,1024
5.199.144.0/20,5.199.144.0,5.199.159.255,20,255.255.240.0,4096
5.199.188.0/22,5.199.188.0,5.199.191.255,22,255.255.252.0,1024
5.200.0.0/19,5.200.0.0,5.200.31.255,19,255.255.224.0,8192
5.206.208.0/20,5.206.208.0,5.206.223.255,20,255.255.240.0,4096
5.226.40.0/21,5.226.40.0,5.226.47.255,21,255.255.248.0,2048
5.253.32.0/22,5.253.32.0,5.253.35.255,22,255.255.252.0,1024
5.253.88.0/22,5.253.88.0,5.253.91.255,22,255.255.252.0,1024
5.253.148.0/22,5.253.148.0,5.253.151.255,22,255.255.252.0,1024
5.253.226.0/24,5.253.226.0,5.253.226.255,24,255.255.255.0,256
5.255.64.0/18,5.255.64.0,5.255.127.255,18,255.255.192.0,16384
5.255.152.0/21,5.255.152.0,5.255.159.255,21,255.255.248.0,2048
14.102.16.0/22,14.102.16.0,14.102.19.255,22,255.255.252.0,1024
14.102.52.0/22,14.102.52.0,14.102.55.255,22,255.255.252.0,1024
14.102.60.0/22,14.102.60.0,14.102.63.255,22,255.255.252.0,1024
14.102.84.0/22,14.102.84.0,14.102.87.255,22,255.255.252.0,1024
23.83.64.0/21,23.83.64.0,23.83.71.255,21,255.255.248.0,2048
23.83.112.0/20,23.83.112.0,23.83.127.255,20,255.255.240.0,4096
23.106.104.0/21,23.106.104.0,23.106.111.255,21,255.255.248.0,2048
23.106.112.0/21,23.106.112.0,23.106.119.255,21,255.255.248.0,2048
23.108.208.0/20,23.108.208.0,23.108.223.255,20,255.255.240.0,4096
23.109.0.0/16,23.109.0.0,23.109.255.255,16,255.255.0.0,65536
23.111.0.0/21,23.111.0.0,23.111.7.255,21,255.255.248.0,2048
23.111.16.0/20,23.111.16.0,23.111.31.255,20,255.255.240.0,4096
23.111.80.0/20,23.111.80.0,23.111.95.255,20,255.255.240.0,4096
23.111.224.0/20,23.111.224.0,23.111.239.255,20,255.255.240.0,4096
23.111.240.0/21,23.111.240.0,23.111.247.255,21,255.255.248.0,2048
23.249.162.0/24,23.249.162.0,23.249.162.255,24,255.255.255.0,256
23.249.232.0/21,23.249.232.0,23.249.239.255,21,255.255.248.0,2048
24.132.0.0/16,24.132.0.0,24.132.255.255,16,255.255.0.0,65536
31.3.8.0/21,31.3.8.0,31.3.15.255,21,255.255.248.0,2048
31.3.96.0/20,31.3.96.0,31.3.111.255,20,255.255.240.0,4096
31.3.152.0/21,31.3.152.0,31.3.159.255,21,255.255.248.0,2048
31.7.0.0/21,31.7.0.0,31.7.7.255,21,255.255.248.0,2048
31.12.88.0/22,31.12.88.0,31.12.91.255,22,255.255.252.0,1024
31.14.11.0/24,31.14.11.0,31.14.11.255,24,255.255.255.0,256
31.14.32.0/24,31.14.32.0,31.14.32.255,24,255.255.255.0,256
31.14.44.0/23,31.14.44.0,31.14.45.255,23,255.255.254.0,512
31.14.48.0/24,31.14.48.0,31.14.48.255,24,255.255.255.0,256
31.14.96.0/22,31.14.96.0,31.14.99.255,22,255.255.252.0,1024
31.14.180.0/23,31.14.180.0,31.14.181.255,23,255.255.254.0,512
31.14.182.0/24,31.14.182.0,31.14.182.255,24,255.255.255.0,256
31.14.234.0/23,31.14.234.0,31.14.235.255,23,255.255.254.0,512
31.20.0.0/15,31.20.0.0,31.21.255.255,15,255.254.0.0,131072
31.22.80.0/21,31.22.80.0,31.22.87.255,21,255.255.248.0,2048
31.24.48.0/21,31.24.48.0,31.24.55.255,21,255.255.248.0,2048
31.24.86.0/24,31.24.86.0,31.24.86.255,24,255.255.255.0,256
31.24.160.0/21,31.24.160.0,31.24.167.255,21,255.255.248.0,2048
31.24.250.0/24,31.24.250.0,31.24.250.255,24,255.255.255.0,256
31.25.96.0/21,31.25.96.0,31.25.103.255,21,255.255.248.0,2048
31.31.32.0/21,31.31.32.0,31.31.39.255,21,255.255.248.0,2048
31.41.255.0/24,31.41.255.0,31.41.255.255,24,255.255.255.0,256
31.43.160.0/23,31.43.160.0,31.43.161.255,23,255.255.254.0,512
31.44.0.0/21,31.44.0.0,31.44.7.255,21,255.255.248.0,2048
31.132.200.0/21,31.132.200.0,31.132.207.255,21,255.255.248.0,2048
31.134.200.0/21,31.134.200.0,31.134.207.255,21,255.255.248.0,2048
31.136.0.0/14,31.136.0.0,31.139.255.255,14,255.252.0.0,262144
31.149.0.0/16,31.149.0.0,31.149.255.255,16,255.255.0.0,65536
31.151.0.0/16,31.151.0.0,31.151.255.255,16,255.255.0.0,65536
31.160.0.0/15,31.160.0.0,31.161.255.255,15,255.254.0.0,131072
31.169.56.0/21,31.169.56.0,31.169.63.255,21,255.255.248.0,2048
31.171.128.0/21,31.171.128.0,31.171.135.255,21,255.255.248.0,2048
31.171.200.0/21,31.171.200.0,31.171.207.255,21,255.255.248.0,2048
31.177.32.0/21,31.177.32.0,31.177.39.255,21,255.255.248.0,2048
