# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
27.34.0.0/17,27.34.0.0,27.34.127.255,17,255.255.128.0,32768
27.111.16.0/20,27.111.16.0,27.111.31.255,20,255.255.240.0,4096
36.0.4.0/22,36.0.4.0,36.0.7.255,22,255.255.252.0,1024
36.50.148.0/23,36.50.148.0,36.50.149.255,23,255.255.254.0,512
36.252.0.0/15,36.252.0.0,36.253.255.255,15,255.254.0.0,131072
43.228.192.0/22,43.228.192.0,43.228.195.255,22,255.255.252.0,1024
43.231.208.0/22,43.231.208.0,43.231.211.255,22,255.255.252.0,1024
43.243.96.0/22,43.243.96.0,43.243.99.255,22,255.255.252.0,1024
43.245.84.0/22,43.245.84.0,43.245.87.255,22,255.255.252.0,1024
43.245.92.0/22,43.245.92.0,43.245.95.255,22,255.255.252.0,1024
43.245.236.0/22,43.245.236.0,43.245.239.255,22,255.255.252.0,1024
43.250.48.0/22,43.250.48.0,43.250.51.255,22,255.255.252.0,1024
45.64.114.0/23,45.64.114.0,45.64.115.255,23,255.255.254.0,512
45.64.160.0/22,45.64.160.0,45.64.163.255,22,255.255.252.0,1024
45.115.216.0/22,45.115.216.0,45.115.219.255,22,255.255.252.0,1024
45.116.20.0/22,45.116.20.0,45.116.23.255,22,255.255.252.0,1024
45.117.152.0/22,45.117.152.0,45.117.155.255,22,255.255.252.0,1024
45.121.32.0/22,45.121.32.0,45.121.35.255,22,255.255.252.0,1024
45.123.220.0/22,45.123.220.0,45.123.223.255,22,255.255.252.0,1024
49.126.0.0/16,49.126.0.0,49.126.255.255,16,255.255.0.0,65536
49.236.212.0/22,49.236.212.0,49.236.215.255,22,255.255.252.0,1024
49.244.0.0/16,49.244.0.0,49.244.255.255,16,255.255.0.0,65536
72.9.128.0/20,72.9.128.0,72.9.143.255,20,255.255.240.0,4096
101.251.4.0/22,101.251.4.0,101.251.7.255,22,255.255.252.0,1024
103.1.92.0/22,103.1.92.0,103.1.95.255,22,255.255.252.0,1024
103.5.150.0/24,103.5.150.0,103.5.150.255,24,255.255.255.0,256
103.5.228.0/23,103.5.228.0,103.5.229.255,23,255.255.254.0,512
103.10.28.0/22,103.10.28.0,103.10.31.255,22,255.255.252.0,1024
