# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
5.21.0.0/16,5.21.0.0,5.21.255.255,16,255.255.0.0,65536
5.32.192.0/18,5.32.192.0,5.32.255.255,18,255.255.192.0,16384
5.36.0.0/15,5.36.0.0,5.37.255.255,15,255.254.0.0,131072
5.102.176.0/21,5.102.176.0,5.102.183.255,21,255.255.248.0,2048
5.162.0.0/16,5.162.0.0,5.162.255.255,16,255.255.0.0,65536
37.28.0.0/17,37.28.0.0,37.28.127.255,17,255.255.128.0,32768
37.40.0.0/15,37.40.0.0,37.41.255.255,15,255.254.0.0,131072
37.200.128.0/17,37.200.128.0,37.200.255.255,17,255.255.128.0,32768
45.95.244.0/22,45.95.244.0,45.95.247.255,22,255.255.252.0,1024
45.131.140.0/22,45.131.140.0,45.131.143.255,22,255.255.252.0,1024
45.135.88.0/22,45.135.88.0,45.135.91.255,22,255.255.252.0,1024
45.140.104.0/22,45.140.104.0,45.140.107.255,22,255.255.252.0,1024
45.148.200.0/22,45.148.200.0,45.148.203.255,22,255.255.252.0,1024
46.40.192.0/18,46.40.192.0,46.40.255.255,18,255.255.192.0,16384
46.255.56.0/21,46.255.56.0,46.255.63.255,21,255.255.248.0,2048
62.61.160.0/19,62.61.160.0,62.61.191.255,19,255.255.224.0,8192
62.231.192.0/18,62.231.192.0,62.231.255.255,18,255.255.192.0,16384
77.83.60.0/22,77.83.60.0,77.83.63.255,22,255.255.252.0,1024
78.111.32.0/20,78.111.32.0,78.111.47.255,20,255.255.240.0,4096
82.178.0.0/19,82.178.0.0,82.178.31.255,19,255.255.224.0,8192
82.178.34.0/23,82.178.34.0,82.178.35.255,23,255.255.254.0,512
82.178.36.0/22,82.178.36.0,82.178.39.255,22,255.255.252.0,1024
82.178.40.0/21,82.178.40.0,82.178.47.255,21,255.255.248.0,2048
82.178.48.0/20,82.178.48.0,82.178.63.255,20,255.255.240.0,4096
82.178.64.0/18,82.178.64.0,82.178.127.255,18,255.255.192.0,16384
82.178.128.0/20,82.178.128.0,82.178.143.255,20,255.255.240.0,4096
82.178.144.0/21,82.178.144.0,82.178.151.255,21,255.255.248.0,2048
82.178.152.0/22,82.178.152.0,82.178.155.255,22,255.255.252.0,1024
82.178.156.0/23,82.178.156.0,82.178.157.255,23,255.255.254.0,512
82.178.160.0/19,82.178.160.0,82.178.191.255,19,255.255.224.0,8192
82.178.192.0/18,82.178.192.0,82.178.255.255,18,255.255.192.0,16384
84.242.32.0/20,84.242.32.0,84.242.47.255,20,255.255.240.0,4096
85.154.0.0/16,85.154.0.0,85.154.255.255,16,255.255.0.0,65536
87.121.168.0/21,87.121.168.0,87.121.175.255,21,255.255.248.0,2048
91.132.64.0/22,91.132.64.0,91.132.67.255,22,255.255.252.0,1024
94.176.16.0/20,94.176.16.0,94.176.31.255,20,255.255.240.0,4096
94.185.0.0/18,94.185.0.0,94.185.63.255,18,255.255.192.0,16384
96.9.128.0/19,96.9.128.0,96.9.159.255,19,255.255.224.0,8192
134.0.128.0/18,134.0.128.0,134.0.191.255,18,255.255.192.0,16384
134.0.192.0/20,134.0.192.0,134.0.207.255,20,255.255.240.0,4096
134.0.208.0/21,134.0.208.0,134.0.215.255,21,255.255.248.0,2048
134.0.224.0/19,134.0.224.0,134.0.255.255,19,255.255.224.0,8192
141.105.168.0/21,141.105.168.0,141.105.175.255,21,255.255.248.0,2048
145.255.64.0/18,145.255.64.0,145.255.127.255,18,255.255.192.0,16384
148.151.0.0/16,148.151.0.0,148.151.255.255,16,255.255.0.0,65536
178.20.16.0/21,178.20.16.0,178.20.23.255,21,255.255.248.0,2048
185.1.191.0/24,185.1.191.0,185.1.191.255,24,255.255.255.0,256
185.6.220.0/22,185.6.220.0,185.6.223.255,22,255.255.252.0,1024
185.27.88.0/22,185.27.88.0,185.27.91.255,22,255.255.252.0,1024
185.29.140.0/22,185.29.140.0,185.29.143.255,22,255.255.252.0,1024
185.53.240.0/22,185.53.240.0,185.53.243.255,22,255.255.252.0,1024
185.64.24.0/22,185.64.24.0,185.64.27.255,22,255.255.252.0,1024
185.69.0.0/24,185.69.0.0,185.69.0.255,24,255.255.255.0,256
185.112.104.0/22,185.112.104.0,185.112.107.255,22,255.255.252.0,1024
185.123.148.0/22,185.123.148.0,185.123.151.255,22,255.255.252.0,1024
185.143.64.0/22,185.143.64.0,185.143.67.255,22,255.255.252.0,1024
185.186.204.0/22,185.186.204.0,185.186.207.255,22,255.255.252.0,1024
185.226.124.0/22,185.226.124.0,185.226.127.255,22,255.255.252.0,1024
185.233.168.0/22,185.233.168.0,185.233.171.255,22,255.255.252.0,1024
185.255.204.0/22,185.255.204.0,185.255.207.255,22,255.255.252.0,1024
188.65.24.0/21,188.65.24.0,188.65.31.255,21,255.255.248.0,2048
188.66.128.0/17,188.66.128.0,188.66.255.255,17,255.255.128.0,32768
188.135.0.0/17,188.135.0.0,188.135.127.255,17,255.255.128.0,32768
188.140.128.0/17,188.140.128.0,188.140.255.255,17,255.255.128.0,32768
193.3.37.0/24,193.3.37.0,193.3.37.255,24,255.255.255.0,256
193.203.254.0/24,193.203.254.0,193.203.254.255,24,255.255.255.0,256
194.26.102.0/24,194.26.102.0,194.26.102.255,24,255.255.255.0,256
195.245.85.0/24,195.245.85.0,195.245.85.255,24,255.255.255.0,256
199.48.224.0/24,199.48.224.0,199.48.224.255,24,255.255.255.0,256
206.167.33.0/24,206.167.33.0,206.167.33.255,24,255.255.255.0,256
212.72.0.0/19,212.72.0.0,212.72.31.255,19,255.255.224.0,8192
212.146.160.0/19,212.146.160.0,212.146.191.255,19,255.255.224.0,8192
213.202.8.0/21,213.202.8.0,213.202.15.255,21,255.255.248.0,2048
213.202.16.0/20,213.202.16.0,213.202.31.255,20,255.255.240.0,4096
