# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
5.252.152.0/22,5.252.152.0,5.252.155.255,22,255.255.252.0,1024
23.137.100.0/24,23.137.100.0,23.137.100.255,24,255.255.255.0,256
31.7.56.0/21,31.7.56.0,31.7.63.255,21,255.255.248.0,2048
45.65.254.0/23,45.65.254.0,45.65.255.255,23,255.255.254.0,512
45.180.20.0/23,45.180.20.0,45.180.21.255,23,255.255.254.0,512
45.181.68.0/22,45.181.68.0,45.181.71.255,22,255.255.252.0,1024
45.182.189.0/24,45.182.189.0,45.182.189.255,24,255.255.255.0,256
45.183.41.0/24,45.183.41.0,45.183.41.255,24,255.255.255.0,256
45.185.128.0/22,45.185.128.0,45.185.131.255,22,255.255.252.0,1024
45.188.248.0/22,45.188.248.0,45.188.251.255,22,255.255.252.0,1024
45.225.70.0/23,45.225.70.0,45.225.71.255,23,255.255.254.0,512
45.225.74.0/24,45.225.74.0,45.225.74.255,24,255.255.255.0,256
45.225.135.0/24,45.225.135.0,45.225.135.255,24,255.255.255.0,256
45.227.252.0/22,45.227.252.0,45.227.255.255,22,255.255.252.0,1024
45.229.56.0/22,45.229.56.0,45.229.59.255,22,255.255.252.0,1024
45.229.196.0/22,45.229.196.0,45.229.199.255,22,255.255.252.0,1024
45.235.227.0/24,45.235.227.0,45.235.227.255,24,255.255.255.0,256
45.237.184.0/22,45.237.184.0,45.237.187.255,22,255.255.252.0,1024
46.19.136.0/21,46.19.136.0,46.19.143.255,21,255.255.248.0,2048
77.73.184.0/21,77.73.184.0,77.73.191.255,21,255.255.248.0,2048
81.17.16.0/20,81.17.16.0,81.17.31.255,20,255.255.240.0,4096
92.62.208.0/20,92.62.208.0,92.62.223.255,20,255.255.240.0,4096
92.249.36.0/22,92.249.36.0,92.249.39.255,22,255.255.252.0,1024
103.86.96.0/22,103.86.96.0,103.86.99.255,22,255.255.252.0,1024
103.173.150.0/23,103.173.150.0,103.173.151.255,23,255.255.254.0,512
116.204.192.0/22,116.204.192.0,116.204.195.255,22,255.255.252.0,1024
131.72.224.0/22,131.72.224.0,131.72.227.255,22,255.255.252.0,1024
131.100.0.0/22,131.100.0.0,131.100.3.255,22,255.255.252.0,1024
131.108.4.0/22,131.108.4.0,131.108.7.255,22,255.255.252.0,1024
131.108.20.0/22,131.108.20.0,131.108.23.255,22,255.255.252.0,1024
131.221.24.0/22,131.221.24.0,131.221.27.255,22,255.255.252.0,1024
138.99.136.0/22,138.99.136.0,138.99.139.255,22,255.255.252.0,1024
138.99.144.0/22,138.99.144.0,138.99.147.255,22,255.255.252.0,1024
138.118.124.0/22,138.118.124.0,138.118.127.255,22,255.255.252.0,1024
138.186.12.0/22,138.186.12.0,138.186.15.255,22,255.255.252.0,1024
138.186.88.0/22,138.186.88.0,138.186.91.255,22,255.255.252.0,1024
138.204.108.0/22,138.204.108.0,138.204.111.255,22,255.255.252.0,1024
141.98.80.0/22,141.98.80.0,141.98.83.255,22,255.255.252.0,1024
141.255.160.0/21,141.255.160.0,141.255.167.255,21,255.255.248.0,2048
143.202.152.0/22,143.202.152.0,143.202.155.255,22,255.255.252.0,1024
143.255.156.0/22,143.255.156.0,143.255.159.255,22,255.255.252.0,1024
160.20.246.0/24,160.20.246.0,160.20.246.255,24,255.255.255.0,256
164.163.8.0/22,164.163.8.0,164.163.11.255,22,255.255.252.0,1024
164.163.244.0/22,164.163.244.0,164.163.247.255,22,255.255.252.0,1024
167.250.112.0/22,167.250.112.0,167.250.115.255,22,255.255.252.0,1024
168.77.0.0/16,168.77.0.0,168.77.255.255,16,255.255.0.0,65536
168.121.128.0/22,168.121.128.0,168.121.131.255,22,255.255.252.0,1024
168.205.8.0/22,168.205.8.0,168.205.11.255,22,255.255.252.0,1024
170.79.108.0/22,170.79.108.0,170.79.111.255,22,255.255.252.0,1024
170.82.247.0/24,170.82.247.0,170.82.247.255,24,255.255.255.0,256
170.231.236.0/22,170.231.236.0,170.231.239.255,22,255.255.252.0,1024
170.246.220.0/22,170.246.220.0,170.246.223.255,22,255.255.252.0,1024
170.247.152.0/22,170.247.152.0,170.247.155.255,22,255.255.252.0,1024
170.254.48.0/22,170.254.48.0,170.254.51.255,22,255.255.252.0,1024
179.0.194.0/23,179.0.194.0,179.0.195.255,23,255.255.254.0,512
179.0.200.0/23,179.0.200.0,179.0.201.255,23,255.255.254.0,512
179.43.128.0/18,179.43.128.0,179.43.191.255,18,255.255.192.0,16384
179.63.192.0/21,179.63.192.0,179.63.199.255,21,255.255.248.0,2048
181.38.0.0/16,181.38.0.0,181.38.255.255,16,255.255.0.0,65536
181.174.164.0/22,181.174.164.0,181.174.167.255,22,255.255.252.0,1024
181.178.0.0/15,181.178.0.0,181.179.255.255,15,255.254.0.0,131072
181.197.0.0/17,181.197.0.0,181.197.127.255,17,255.255.128.0,32768
181.197.128.0/18,181.197.128.0,181.197.191.255,18,255.255.192.0,16384
185.12.44.0/22,185.12.44.0,185.12.47.255,22,255.255.252.0,1024
185.72.148.0/22,185.72.148.0,185.72.151.255,22,255.255.252.0,1024
185.135.45.0/24,185.135.45.0,185.135.45.255,24,255.255.255.0,256
185.143.220.0/22,185.143.220.0,185.143.223.255,22,255.255.252.0,1024
