# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
45.5.56.0/22,45.5.56.0,45.5.59.255,22,255.255.252.0,1024
45.5.68.0/22,45.5.68.0,45.5.71.255,22,255.255.252.0,1024
45.65.248.0/22,45.65.248.0,45.65.251.255,22,255.255.252.0,1024
45.68.23.0/24,45.68.23.0,45.68.23.255,24,255.255.255.0,256
45.68.56.0/22,45.68.56.0,45.68.59.255,22,255.255.252.0,1024
45.71.32.0/22,45.71.32.0,45.71.35.255,22,255.255.252.0,1024
45.167.228.0/22,45.167.228.0,45.167.231.255,22,255.255.252.0,1024
45.169.36.0/22,45.169.36.0,45.169.39.255,22,255.255.252.0,1024
45.169.60.0/22,45.169.60.0,45.169.63.255,22,255.255.252.0,1024
45.169.92.0/22,45.169.92.0,45.169.95.255,22,255.255.252.0,1024
45.169.100.0/22,45.169.100.0,45.169.103.255,22,255.255.252.0,1024
45.170.48.0/22,45.170.48.0,45.170.51.255,22,255.255.252.0,1024
45.171.164.0/22,45.171.164.0,45.171.167.255,22,255.255.252.0,1024
45.172.8.0/22,45.172.8.0,45.172.11.255,22,255.255.252.0,1024
45.173.72.0/22,45.173.72.0,45.173.75.255,22,255.255.252.0,1024
45.173.200.0/22,45.173.200.0,45.173.203.255,22,255.255.252.0,1024
45.177.20.0/22,45.177.20.0,45.177.23.255,22,255.255.252.0,1024
45.177.196.0/23,45.177.196.0,45.177.197.255,23,255.255.254.0,512
45.178.196.0/22,45.178.196.0,45.178.199.255,22,255.255.252.0,1024
45.182.36.0/22,45.182.36.0,45.182.39.255,22,255.255.252.0,1024
45.183.44.0/22,45.183.44.0,45.183.47.255,22,255.255.252.0,1024
45.183.106.0/23,45.183.106.0,45.183.107.255,23,255.255.254.0,512
45.183.108.0/22,45.183.108.0,45.183.111.255,22,255.255.252.0,1024
45.185.186.0/23,45.185.186.0,45.185.187.255,23,255.255.254.0,512
45.186.252.0/22,45.186.252.0,45.186.255.255,22,255.255.252.0,1024
45.189.108.0/22,45.189.108.0,45.189.111.255,22,255.255.252.0,1024
45.189.116.0/23,45.189.116.0,45.189.117.255,23,255.255.254.0,512
45.189.118.0/24,45.189.118.0,45.189.118.255,24,255.255.255.0,256
45.189.188.0/22,45.189.188.0,45.189.191.255,22,255.255.252.0,1024
45.190.170.0/24,45.190.170.0,45.190.170.255,24,255.255.255.0,256
45.191.96.0/22,45.191.96.0,45.191.99.255,22,255.255.252.0,1024
45.191.196.0/22,45.191.196.0,45.191.199.255,22,255.255.252.0,1024
45.224.144.0/22,45.224.144.0,45.224.147.255,22,255.255.252.0,1024
45.226.68.0/22,45.226.68.0,45.226.71.255,22,255.255.252.0,1024
45.227.16.0/22,45.227.16.0,45.227.19.255,22,255.255.252.0,1024
45.230.196.0/22,45.230.196.0,45.230.199.255,22,255.255.252.0,1024
45.230.248.0/22,45.230.248.0,45.230.251.255,22,255.255.252.0,1024
45.231.32.0/22,45.231.32.0,45.231.35.255,22,255.255.252.0,1024
45.231.72.0/22,45.231.72.0,45.231.75.255,22,255.255.252.0,1024
45.231.80.0/22,45.231.80.0,45.231.83.255,22,255.255.252.0,1024
45.232.104.0/22,45.232.104.0,45.232.107.255,22,255.255.252.0,1024
45.232.148.0/22,45.232.148.0,45.232.151.255,22,255.255.252.0,1024
45.232.192.0/22,45.232.192.0,45.232.195.255,22,255.255.252.0,1024
