# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
43.249.176.0/22,43.249.176.0,43.249.179.255,22,255.255.252.0,1024
50.21.80.0/20,50.21.80.0,50.21.95.255,20,255.255.240.0,4096
64.140.144.0/20,64.140.144.0,64.140.159.255,20,255.255.240.0,4096
103.4.72.0/22,103.4.72.0,103.4.75.255,22,255.255.252.0,1024
103.46.216.0/22,103.46.216.0,103.46.219.255,22,255.255.252.0,1024
103.129.120.0/22,103.129.120.0,103.129.123.255,22,255.255.252.0,1024
103.166.70.0/23,103.166.70.0,103.166.71.255,23,255.255.254.0,512
103.254.224.0/22,103.254.224.0,103.254.227.255,22,255.255.252.0,1024
103.254.232.0/22,103.254.232.0,103.254.235.255,22,255.255.252.0,1024
113.197.68.0/22,113.197.68.0,113.197.71.255,22,255.255.252.0,1024
114.141.112.0/21,114.141.112.0,114.141.119.255,21,255.255.248.0,2048
123.50.64.0/18,123.50.64.0,123.50.127.255,18,255.255.192.0,16384
148.66.64.0/18,148.66.64.0,148.66.127.255,18,255.255.192.0,16384
192.171.104.0/21,192.171.104.0,192.171.111.255,21,255.255.248.0,2048
202.3.224.0/19,202.3.224.0,202.3.255.255,19,255.255.224.0,8192
202.90.64.0/19,202.90.64.0,202.90.95.255,19,255.255.224.0,8192
203.185.160.0/20,203.185.160.0,203.185.175.255,20,255.255.240.0,4096
203.185.176.0/21,203.185.176.0,203.185.183.255,21,255.255.248.0,2048
218.100.77.0/24,218.100.77.0,218.100.77.255,24,255.255.255.0,256
