# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
14.192.72.0/22,14.192.72.0,14.192.75.255,22,255.255.252.0,1024
27.122.16.0/20,27.122.16.0,27.122.31.255,20,255.255.240.0,4096
43.245.56.0/22,43.245.56.0,43.245.59.255,22,255.255.252.0,1024
103.3.168.0/22,103.3.168.0,103.3.171.255,22,255.255.252.0,1024
103.9.226.0/24,103.9.226.0,103.9.226.255,24,255.255.255.0,256
103.14.88.0/22,103.14.88.0,103.14.91.255,22,255.255.252.0,1024
103.15.112.0/22,103.15.112.0,103.15.115.255,22,255.255.252.0,1024
103.16.156.0/22,103.16.156.0,103.16.159.255,22,255.255.252.0,1024
103.20.76.0/22,103.20.76.0,103.20.79.255,22,255.255.252.0,1024
103.25.140.0/22,103.25.140.0,103.25.143.255,22,255.255.252.0,1024
103.43.144.0/22,103.43.144.0,103.43.147.255,22,255.255.252.0,1024
103.49.207.0/24,103.49.207.0,103.49.207.255,24,255.255.255.0,256
103.53.176.0/22,103.53.176.0,103.53.179.255,22,255.255.252.0,1024
103.77.24.0/23,103.77.24.0,103.77.25.255,23,255.255.254.0,512
103.82.247.0/24,103.82.247.0,103.82.247.255,24,255.255.255.0,256
103.83.32.0/23,103.83.32.0,103.83.33.255,23,255.255.254.0,512
103.83.197.0/24,103.83.197.0,103.83.197.255,24,255.255.255.0,256
103.88.79.0/24,103.88.79.0,103.88.79.255,24,255.255.255.0,256
103.91.114.0/23,103.91.114.0,103.91.115.255,23,255.255.254.0,512
103.96.134.0/23,103.96.134.0,103.96.135.255,23,255.255.254.0,512
103.98.52.0/24,103.98.52.0,103.98.52.255,24,255.255.255.0,256
103.99.174.0/23,103.99.174.0,103.99.175.255,23,255.255.254.0,512
103.103.182.0/23,103.103.182.0,103.103.183.255,23,255.255.254.0,512
103.106.4.0/23,103.106.4.0,103.106.5.255,23,255.255.254.0,512
103.107.152.0/22,103.107.152.0,103.107.155.255,22,255.255.252.0,1024
103.110.30.0/23,103.110.30.0,103.110.31.255,23,255.255.254.0,512
103.110.130.0/24,103.110.130.0,103.110.130.255,24,255.255.255.0,256
103.112.101.0/24,103.112.101.0,103.112.101.255,24,255.255.255.0,256
103.122.72.0/23,103.122.72.0,103.122.73.255,23,255.255.254.0,512
103.122.165.0/24,103.122.165.0,103.122.165.255,24,255.255.255.0,256
103.123.12.0/24,103.123.12.0,103.123.12.255,24,255.255.255.0,256
103.127.90.0/24,103.127.90.0,103.127.90.255,24,255.255.255.0,256
103.127.172.0/22,103.127.172.0,103.127.175.255,22,255.255.252.0,1024
103.136.226.0/23,103.136.226.0,103.136.227.255,23,255.255.254.0,512
103.145.26.0/24,103.145.26.0,103.145.26.255,24,255.255.255.0,256
103.145.49.0/24,103.145.49.0,103.145.49.255,24,255.255.255.0,256
103.146.200.0/23,103.146.200.0,103.146.201.255,23,255.255.254.0,512
103.152.8.0/24,103.152.8.0,103.152.8.255,24,255.255.255.0,256
103.153.108.0/24,103.153.108.0,103.153.108.255,24,255.255.255.0,256
103.153.158.0/23,103.153.158.0,103.153.159.255,23,255.255.254.0,512
103.155.112.0/24,103.155.112.0,103.155.112.255,24,255.255.255.0,256
103.167.47.0/24,103.167.47.0,103.167.47.255,24,255.255.255.0,256
103.172.16.0/24,103.172.16.0,103.172.16.255,24,255.255.255.0,256
103.173.32.0/23,103.173.32.0,103.173.33.255,23,255.255.254.0,512
103.175.149.0/24,103.175.149.0,103.175.149.255,24,255.255.255.0,256
103.209.54.0/24,103.209.54.0,103.209.54.255,24,255.255.255.0,256
103.212.40.0/24,103.212.40.0,103.212.40.255,24,255.255.255.0,256
103.213.10.0/23,103.213.10.0,103.213.11.255,23,255.255.254.0,512
103.215.92.0/23,103.215.92.0,103.215.93.255,23,255.255.254.0,512
103.234.48.0/22,103.234.48.0,103.234.51.255,22,255.255.252.0,1024
103.242.164.0/22,103.242.164.0,103.242.167.255,22,255.255.252.0,1024
119.252.224.0/20,119.252.224.0,119.252.239.255,20,255.255.240.0,4096
124.240.192.0/19,124.240.192.0,124.240.223.255,19,255.255.224.0,8192
180.150.252.0/22,180.150.252.0,180.150.255.255,22,255.255.252.0,1024
202.1.32.0/19,202.1.32.0,202.1.63.255,19,255.255.224.0,8192
202.1.240.0/20,202.1.240.0,202.1.255.255,20,255.255.240.0,4096
202.20.68.0/24,202.20.68.0,202.20.68.255,24,255.255.255.0,256
202.52.133.0/24,202.52.133.0,202.52.133.255,24,255.255.255.0,256
202.58.128.0/22,202.58.128.0,202.58.131.255,22,255.255.252.0,1024
202.95.192.0/20,202.95.192.0,202.95.207.255,20,255.255.240.0,4096
202.165.192.0/20,202.165.192.0,202.165.207.255,20,255.255.240.0,4096
202.171.240.0/21,202.171.240.0,202.171.247.255,21,255.255.248.0,2048
203.83.16.0/21,203.83.16.0,203.83.23.255,21,255.255.248.0,2048
