# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
2.56.68.0/22,2.56.68.0,2.56.71.255,22,255.255.252.0,1024
2.57.8.0/22,2.57.8.0,2.57.11.255,22,255.255.252.0,1024
2.57.132.0/22,2.57.132.0,2.57.135.255,22,255.255.252.0,1024
2.57.136.0/22,2.57.136.0,2.57.139.255,22,255.255.252.0,1024
2.57.208.0/22,2.57.208.0,2.57.211.255,22,255.255.252.0,1024
2.58.104.0/22,2.58.104.0,2.58.107.255,22,255.255.252.0,1024
2.58.216.0/22,2.58.216.0,2.58.219.255,22,255.255.252.0,1024
2.59.128.0/22,2.59.128.0,2.59.131.255,22,255.255.252.0,1024
5.39.192.0/21,5.39.192.0,5.39.199.255,21,255.255.248.0,2048
5.57.128.0/18,5.57.128.0,5.57.191.255,18,255.255.192.0,16384
5.57.214.0/24,5.57.214.0,5.57.214.255,24,255.255.255.0,256
5.63.185.0/24,5.63.185.0,5.63.185.255,24,255.255.255.0,256
5.63.186.0/23,5.63.186.0,5.63.187.255,23,255.255.254.0,512
5.63.188.0/22,5.63.188.0,5.63.191.255,22,255.255.252.0,1024
5.102.40.0/21,5.102.40.0,5.102.47.255,21,255.255.248.0,2048
5.102.64.0/21,5.102.64.0,5.102.71.255,21,255.255.248.0,2048
5.104.248.0/21,5.104.248.0,5.104.255.255,21,255.255.248.0,2048
5.133.8.0/21,5.133.8.0,5.133.15.255,21,255.255.248.0,2048
5.133.115.0/24,5.133.115.0,5.133.115.255,24,255.255.255.0,256
5.133.248.0/21,5.133.248.0,5.133.255.255,21,255.255.248.0,2048
5.134.64.0/20,5.134.64.0,5.134.79.255,20,255.255.240.0,4096
5.134.208.0/21,5.134.208.0,5.134.215.255,21,255.255.248.0,2048
5.149.160.0/21,5.149.160.0,5.149.167.255,21,255.255.248.0,2048
5.149.192.0/21,5.149.192.0,5.149.199.255,21,255.255.248.0,2048
5.152.160.0/21,5.152.160.0,5.152.167.255,21,255.255.248.0,2048
5.172.184.0/21,5.172.184.0,5.172.191.255,21,255.255.248.0,2048
5.172.224.0/19,5.172.224.0,5.172.255.255,19,255.255.224.0,8192
5.173.0.0/16,5.173.0.0,5.173.255.255,16,255.255.0.0,65536
5.181.188.0/22,5.181.188.0,5.181.191.255,22,255.255.252.0,1024
5.182.140.0/22,5.182.140.0,5.182.143.255,22,255.255.252.0,1024
5.183.192.0/22,5.183.192.0,5.183.195.255,22,255.255.252.0,1024
5.184.0.0/15,5.184.0.0,5.185.255.255,15,255.254.0.0,131072
5.187.48.0/21,5.187.48.0,5.187.55.255,21,255.255.248.0,2048
5.201.0.0/17,5.201.0.0,5.201.127.255,17,255.255.128.0,32768
5.206.240.0/20,5.206.240.0,5.206.255.255,20,255.255.240.0,4096
5.226.64.0/18,5.226.64.0,5.226.127.255,18,255.255.192.0,16384
5.226.128.0/21,5.226.128.0,5.226.135.255,21,255.255.248.0,2048
5.252.108.0/22,5.252.108.0,5.252.111.255,22,255.255.252.0,1024
5.252.200.0/22,5.252.200.0,5.252.203.255,22,255.255.252.0,1024
5.252.212.0/22,5.252.212.0,5.252.215.255,22,255.255.252.0,1024
5.252.228.0/22,5.252.228.0,5.252.231.255,22,255.255.252.0,1024
5.253.120.0/22,5.253.120.0,5.253.123.255,22,255.255.252.0,1024
31.0.0.0/16,31.0.0.0,31.0.255.255,16,255.255.0.0,65536
31.6.64.0/21,31.6.64.0,31.6.71.255,21,255.255.248.0,2048
31.6.128.0/17,31.6.128.0,31.6.255.255,17,255.255.128.0,32768
31.7.40.0/21,31.7.40.0,31.7.47.255,21,255.255.248.0,2048
31.11.128.0/17,31.11.128.0,31.11.255.255,17,255.255.128.0,32768
31.14.9.0/24,31.14.9.0,31.14.9.255,24,255.255.255.0,256
31.14.76.0/22,31.14.76.0,31.14.79.255,22,255.255.252.0,1024
31.14.162.0/24,31.14.162.0,31.14.162.255,24,255.255.255.0,256
31.22.96.0/21,31.22.96.0,31.22.103.255,21,255.255.248.0,2048
31.24.83.0/24,31.24.83.0,31.24.83.255,24,255.255.255.0,256
31.25.248.0/21,31.25.248.0,31.25.255.255,21,255.255.248.0,2048
31.31.168.0/21,31.31.168.0,31.31.175.255,21,255.255.248.0,2048
31.41.24.0/21,31.41.24.0,31.41.31.255,21,255.255.248.0,2048
31.41.80.0/21,31.41.80.0,31.41.87.255,21,255.255.248.0,2048
31.41.136.0/21,31.41.136.0,31.41.143.255,21,255.255.248.0,2048
31.41.144.0/21,31.41.144.0,31.41.151.255,21,255.255.248.0,2048
31.41.168.0/21,31.41.168.0,31.41.175.255,21,255.255.248.0,2048
31.41.176.0/21,31.41.176.0,31.41.183.255,21,255.255.248.0,2048
