# CIDR,network(start) address,end address,prefix,subnet mask
2.80.0.0/14,2.80.0.0,2.83.255.255,14,255.252.0.0
5.43.0.0/18,5.43.0.0,5.43.63.255,18,255.255.192.0
5.158.0.0/18,5.158.0.0,5.158.63.255,18,255.255.192.0
5.183.96.0/22,5.183.96.0,5.183.99.255,22,255.255.252.0
5.206.224.0/21,5.206.224.0,5.206.231.255,21,255.255.248.0
5.249.0.0/17,5.249.0.0,5.249.127.255,17,255.255.128.0
5.253.128.0/22,5.253.128.0,5.253.131.255,22,255.255.252.0
5.253.180.0/22,5.253.180.0,5.253.183.255,22,255.255.252.0
31.22.128.0/17,31.22.128.0,31.22.255.255,17,255.255.128.0
31.25.8.0/23,31.25.8.0,31.25.9.255,23,255.255.254.0
37.28.192.0/18,37.28.192.0,37.28.255.255,18,255.255.192.0
37.189.0.0/16,37.189.0.0,37.189.255.255,16,255.255.0.0
45.92.68.0/23,45.92.68.0,45.92.69.255,23,255.255.254.0
45.135.172.0/22,45.135.172.0,45.135.175.255,22,255.255.252.0
45.154.64.0/22,45.154.64.0,45.154.67.255,22,255.255.252.0
45.156.128.0/22,45.156.128.0,45.156.131.255,22,255.255.252.0
46.50.0.0/17,46.50.0.0,46.50.127.255,17,255.255.128.0
46.189.128.0/17,46.189.128.0,46.189.255.255,17,255.255.128.0
62.28.0.0/16,62.28.0.0,62.28.255.255,16,255.255.0.0
62.48.128.0/17,62.48.128.0,62.48.255.255,17,255.255.128.0
62.169.64.0/18,62.169.64.0,62.169.127.255,18,255.255.192.0
62.233.41.0/24,62.233.41.0,62.233.41.255,24,255.255.255.0
62.249.0.0/19,62.249.0.0,62.249.31.255,19,255.255.224.0
77.54.0.0/16,77.54.0.0,77.54.255.255,16,255.255.0.0
77.91.200.0/21,77.91.200.0,77.91.207.255,21,255.255.248.0
78.29.128.0/18,78.29.128.0,78.29.191.255,18,255.255.192.0
78.108.208.0/22,78.108.208.0,78.108.211.255,22,255.255.252.0
78.130.0.0/17,78.130.0.0,78.130.127.255,17,255.255.128.0
78.137.192.0/18,78.137.192.0,78.137.255.255,18,255.255.192.0
79.168.0.0/15,79.168.0.0,79.169.255.255,15,255.254.0.0
80.172.0.0/16,80.172.0.0,80.172.255.255,16,255.255.0.0
