# CIDR,network(start) address,end address,prefix,subnet mask
24.152.40.0/22,24.152.40.0,24.152.43.255,22,255.255.252.0
45.160.32.0/22,45.160.32.0,45.160.35.255,22,255.255.252.0
45.161.236.0/22,45.161.236.0,45.161.239.255,22,255.255.252.0
45.162.180.0/22,45.162.180.0,45.162.183.255,22,255.255.252.0
45.163.188.0/22,45.163.188.0,45.163.191.255,22,255.255.252.0
45.165.52.0/23,45.165.52.0,45.165.53.255,23,255.255.254.0
45.169.112.0/22,45.169.112.0,45.169.115.255,22,255.255.252.0
45.170.104.0/22,45.170.104.0,45.170.107.255,22,255.255.252.0
45.170.128.0/22,45.170.128.0,45.170.131.255,22,255.255.252.0
45.172.228.0/22,45.172.228.0,45.172.231.255,22,255.255.252.0
45.175.156.0/22,45.175.156.0,45.175.159.255,22,255.255.252.0
45.176.86.0/23,45.176.86.0,45.176.87.255,23,255.255.254.0
45.177.16.0/22,45.177.16.0,45.177.19.255,22,255.255.252.0
45.177.204.0/22,45.177.204.0,45.177.207.255,22,255.255.252.0
45.178.48.0/22,45.178.48.0,45.178.51.255,22,255.255.252.0
45.179.152.0/22,45.179.152.0,45.179.155.255,22,255.255.252.0
45.179.192.0/22,45.179.192.0,45.179.195.255,22,255.255.252.0
45.180.114.0/24,45.180.114.0,45.180.114.255,24,255.255.255.0
45.180.180.0/22,45.180.180.0,45.180.183.255,22,255.255.252.0
45.182.128.0/22,45.182.128.0,45.182.131.255,22,255.255.252.0
45.183.60.0/22,45.183.60.0,45.183.63.255,22,255.255.252.0
45.184.108.0/22,45.184.108.0,45.184.111.255,22,255.255.252.0
45.184.156.0/22,45.184.156.0,45.184.159.255,22,255.255.252.0
45.190.92.0/22,45.190.92.0,45.190.95.255,22,255.255.252.0
45.190.188.0/22,45.190.188.0,45.190.191.255,22,255.255.252.0
45.191.88.0/22,45.191.88.0,45.191.91.255,22,255.255.252.0
45.226.180.0/22,45.226.180.0,45.226.183.255,22,255.255.252.0
45.228.60.0/22,45.228.60.0,45.228.63.255,22,255.255.252.0
45.228.136.0/22,45.228.136.0,45.228.139.255,22,255.255.252.0
45.229.168.0/22,45.229.168.0,45.229.171.255,22,255.255.252.0
45.234.84.0/23,45.234.84.0,45.234.85.255,23,255.255.254.0
45.234.86.0/24,45.234.86.0,45.234.86.255,24,255.255.255.0
45.235.120.0/22,45.235.120.0,45.235.123.255,22,255.255.252.0
45.236.244.0/22,45.236.244.0,45.236.247.255,22,255.255.252.0
45.237.44.0/22,45.237.44.0,45.237.47.255,22,255.255.252.0
45.238.36.0/22,45.238.36.0,45.238.39.255,22,255.255.252.0
45.239.44.0/22,45.239.44.0,45.239.47.255,22,255.255.252.0
131.72.24.0/22,131.72.24.0,131.72.27.255,22,255.255.252.0
131.100.184.0/22,131.100.184.0,131.100.187.255,22,255.255.252.0
131.108.192.0/22,131.108.192.0,131.108.195.255,22,255.255.252.0
131.161.252.0/22,131.161.252.0,131.161.255.255,22,255.255.252.0
131.196.192.0/22,131.196.192.0,131.196.195.255,22,255.255.252.0
132.255.164.0/22,132.255.164.0,132.255.167.255,22,255.255.252.0
138.59.164.0/22,138.59.164.0,138.59.167.255,22,255.255.252.0
138.59.224.0/22,138.59.224.0,138.59.227.255,22,255.255.252.0
138.99.100.0/22,138.99.100.0,138.99.103.255,22,255.255.252.0
138.122.160.0/22,138.122.160.0,138.122.163.255,22,255.255.252.0
138.186.60.0/22,138.186.60.0,138.186.63.255,22,255.255.252.0
138.219.8.0/22,138.219.8.0,138.219.11.255,22,255.255.252.0
143.202.208.0/22,143.202.208.0,143.202.211.255,22,255.255.252.0
143.255.140.0/22,143.255.140.0,143.255.143.255,22,255.255.252.0
160.238.184.0/22,160.238.184.0,160.238.187.255,22,255.255.252.0
167.250.36.0/22,167.250.36.0,167.250.39.255,22,255.255.252.0
167.250.236.0/23,167.250.236.0,167.250.237.255,23,255.255.254.0
168.90.176.0/22,168.90.176.0,168.90.179.255,22,255.255.252.0
168.194.240.0/22,168.194.240.0,168.194.243.255,22,255.255.252.0
168.195.224.0/22,168.195.224.0,168.195.227.255,22,255.255.252.0
170.82.144.0/22,170.82.144.0,170.82.147.255,22,255.255.252.0
170.83.240.0/22,170.83.240.0,170.83.243.255,22,255.255.252.0
170.84.172.0/22,170.84.172.0,170.84.175.255,22,255.255.252.0
170.233.216.0/22,170.233.216.0,170.233.219.255,22,255.255.252.0
170.238.16.0/22,170.238.16.0,170.238.19.255,22,255.255.252.0
170.245.132.0/23,170.245.132.0,170.245.133.255,23,255.255.254.0
170.254.216.0/22,170.254.216.0,170.254.219.255,22,255.255.252.0
177.11.254.0/23,177.11.254.0,177.11.255.255,23,255.255.254.0
177.250.0.0/15,177.250.0.0,177.251.255.255,15,255.254.0.0
179.0.26.0/24,179.0.26.0,179.0.26.255,24,255.255.255.0
