# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
5.180.36.0/22,5.180.36.0,5.180.39.255,22,255.255.252.0,1024
31.11.48.0/21,31.11.48.0,31.11.55.255,21,255.255.248.0,2048
37.186.32.0/19,37.186.32.0,37.186.63.255,19,255.255.224.0,8192
37.208.128.0/17,37.208.128.0,37.208.255.255,17,255.255.128.0,32768
37.210.0.0/15,37.210.0.0,37.211.255.255,15,255.254.0.0,131072
78.100.0.0/15,78.100.0.0,78.101.255.255,15,255.254.0.0,131072
80.76.160.0/20,80.76.160.0,80.76.175.255,20,255.255.240.0,4096
81.29.160.0/20,81.29.160.0,81.29.175.255,20,255.255.240.0,4096
82.148.96.0/19,82.148.96.0,82.148.127.255,19,255.255.224.0,8192
86.36.0.0/15,86.36.0.0,86.37.255.255,15,255.254.0.0,131072
86.62.192.0/18,86.62.192.0,86.62.255.255,18,255.255.192.0,16384
89.211.0.0/16,89.211.0.0,89.211.255.255,16,255.255.0.0,65536
91.228.176.0/24,91.228.176.0,91.228.176.255,24,255.255.255.0,256
94.125.224.0/21,94.125.224.0,94.125.231.255,21,255.255.248.0,2048
103.14.208.0/22,103.14.208.0,103.14.211.255,22,255.255.252.0,1024
103.17.0.0/22,103.17.0.0,103.17.3.255,22,255.255.252.0,1024
103.23.124.0/22,103.23.124.0,103.23.127.255,22,255.255.252.0,1024
103.199.88.0/22,103.199.88.0,103.199.91.255,22,255.255.252.0,1024
103.225.72.0/22,103.225.72.0,103.225.75.255,22,255.255.252.0,1024
176.202.0.0/15,176.202.0.0,176.203.255.255,15,255.254.0.0,131072
178.23.16.0/21,178.23.16.0,178.23.23.255,21,255.255.248.0,2048
178.152.0.0/15,178.152.0.0,178.153.255.255,15,255.254.0.0,131072
185.1.159.0/24,185.1.159.0,185.1.159.255,24,255.255.255.0,256
185.2.244.0/22,185.2.244.0,185.2.247.255,22,255.255.252.0,1024
185.25.12.0/22,185.25.12.0,185.25.15.255,22,255.255.252.0,1024
185.37.96.0/22,185.37.96.0,185.37.99.255,22,255.255.252.0,1024
185.37.108.0/22,185.37.108.0,185.37.111.255,22,255.255.252.0,1024
185.96.224.0/22,185.96.224.0,185.96.227.255,22,255.255.252.0,1024
185.104.56.0/22,185.104.56.0,185.104.59.255,22,255.255.252.0,1024
185.107.76.0/22,185.107.76.0,185.107.79.255,22,255.255.252.0,1024
185.154.168.0/22,185.154.168.0,185.154.171.255,22,255.255.252.0,1024
185.239.92.0/22,185.239.92.0,185.239.95.255,22,255.255.252.0,1024
185.247.88.0/22,185.247.88.0,185.247.91.255,22,255.255.252.0,1024
194.6.255.0/24,194.6.255.0,194.6.255.255,24,255.255.255.0,256
212.70.96.0/19,212.70.96.0,212.70.127.255,19,255.255.224.0,8192
212.77.192.0/19,212.77.192.0,212.77.223.255,19,255.255.224.0,8192
213.130.96.0/19,213.130.96.0,213.130.127.255,19,255.255.224.0,8192
213.178.136.0/22,213.178.136.0,213.178.139.255,22,255.255.252.0,1024
