# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
5.57.96.0/19,5.57.96.0,5.57.127.255,19,255.255.224.0,8192
41.213.128.0/17,41.213.128.0,41.213.255.255,17,255.255.128.0,32768
41.242.124.0/22,41.242.124.0,41.242.127.255,22,255.255.252.0,1024
62.61.192.0/18,62.61.192.0,62.61.255.255,18,255.255.192.0,16384
78.108.224.0/20,78.108.224.0,78.108.239.255,20,255.255.240.0,4096
80.69.208.0/20,80.69.208.0,80.69.223.255,20,255.255.240.0,4096
102.35.0.0/16,102.35.0.0,102.35.255.255,16,255.255.0.0,65536
102.135.224.0/20,102.135.224.0,102.135.239.255,20,255.255.240.0,4096
102.213.8.0/22,102.213.8.0,102.213.11.255,22,255.255.252.0,1024
109.122.128.0/18,109.122.128.0,109.122.191.255,18,255.255.192.0,16384
129.122.64.0/18,129.122.64.0,129.122.127.255,18,255.255.192.0,16384
139.26.0.0/16,139.26.0.0,139.26.255.255,16,255.255.0.0,65536
154.67.0.0/16,154.67.0.0,154.67.255.255,16,255.255.0.0,65536
164.160.68.0/22,164.160.68.0,164.160.71.255,22,255.255.252.0,1024
164.160.224.0/20,164.160.224.0,164.160.239.255,20,255.255.240.0,4096
165.90.128.0/18,165.90.128.0,165.90.191.255,18,255.255.192.0,16384
165.169.0.0/16,165.169.0.0,165.169.255.255,16,255.255.0.0,65536
168.253.128.0/18,168.253.128.0,168.253.191.255,18,255.255.192.0,16384
185.147.224.0/22,185.147.224.0,185.147.227.255,22,255.255.252.0,1024
185.161.8.0/22,185.161.8.0,185.161.11.255,22,255.255.252.0,1024
185.165.32.0/22,185.165.32.0,185.165.35.255,22,255.255.252.0,1024
193.56.203.0/24,193.56.203.0,193.56.203.255,24,255.255.255.0,256
213.55.0.0/18,213.55.0.0,213.55.63.255,18,255.255.192.0,16384
